r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.829479993977864872e-04,8.926458195172361118e-06
9.499999999999999556e-01,4.100169362788801952e-01,1.202963104325725801e-04
1.050000000000000044e+00,2.210067130015513470e+00,5.389509503291554926e-04
1.150000000000000133e+00,2.146654551310301251e+00,6.888391465925013850e-04
1.250000000000000000e+00,1.417461998361113640e+00,3.620103418854925845e-04
1.350000000000000089e+00,9.816974648978712414e-01,2.223676065880186728e-04
1.450000000000000178e+00,7.760884102651934846e-01,2.592487702812230378e-04
1.550000000000000044e+00,7.010970358927093304e-01,1.815451325897337860e-04
1.650000000000000133e+00,7.152291645833938061e-01,2.130241347605814632e-04
1.750000000000000000e+00,8.026632400913072951e-01,2.042177840042477528e-04
1.850000000000000089e+00,9.409374769845776365e-01,1.906805570882444964e-04
1.950000000000000178e+00,1.083744812633556709e+00,2.252216525810948791e-04
2.049999999999999822e+00,1.180747055113841482e+00,1.666904697456324117e-04
2.150000000000000355e+00,1.179071567289391442e+00,1.141831134099940433e-04
2.250000000000000000e+00,1.095990237660505962e+00,3.863300276734047420e-04
2.350000000000000533e+00,9.981014066278046659e-01,1.452252761072835409e-04
2.450000000000000178e+00,9.305444557984946519e-01,1.208451576772823764e-04
2.549999999999999822e+00,9.054753574988415599e-01,1.857165994718388093e-04
2.650000000000000355e+00,9.190566883911378548e-01,1.229646948402053489e-04
2.750000000000000000e+00,9.590601449493645347e-01,1.773303562235466842e-04
2.850000000000000533e+00,1.005378010260599808e+00,1.396921468369140642e-04
2.950000000000000178e+00,1.040231875438222264e+00,1.652451406986289435e-04
3.049999999999999822e+00,1.052976287105812370e+00,1.357454010308448665e-04
3.150000000000000355e+00,1.042756594022461236e+00,1.384560680631136207e-04
3.250000000000000000e+00,1.018692868054261069e+00,9.769874227186890075e-05
3.350000000000000533e+00,9.926565921990979646e-01,1.587457436365047087e-04
3.450000000000000178e+00,9.748898175172170388e-01,7.841323411637984311e-05
3.549999999999999822e+00,9.699652633938569135e-01,7.734915527740816735e-05
3.650000000000000355e+00,9.773367021838350599e-01,1.221995354418685506e-04
3.750000000000000000e+00,9.922529339642375268e-01,8.436405438207762459e-05
3.850000000000000533e+00,1.006553168739139137e+00,1.430093112756857139e-04
3.950000000000000178e+00,1.015624494256559318e+00,1.102272722137696327e-04
4.050000000000000711e+00,1.016955844268642384e+00,1.414221657075044830e-04
4.150000000000000355e+00,1.011593241520393871e+00,7.131765286377915989e-05
4.250000000000000000e+00,1.002934552817869474e+00,7.198169826692561821e-05
4.349999999999999645e+00,9.949335687127953687e-01,8.747080529163623198e-05
4.450000000000000178e+00,9.902459784616667315e-01,6.001277501088413694e-05
4.550000000000000711e+00,9.903708387681533498e-01,7.584804882893545223e-05
4.650000000000000355e+00,9.938572782251064996e-01,6.603047286633733043e-05
4.750000000000000000e+00,9.992263827847107649e-01,6.112073307759887980e-05
4.850000000000000533e+00,1.003614414330942228e+00,7.543575945221931821e-05
4.950000000000000178e+00,1.005865154435555686e+00,8.297751312770638348e-05
5.050000000000000711e+00,1.005560096560913497e+00,9.619255067312116009e-05
5.150000000000000355e+00,1.003128066948587360e+00,7.975020678085433488e-05
5.250000000000000000e+00,9.997490657375645018e-01,7.479824684846251258e-05
5.350000000000000533e+00,9.973687302104009555e-01,5.297501613033973308e-05
5.450000000000000178e+00,9.964261449499927092e-01,7.869441813348737721e-05
5.550000000000000711e+00,9.968227014443866718e-01,6.816267548510943194e-05
5.650000000000000355e+00,9.984785867311813945e-01,7.354769522971669755e-05
5.750000000000000000e+00,1.000445641436791044e+00,7.764913170098406358e-05
5.850000000000000533e+00,1.001576569277724094e+00,2.850567708162022787e-05
5.950000000000000178e+00,1.002207202515635220e+00,6.822181764891634321e-05
6.050000000000000711e+00,1.001697196732663109e+00,5.323141979194988504e-05
6.150000000000000355e+00,1.000726460821403041e+00,5.750652291676218610e-05
6.250000000000000000e+00,9.995967475969683713e-01,3.220486819604792344e-05
6.350000000000000533e+00,9.987567091958087229e-01,3.253347520291057220e-05
6.450000000000000178e+00,9.986352483954359371e-01,6.614199835984041183e-05
6.550000000000000711e+00,9.989640942254887079e-01,4.910233182004078271e-05
6.650000000000000355e+00,9.997501402001202075e-01,5.885210513807647266e-05
6.750000000000000000e+00,1.000326242897871420e+00,6.302244108578375001e-05
6.850000000000000533e+00,1.000724639517523773e+00,5.387021828993966981e-05
6.950000000000000178e+00,1.000801343143845612e+00,5.968254168780233590e-05
7.050000000000000711e+00,1.000457560865962936e+00,3.761106113968632744e-05
7.150000000000000355e+00,1.000061344970155863e+00,6.161408629306662878e-05
7.250000000000000000e+00,9.996826651408852182e-01,3.533495087626700487e-05
7.350000000000000533e+00,9.994471061981882176e-01,3.879535681159706394e-05
7.450000000000000178e+00,9.994929809643137153e-01,5.691106300526509252e-05
7.550000000000000711e+00,9.997612366042822885e-01,4.793391362483392568e-05
7.650000000000000355e+00,1.000016395071044562e+00,4.376567239317354118e-05
7.750000000000000000e+00,1.000080650513561098e+00,4.280404923733535161e-05
7.850000000000000533e+00,1.000361552213558936e+00,3.601488969780912983e-05
7.950000000000000178e+00,1.000163515347959109e+00,5.131238917878456904e-05
8.050000000000000711e+00,1.000224287845225657e+00,3.772271370530456145e-05
8.150000000000000355e+00,9.998937284151943050e-01,6.334207457346401266e-05
8.250000000000000000e+00,9.997782444040179683e-01,3.713312130655302385e-05
8.350000000000001421e+00,9.997894487305124533e-01,2.814668454559850455e-05
8.449999999999999289e+00,9.997861623272127352e-01,3.441720823033842793e-05
8.550000000000000711e+00,9.999334945019129339e-01,3.295253900391206575e-05
8.650000000000000355e+00,1.000058424842736660e+00,3.917360073437749121e-05
8.750000000000000000e+00,1.000089171713919090e+00,3.003851949016373552e-05
8.850000000000001421e+00,1.000089809465523505e+00,2.878937900157749560e-05
8.949999999999999289e+00,1.000049373465482505e+00,3.353199445118239968e-05
9.050000000000000711e+00,9.999753515814816529e-01,3.452460532119937112e-05
9.150000000000000355e+00,9.999297576690254763e-01,3.896895637845411626e-05
9.250000000000000000e+00,9.999039902192942142e-01,4.454993383465707295e-05
9.350000000000001421e+00,9.998552717036200965e-01,4.023162195239863523e-05
9.449999999999999289e+00,9.999251637860691044e-01,1.670914320428248660e-05
9.550000000000000711e+00,9.908170898887226352e-01,7.646101382328146664e-05
9.650000000000002132e+00,9.609668230737782313e-01,1.065869215491552360e-04
9.750000000000000000e+00,9.305950151728513697e-01,8.162362997942486939e-05
9.850000000000001421e+00,9.008693932628293322e-01,7.852422568445037150e-05
9.949999999999999289e+00,8.716555485502338607e-01,1.002986079927243706e-04
