r,gSS_mean,gSS_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,8.213517571132630650e-05,4.474831103571354831e-06
9.499999999999999556e-01,2.055308399673118624e-01,2.026656552032626152e-04
1.050000000000000044e+00,1.300749771064597216e+00,5.354606678181003795e-04
1.150000000000000133e+00,1.502194196901780909e+00,4.548106758138729532e-04
1.250000000000000000e+00,1.323382164714431486e+00,4.286335096205635639e-04
1.350000000000000089e+00,1.185462925273131463e+00,3.777701357165967979e-04
1.450000000000000178e+00,1.081936412574465267e+00,4.396888267089475374e-04
1.550000000000000044e+00,1.009578780647850893e+00,3.327885634694390622e-04
1.650000000000000133e+00,9.616755051396708165e-01,3.783590736453493002e-04
1.750000000000000000e+00,9.378485774701893485e-01,3.718079848373949435e-04
1.850000000000000089e+00,9.355225714615608146e-01,2.612051421546672460e-04
1.950000000000000178e+00,9.529982304851746244e-01,2.784826140687155622e-04
2.049999999999999822e+00,9.819446770720604567e-01,2.466876710982846281e-04
2.150000000000000355e+00,1.005762638369923856e+00,1.921911508046664468e-04
2.250000000000000000e+00,1.016194435194215817e+00,1.899975806217286652e-04
2.350000000000000533e+00,1.017400525393289179e+00,2.720442181246962967e-04
2.450000000000000178e+00,1.013851835355836783e+00,1.768291866485764067e-04
2.549999999999999822e+00,1.007572495739201379e+00,2.233864207929051374e-04
2.650000000000000355e+00,1.002519777206874352e+00,2.747470114119839784e-04
2.750000000000000000e+00,9.978895165619441343e-01,1.164341196292705233e-04
2.850000000000000533e+00,9.955206005488335119e-01,1.874124105980710876e-04
2.950000000000000178e+00,9.953415310637370172e-01,1.763556215881058038e-04
3.049999999999999822e+00,9.965548580792912281e-01,2.248029125229637065e-04
3.150000000000000355e+00,9.985937779164129058e-01,7.411767585114528050e-05
3.250000000000000000e+00,9.999247400891414506e-01,1.381939136934012629e-04
3.350000000000000533e+00,1.000874829987008940e+00,1.396270640063161943e-04
3.450000000000000178e+00,1.001292519493378386e+00,1.762807554013098225e-04
3.549999999999999822e+00,1.001276185504928140e+00,1.600174708006312104e-04
3.650000000000000355e+00,1.000683630359543219e+00,9.725219898168067055e-05
3.750000000000000000e+00,1.000295133506589496e+00,1.562106153900752394e-04
3.850000000000000533e+00,9.998145662724891025e-01,1.254390828509468364e-04
3.950000000000000178e+00,9.996577322068900262e-01,1.358321259198447923e-04
4.050000000000000711e+00,9.995381356695881570e-01,1.208875984871995741e-04
4.150000000000000355e+00,9.994879007998189735e-01,1.072272256870633253e-04
4.250000000000000000e+00,9.997651636026796407e-01,1.132764793509519213e-04
4.349999999999999645e+00,9.998659176343236421e-01,1.509992705218183749e-04
4.450000000000000178e+00,1.000222268029547168e+00,1.010296416154857284e-04
4.550000000000000711e+00,1.000173034523047289e+00,8.021808926918162948e-05
4.650000000000000355e+00,1.000053994356120857e+00,1.020302578963626963e-04
4.750000000000000000e+00,1.000149668959633642e+00,1.471346729053259607e-04
4.850000000000000533e+00,9.999208638242349512e-01,9.624849397495026306e-05
4.950000000000000178e+00,9.999148597302672803e-01,1.561349693336140198e-04
5.050000000000000711e+00,9.999562245635699176e-01,1.484340598938919248e-04
5.150000000000000355e+00,9.998529365197512675e-01,7.386235935365535841e-05
5.250000000000000000e+00,9.999696620017081150e-01,1.058044531635456072e-04
5.350000000000000533e+00,9.998974776950391163e-01,9.670454434002313077e-05
5.450000000000000178e+00,1.000078220982715038e+00,9.420295442855400217e-05
5.550000000000000711e+00,9.999172181584567998e-01,6.133233572151245414e-05
5.650000000000000355e+00,9.998910598631065572e-01,1.105356551811164842e-04
5.750000000000000000e+00,1.000035396756934869e+00,1.184714682655433634e-04
5.850000000000000533e+00,1.000104440375675585e+00,1.132630139589562676e-04
5.950000000000000178e+00,1.000050796493100247e+00,1.148603007461005440e-04
6.050000000000000711e+00,9.998062774889492355e-01,7.495103945496108899e-05
6.150000000000000355e+00,1.000159252094078299e+00,7.586798709041045073e-05
6.250000000000000000e+00,9.999143851692376961e-01,1.122568038932183679e-04
6.350000000000000533e+00,9.998039460992664829e-01,6.042702486931653583e-05
6.450000000000000178e+00,9.999093907969915929e-01,5.018368717088003011e-05
6.550000000000000711e+00,9.999377718698123640e-01,5.669424896341614974e-05
6.650000000000000355e+00,9.998045538683288935e-01,9.145730650872504629e-05
6.750000000000000000e+00,1.000156093778093336e+00,7.088565652788660380e-05
6.850000000000000533e+00,9.999200635026916917e-01,1.059869523481959074e-04
6.950000000000000178e+00,9.999709488671296720e-01,6.166683315234580849e-05
7.050000000000000711e+00,9.999423592538402294e-01,1.030564809897964782e-04
7.150000000000000355e+00,9.999503233023399051e-01,3.211758057273671370e-05
7.250000000000000000e+00,9.999189901245898460e-01,5.305664164813207598e-05
7.350000000000000533e+00,1.000051720934959532e+00,8.472987580301811507e-05
7.450000000000000178e+00,9.999045803162582846e-01,3.116470438584307824e-05
7.550000000000000711e+00,9.999550358064137612e-01,9.358473297699286628e-05
7.650000000000000355e+00,9.998891949320967143e-01,4.727692395177886183e-05
7.750000000000000000e+00,9.999260957978529651e-01,4.920926723097969089e-05
7.850000000000000533e+00,9.999724583591840243e-01,6.486222345985514256e-05
7.950000000000000178e+00,1.000041786120712928e+00,5.042022456114985551e-05
8.050000000000000711e+00,9.999380040884725540e-01,8.039736561310329235e-05
8.150000000000000355e+00,9.999908997668516264e-01,5.263229243031232636e-05
8.250000000000000000e+00,9.999192620914335583e-01,4.951602280494604691e-05
8.350000000000001421e+00,9.999745007315239409e-01,6.242416962477288387e-05
8.449999999999999289e+00,1.000015077886967418e+00,6.675627706389685898e-05
8.550000000000000711e+00,9.999536888377473787e-01,3.958630633856909841e-05
8.650000000000000355e+00,9.998249165802587379e-01,6.843016111701170716e-05
8.750000000000000000e+00,9.998837119290466813e-01,6.369703997557810170e-05
8.850000000000001421e+00,9.999974345482243177e-01,5.242399200239987776e-05
8.949999999999999289e+00,9.999814346406086241e-01,4.666691834348260179e-05
9.050000000000000711e+00,9.999296724008088777e-01,6.110721313864682402e-05
9.150000000000000355e+00,9.998730084341111990e-01,4.590262839630799305e-05
9.250000000000000000e+00,9.999879064499417325e-01,6.577432119212577716e-05
9.350000000000001421e+00,9.999968765391387127e-01,5.431689450573393526e-05
9.449999999999999289e+00,9.999744986759914189e-01,5.594891490442213374e-05
9.550000000000000711e+00,9.998685204918336122e-01,7.174333417963480472e-05
9.650000000000002132e+00,9.999522949584841447e-01,5.421365831464196631e-05
9.750000000000000000e+00,9.999893747599060134e-01,6.742111761365099994e-05
9.850000000000001421e+00,1.000045655941978584e+00,5.838297715221339642e-05
9.949999999999999289e+00,9.999536614017759950e-01,3.522304743477313487e-05
