r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,-3.372449765569341766e-06,3.199386766110005312e-06
8.857142857142856762e-01,-1.147115602220930702e-02,2.770028537265125951e-04
9.428571428571428381e-01,-8.217415417297948554e-01,2.163914967302411202e-03
1.000000000000000000e+00,-4.037196107758406427e+00,2.651080987795503482e-03
1.057142857142856940e+00,-5.502577559835302168e+00,6.001123375743456882e-03
1.114285714285714324e+00,-4.145816510963635793e+00,5.282677692813258531e-03
1.171428571428571264e+00,-2.448366970469716186e+00,2.713583643102537250e-03
1.228571428571428648e+00,-1.305423301809155223e+00,2.663735405757649676e-03
1.285714285714285587e+00,-6.308425025972180800e-01,2.168407537923498947e-03
1.342857142857142971e+00,-2.355238400371702789e-01,3.284610204708821816e-03
1.399999999999999911e+00,-1.162155260007207216e-02,1.394179929918059387e-03
1.457142857142857295e+00,1.336713526988665968e-01,1.711407867867846674e-03
1.514285714285714235e+00,2.240605859687358203e-01,2.383689246140870740e-03
1.571428571428571175e+00,3.050445785436357582e-01,8.892583527360740491e-04
1.628571428571428559e+00,3.686824014773280034e-01,1.780235275912428125e-03
1.685714285714285499e+00,4.366984091071325902e-01,2.381960576082498785e-03
1.742857142857142883e+00,4.855737224831342402e-01,2.481003489412571955e-03
1.799999999999999822e+00,5.323151449900745957e-01,2.268094119368885449e-03
1.857142857142857206e+00,5.434481227272118797e-01,9.649702492088975490e-04
1.914285714285714146e+00,5.196214843736750577e-01,2.948422492152374865e-03
1.971428571428571530e+00,4.949987834299214851e-01,1.257170512857154259e-03
2.028571428571428470e+00,4.232325365540228757e-01,2.010124255397938760e-03
2.085714285714285410e+00,3.333911205939374955e-01,1.059885756871348358e-03
2.142857142857142794e+00,2.257859008010948132e-01,8.126035630655132269e-04
2.200000000000000178e+00,1.263622130427966561e-01,1.135675580468761001e-03
2.257142857142857117e+00,4.358770547711379034e-02,1.130935817150512633e-03
2.314285714285714057e+00,-2.292016873019835435e-02,1.566778050618774371e-03
2.371428571428571441e+00,-6.170957029912760294e-02,1.293745226541979194e-03
2.428571428571428381e+00,-1.038018347776414885e-01,2.308989262079782796e-03
2.485714285714285765e+00,-1.163152154188988180e-01,1.004371981285803045e-03
2.542857142857142705e+00,-1.307956696103230454e-01,5.487135724421362713e-04
2.599999999999999645e+00,-1.404518214066503567e-01,6.096611136470242486e-04
2.657142857142857029e+00,-1.426742765178344308e-01,1.792793330909196303e-03
2.714285714285714413e+00,-1.385644489910293764e-01,1.438646743166575393e-03
2.771428571428571352e+00,-1.246064044560820233e-01,1.302652721044908956e-03
2.828571428571428292e+00,-1.111255429885990714e-01,1.329880486626140723e-03
2.885714285714285676e+00,-9.337309876314278667e-02,3.758525347281608717e-04
2.942857142857143060e+00,-7.151233158796603540e-02,1.007970592385356657e-03
3.000000000000000000e+00,-4.706378923163301309e-02,1.207917505369057341e-03
3.057142857142856940e+00,-2.827921230781567027e-02,1.039232073931945811e-03
3.114285714285713880e+00,-1.306034102278972285e-02,1.382556427838700077e-03
3.171428571428571264e+00,4.706575983511607393e-03,5.891361171452306686e-04
3.228571428571428648e+00,1.817975482766715986e-02,1.121600128139033396e-03
3.285714285714285587e+00,3.046262847094751564e-02,3.642997874354786956e-04
3.342857142857142527e+00,3.415831873879444924e-02,9.810316284865434541e-04
3.399999999999999911e+00,3.776950109925205495e-02,1.321383339860700973e-03
3.457142857142857295e+00,4.265462033365045869e-02,1.457526486870800624e-03
3.514285714285714235e+00,4.061852055669532696e-02,6.643549003968653860e-04
3.571428571428571175e+00,3.733008661289154151e-02,3.694631085073965321e-04
3.628571428571428559e+00,3.396512615907058830e-02,7.164613673305216283e-04
3.685714285714285499e+00,2.946741757028430511e-02,8.938621987209693009e-04
3.742857142857142883e+00,2.477366441787209883e-02,9.949433604365520017e-04
3.799999999999999822e+00,1.785388477233016552e-02,7.185215302884299894e-04
3.857142857142856762e+00,1.394191001174904798e-02,1.091526103738181021e-03
3.914285714285714146e+00,6.087863709495433540e-03,7.065175527567549036e-04
3.971428571428571530e+00,2.940610085943262675e-03,9.763432334946208413e-04
4.028571428571428470e+00,-4.080083220171460030e-03,9.977655478842462847e-04
4.085714285714285410e+00,-6.150942786563096294e-03,6.248820823795616123e-04
4.142857142857142350e+00,-7.507265784886740616e-03,8.954121838007419315e-04
4.200000000000000178e+00,-1.213176267370203940e-02,6.612071997533413908e-04
4.257142857142857117e+00,-1.223724835828887691e-02,6.496811298501397984e-04
4.314285714285714057e+00,-1.255470350346232777e-02,5.629719066311715059e-04
4.371428571428570997e+00,-1.285559453340476797e-02,7.260043146313943261e-04
4.428571428571428825e+00,-1.069963870580521378e-02,5.648583488203354685e-04
4.485714285714285765e+00,-6.831994120219553150e-03,1.036960865057708590e-03
4.542857142857142705e+00,-8.870653067504386674e-03,8.861868193698076417e-04
4.599999999999999645e+00,-6.582941945124876071e-03,7.613761414663714096e-04
4.657142857142856585e+00,-5.109910087689661581e-03,6.216488195219205216e-04
4.714285714285714413e+00,-5.223750636024248988e-03,1.061480467759537980e-03
4.771428571428571352e+00,-9.819884773251351916e-04,8.006866847359492539e-04
4.828571428571428292e+00,6.770817862797873232e-04,7.167454306942993127e-04
4.885714285714285232e+00,1.711704267143598999e-03,1.012456454471390111e-03
4.942857142857143060e+00,2.111999733934277756e-03,9.120848517063990558e-04
5.000000000000000000e+00,1.921085294805147201e-03,8.027390575300369542e-04
5.057142857142856940e+00,2.280713627466557196e-03,6.553747034718503421e-04
5.114285714285713880e+00,4.232790254150575748e-03,4.934888669555230391e-04
5.171428571428570820e+00,4.270108689272977993e-03,3.113665497931133661e-04
5.228571428571428648e+00,3.976713232667394675e-03,5.079065130057640884e-04
5.285714285714285587e+00,3.418144420823554519e-03,5.591109475532393550e-04
5.342857142857142527e+00,2.613002904729544440e-03,5.665518130090448426e-04
5.400000000000000355e+00,2.382788006020830802e-03,4.403276019206277757e-04
5.457142857142857295e+00,1.355554478736520395e-03,4.889200749394924383e-04
5.514285714285714235e+00,-5.732059857483928495e-05,4.834275078807585314e-04
5.571428571428571175e+00,7.083943053540319845e-04,8.735836489535788504e-04
5.628571428571428115e+00,-8.494023150604768091e-04,4.626971854649176530e-04
5.685714285714285054e+00,-7.494170524894539160e-04,2.439100740845497885e-04
