r,gZZ_mean,gZZ_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,-1.136225707872647733e-02,1.009493112114239312e-03
9.428571428571428381e-01,-9.796177064002913326e-01,1.021905009749054377e-02
1.000000000000000000e+00,-5.550349934933612950e+00,2.044946127184893089e-02
1.057142857142856940e+00,-8.878941281606245184e+00,1.749941655929706727e-02
1.114285714285714324e+00,-7.990656145595704807e+00,2.655362875623781121e-02
1.171428571428571264e+00,-6.060522305752888528e+00,1.949150719034764209e-02
1.228571428571428648e+00,-4.632190192937642337e+00,1.679232502230204940e-02
1.285714285714285587e+00,-3.574970768444436509e+00,1.406264190408159677e-02
1.342857142857142971e+00,-2.774832971201605325e+00,1.442977404929482108e-02
1.399999999999999911e+00,-2.134718440020497709e+00,9.146932222457167250e-03
1.457142857142857295e+00,-1.690414758693408626e+00,1.140745618919018940e-02
1.514285714285714235e+00,-1.295212570397525464e+00,1.250901621712363805e-02
1.571428571428571175e+00,-9.870958741578957918e-01,8.767451789266028292e-03
1.628571428571428559e+00,-7.279520261422851579e-01,1.077696268033005375e-02
1.685714285714285499e+00,-5.363910830636887672e-01,5.677721273692783871e-03
1.742857142857142883e+00,-3.578557036338811947e-01,8.494272420735412416e-03
1.799999999999999822e+00,-2.172733699836559285e-01,9.825494276812753863e-03
1.857142857142857206e+00,-7.403644402315952278e-02,6.877930239202322861e-03
1.914285714285714146e+00,4.014144545160180759e-03,6.042752969072378959e-03
1.971428571428571530e+00,1.008323854159226540e-01,7.001926768748431562e-03
2.028571428571428470e+00,1.678989653478232813e-01,7.370016285368508405e-03
2.085714285714285410e+00,1.905885261581937995e-01,7.088418068439107655e-03
2.142857142857142794e+00,2.175261365185422180e-01,4.540709841146827949e-03
2.200000000000000178e+00,2.115099657749171524e-01,4.995288296041264925e-03
2.257142857142857117e+00,2.084067403485319048e-01,3.693446849491983236e-03
2.314285714285714057e+00,1.860433343353581070e-01,6.124013413010928608e-03
2.371428571428571441e+00,1.753814216225595690e-01,3.927884382399329626e-03
2.428571428571428381e+00,1.409152423217234495e-01,4.649973755783478289e-03
2.485714285714285765e+00,1.191224447089776761e-01,8.513876518646705527e-03
2.542857142857142705e+00,1.056905296600732791e-01,6.328754356791536223e-03
2.599999999999999645e+00,9.734064728659322374e-02,5.465795770131374326e-03
2.657142857142857029e+00,7.275872216870704623e-02,5.365092956297063363e-03
2.714285714285714413e+00,5.696085166659532739e-02,5.447011103914686618e-03
2.771428571428571352e+00,4.701503517999936627e-02,4.640118469794833611e-03
2.828571428571428292e+00,3.769308211991455326e-02,8.891796396213918000e-03
2.885714285714285676e+00,1.457365417458511558e-02,5.821727333729684144e-03
2.942857142857143060e+00,1.228186498079775202e-02,5.530298635468248666e-03
3.000000000000000000e+00,2.755895967690968982e-03,4.145509869878980826e-03
3.057142857142856940e+00,4.926899232746473345e-03,4.561028637719038124e-03
3.114285714285713880e+00,2.745476213783471127e-03,5.180205698843919591e-03
3.171428571428571264e+00,-8.108658265341262342e-03,3.392867376741018955e-03
3.228571428571428648e+00,-6.628017683517573207e-03,5.930167441455788668e-03
3.285714285714285587e+00,-1.008699384977933614e-02,4.895919115704564298e-03
3.342857142857142527e+00,-7.370928467067549574e-05,5.458620278461236673e-03
3.399999999999999911e+00,-1.413039419716801727e-02,2.104952081364878588e-03
3.457142857142857295e+00,-6.854882777753701362e-03,4.464139203681732719e-03
3.514285714285714235e+00,-7.068090409800898040e-03,5.545477120124001937e-03
3.571428571428571175e+00,-1.223354468488671055e-02,4.511963380890294910e-03
3.628571428571428559e+00,-1.339845513250741485e-02,4.882387975960414232e-03
3.685714285714285499e+00,-9.943105082142467133e-03,3.602295374347080827e-03
3.742857142857142883e+00,-7.947647665530622324e-03,3.991772866328126626e-03
3.799999999999999822e+00,-6.420122890867974337e-03,5.726193177730002672e-03
3.857142857142856762e+00,-3.531941004844685230e-03,3.877131109954609460e-03
3.914285714285714146e+00,-6.702037629008649952e-03,2.029171407541049705e-03
3.971428571428571530e+00,5.832889535667851611e-04,4.285637379511468385e-03
4.028571428571428470e+00,-3.031355167112059767e-03,3.292767307155644932e-03
4.085714285714285410e+00,1.856722524005216491e-03,3.372093499452865403e-03
4.142857142857142350e+00,-3.773293238898411950e-03,3.527865561659474826e-03
4.200000000000000178e+00,-7.886223126192693379e-04,4.498390000337686156e-03
4.257142857142857117e+00,7.443755606712687718e-03,3.295316151542904918e-03
4.314285714285714057e+00,-1.139991245652760641e-03,4.130002369548771597e-03
4.371428571428570997e+00,-2.912213812270336797e-03,2.677003036322593219e-03
4.428571428571428825e+00,-5.444971868566961465e-04,3.861653101139017781e-03
4.485714285714285765e+00,6.650207480658631813e-03,3.774270984698715938e-03
4.542857142857142705e+00,-1.194462587901745599e-03,3.721212000782221294e-03
4.599999999999999645e+00,-6.268221367813575856e-04,3.779603808915088861e-03
4.657142857142856585e+00,-2.983749584887673725e-04,3.517784724924039996e-03
4.714285714285714413e+00,-3.128569754548138262e-03,2.758122422196916321e-03
4.771428571428571352e+00,-2.984582915073064145e-03,3.464433033721254357e-03
4.828571428571428292e+00,1.088322686562181963e-03,3.456005916049429728e-03
4.885714285714285232e+00,-7.714368390892234690e-04,3.496225313643076295e-03
4.942857142857143060e+00,8.141192559722121519e-04,3.018230425715408890e-03
5.000000000000000000e+00,2.771794296460328242e-03,3.150561255827806929e-03
5.057142857142856940e+00,-2.441602032136524960e-03,3.117891783227303131e-03
5.114285714285713880e+00,1.642155110697984810e-03,3.249847956051166772e-03
5.171428571428570820e+00,6.570562805166014000e-03,2.392200376313478351e-03
5.228571428571428648e+00,4.880588794186224537e-03,2.073679743368957249e-03
5.285714285714285587e+00,3.110400631034071603e-04,2.897964001633785390e-03
5.342857142857142527e+00,2.436180480915916928e-03,2.816464390979830403e-03
5.400000000000000355e+00,4.498012639678417024e-03,2.898135564876069565e-03
5.457142857142857295e+00,-1.514770086122796313e-03,2.563445676093147746e-03
5.514285714285714235e+00,2.820074289292606902e-03,2.667842438280513574e-03
5.571428571428571175e+00,-2.206020089315585686e-03,2.711700959390922223e-03
5.628571428571428115e+00,9.925605101027245702e-04,2.522581547911611783e-03
5.685714285714285054e+00,9.869678666623027668e-05,3.692842353501653730e-03
