r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,4.363066403723947148e-03,1.394875620648553124e-04
9.428571428571428381e-01,3.436671177483043849e-01,1.128037556332265982e-03
1.000000000000000000e+00,1.889997399416827095e+00,3.089057291839294138e-03
1.057142857142856940e+00,2.979449874931725084e+00,2.314033784200042639e-03
1.114285714285714324e+00,2.749594619230472325e+00,2.690788510328676400e-03
1.171428571428571264e+00,2.112728884204671864e+00,1.835417497423087307e-03
1.228571428571428648e+00,1.575194184845250200e+00,1.228771456022671477e-03
1.285714285714285587e+00,1.206259854059893000e+00,1.739942757953411370e-03
1.342857142857142971e+00,9.762290295864129996e-01,1.617411146279433033e-03
1.399999999999999911e+00,8.314380207202900497e-01,1.131844052116764152e-03
1.457142857142857295e+00,7.442838569006323679e-01,6.575182012876208508e-04
1.514285714285714235e+00,6.987028027591610790e-01,1.358391962353342223e-03
1.571428571428571175e+00,6.882443181458779424e-01,1.230730402437696640e-03
1.628571428571428559e+00,7.042226930290601539e-01,1.246202084634500003e-03
1.685714285714285499e+00,7.435867901542728697e-01,1.199041013756835163e-03
1.742857142857142883e+00,8.126820030662396110e-01,1.358897363115372592e-03
1.799999999999999822e+00,8.937605711226709326e-01,1.121031673469397418e-03
1.857142857142857206e+00,9.818244434707364965e-01,8.810186972742173285e-04
1.914285714285714146e+00,1.069363004176400844e+00,1.043126493062989865e-03
1.971428571428571530e+00,1.142025930142320567e+00,1.068384447656697865e-03
2.028571428571428470e+00,1.194318206028549545e+00,1.163361260156753471e-03
2.085714285714285410e+00,1.211561599201860684e+00,1.022705906239096624e-03
2.142857142857142794e+00,1.190223965253478067e+00,1.332710113806880991e-03
2.200000000000000178e+00,1.142446340394054349e+00,9.389300905708659493e-04
2.257142857142857117e+00,1.077646848310982008e+00,8.748791869824141003e-04
2.314285714285714057e+00,1.016164134320459933e+00,9.954189524627400556e-04
2.371428571428571441e+00,9.658985609058629018e-01,1.366165595043543650e-03
2.428571428571428381e+00,9.286403656812358687e-01,7.110417069919564449e-04
2.485714285714285765e+00,9.047776360949481012e-01,4.042319488949852233e-04
2.542857142857142705e+00,8.977532960961950304e-01,9.415469969385625469e-04
2.599999999999999645e+00,9.048379000091308910e-01,5.403253762059180088e-04
2.657142857142857029e+00,9.219939647951648221e-01,7.159569021268628094e-04
2.714285714285714413e+00,9.474221565623043295e-01,6.580504870868917385e-04
2.771428571428571352e+00,9.761343985742974017e-01,6.945861530508546169e-04
2.828571428571428292e+00,1.004894065544439830e+00,7.005196123779733417e-04
2.885714285714285676e+00,1.029748045841751836e+00,8.182040463582697636e-04
2.942857142857143060e+00,1.046300228545322231e+00,6.727519014218814441e-04
3.000000000000000000e+00,1.056514991482138788e+00,6.983805137338522980e-04
3.057142857142856940e+00,1.056093837200546393e+00,3.111322722606022352e-04
3.114285714285713880e+00,1.049075897051737316e+00,5.745736054250575155e-04
3.171428571428571264e+00,1.036306366093143305e+00,6.125042526353250295e-04
3.228571428571428648e+00,1.018877598105026872e+00,5.387418348170486303e-04
3.285714285714285587e+00,1.003905615266552864e+00,8.424492567430106379e-04
3.342857142857142527e+00,9.894547810750301542e-01,7.186154432960536499e-04
3.399999999999999911e+00,9.770637839232385602e-01,5.415680157509969450e-04
3.457142857142857295e+00,9.698112232343172323e-01,9.282309119835814755e-04
3.514285714285714235e+00,9.664223225884767121e-01,5.202841782762303476e-04
3.571428571428571175e+00,9.686218232063998901e-01,7.619741314343132007e-04
3.628571428571428559e+00,9.752282148206651291e-01,6.685264083997738676e-04
3.685714285714285499e+00,9.843366941634352774e-01,3.991342064410041473e-04
3.742857142857142883e+00,9.935245350314628743e-01,5.491002783415456241e-04
3.799999999999999822e+00,1.003679018226532271e+00,3.100688702598699588e-04
3.857142857142856762e+00,1.010150764169182036e+00,5.963547476460312425e-04
3.914285714285714146e+00,1.015460704650999357e+00,5.915610866202638011e-04
3.971428571428571530e+00,1.018133642262391225e+00,5.370390857025615899e-04
4.028571428571428470e+00,1.018044846814726512e+00,4.251861704019252951e-04
4.085714285714285410e+00,1.015274133363176290e+00,6.749928880876091128e-04
4.142857142857142350e+00,1.011127737703168439e+00,6.775267924315394588e-04
4.200000000000000178e+00,1.004383521626884379e+00,5.683040895294974755e-04
4.257142857142857117e+00,9.999401563470475818e-01,3.298843744804657490e-04
4.314285714285714057e+00,9.945165616659792374e-01,4.751760982760875229e-04
4.371428571428570997e+00,9.917718631452497879e-01,6.645251248410098286e-04
4.428571428571428825e+00,9.885002331923079533e-01,4.327626823512420798e-04
4.485714285714285765e+00,9.878622761145079423e-01,5.795332726890191745e-04
4.542857142857142705e+00,9.884980545606196767e-01,4.971438132173189176e-04
4.599999999999999645e+00,9.913072178277353430e-01,4.648557375038058761e-04
4.657142857142856585e+00,9.950276484734912330e-01,3.264108118508286024e-04
4.714285714285714413e+00,9.974176422941519737e-01,4.936792878414938187e-04
4.771428571428571352e+00,1.001508276517426577e+00,4.970816030175295936e-04
4.828571428571428292e+00,1.003776534832681033e+00,3.943369261955130935e-04
4.885714285714285232e+00,1.004993895533123460e+00,6.029271417349554331e-04
4.942857142857143060e+00,1.006912570553646358e+00,3.775822312459891045e-04
5.000000000000000000e+00,1.005719323286761613e+00,3.641386100286768943e-04
5.057142857142856940e+00,1.003932807890350887e+00,6.369008849582419177e-04
5.114285714285713880e+00,1.002938975143380151e+00,3.560467456780076214e-04
5.171428571428570820e+00,1.001827202905033687e+00,4.757262043520862969e-04
5.228571428571428648e+00,9.996648773940728372e-01,4.424887083829303269e-04
5.285714285714285587e+00,9.970212194594259003e-01,4.670527043507219801e-04
5.342857142857142527e+00,9.963151280900145457e-01,6.625095134055921644e-04
5.400000000000000355e+00,9.963891498818799874e-01,5.117698288672154492e-04
5.457142857142857295e+00,9.954621266133705237e-01,2.938693020113664241e-04
5.514285714285714235e+00,9.958430170674688053e-01,2.783639862830984365e-04
5.571428571428571175e+00,9.972269270348690373e-01,4.219658949418321242e-04
5.628571428571428115e+00,9.981255983184901259e-01,4.051238904014621057e-04
5.685714285714285054e+00,9.994108908503450683e-01,3.257532495049227138e-04
5.742857142857142883e+00,1.000022330781373148e+00,3.126990035363980038e-04
