r,gNN_mean,gNN_err
2.857142857142857054e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.571428571428571508e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.428571428571428492e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.571428571428571175e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.142857142857142794e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.714285714285714413e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.285714285714285476e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.857142857142856540e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.428571428571428159e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.571428571428571397e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.714285714285713524e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.285714285714285143e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.857142857142856762e-01,3.003998950476740627e-03,2.274428087195975914e-04
9.428571428571428381e-01,2.616384697456536346e-01,2.587568925807544502e-03
1.000000000000000000e+00,1.530339546178181243e+00,3.829650316395301433e-03
1.057142857142856940e+00,2.570087950311828795e+00,5.029849355419583820e-03
1.114285714285714324e+00,2.472046418616309804e+00,6.288741397817008971e-03
1.171428571428571264e+00,2.037629798456850327e+00,3.043361817759347721e-03
1.228571428571428648e+00,1.723213503712281547e+00,2.706353413224755079e-03
1.285714285714285587e+00,1.501132521351083327e+00,3.855679122503578339e-03
1.342857142857142971e+00,1.328837427856145670e+00,3.101662294976338316e-03
1.399999999999999911e+00,1.206722002010953698e+00,2.613672217378300300e-03
1.457142857142857295e+00,1.125194526100384396e+00,2.672890222244071485e-03
1.514285714285714235e+00,1.053626214143431827e+00,3.054747194842420861e-03
1.571428571428571175e+00,1.002614471656681605e+00,1.614800027033940193e-03
1.628571428571428559e+00,9.727485534700243131e-01,2.072047681495677637e-03
1.685714285714285499e+00,9.534365053251177002e-01,2.586940995528715700e-03
1.742857142857142883e+00,9.421144093290886312e-01,1.083846540813441194e-03
1.799999999999999822e+00,9.434895224347361609e-01,2.226652683329152782e-03
1.857142857142857206e+00,9.560033120833782982e-01,1.430811514668369703e-03
1.914285714285714146e+00,9.665947646100694346e-01,2.627958562493929156e-03
1.971428571428571530e+00,9.842055140048617812e-01,2.334720428138486667e-03
2.028571428571428470e+00,1.005675485973147376e+00,2.055706175514821887e-03
2.085714285714285410e+00,1.024909008426750479e+00,1.731617392653719617e-03
2.142857142857142794e+00,1.038244765893317378e+00,2.348644272221284135e-03
2.200000000000000178e+00,1.036840754331480152e+00,1.699033884788618857e-03
2.257142857142857117e+00,1.032055118478208744e+00,1.048586931553176184e-03
2.314285714285714057e+00,1.033429137014534094e+00,1.502284859379035380e-03
2.371428571428571441e+00,1.027109361078824890e+00,1.247490091247014038e-03
2.428571428571428381e+00,1.020747661706188802e+00,1.621151198033755989e-03
2.485714285714285765e+00,1.014256740216443520e+00,1.899956594668229326e-03
2.542857142857142705e+00,1.007796175465951904e+00,1.700742586832693212e-03
2.599999999999999645e+00,1.004367689709660061e+00,1.452092956078627388e-03
2.657142857142857029e+00,1.001321182177211444e+00,1.483210302648368603e-03
2.714285714285714413e+00,9.978139687151715842e-01,1.520208368483153601e-03
2.771428571428571352e+00,9.951968098620278536e-01,1.379855038079071290e-03
2.828571428571428292e+00,9.948333644166430512e-01,1.393426047494622077e-03
2.885714285714285676e+00,9.944644545228443766e-01,1.067871141822908636e-03
2.942857142857143060e+00,9.951622317941837270e-01,1.411979146601016321e-03
3.000000000000000000e+00,9.956631017775995351e-01,1.312075979259769848e-03
3.057142857142856940e+00,9.968735845514975491e-01,1.160814209993568788e-03
3.114285714285713880e+00,1.000022615777073298e+00,1.118276588303247993e-03
3.171428571428571264e+00,1.000876227242168293e+00,6.822035313055482093e-04
3.228571428571428648e+00,1.003690521535828495e+00,1.373584078442006539e-03
3.285714285714285587e+00,1.000845496196574924e+00,1.345518174913896492e-03
3.342857142857142527e+00,1.001107715024900147e+00,1.000798377207914652e-03
3.399999999999999911e+00,1.000203833433874978e+00,9.426053708307867646e-04
3.457142857142857295e+00,1.001720060065098838e+00,1.483851046394175401e-03
3.514285714285714235e+00,1.000982921385790814e+00,7.574176123121042613e-04
3.571428571428571175e+00,9.999111678192000863e-01,8.293804287769437509e-04
3.628571428571428559e+00,1.000128651566513982e+00,1.078935020008613306e-03
3.685714285714285499e+00,1.000280151564065356e+00,1.395628511874203500e-03
3.742857142857142883e+00,9.997708627137011916e-01,8.488531159145911841e-04
3.799999999999999822e+00,9.972087492583854296e-01,8.315009532662399156e-04
3.857142857142856762e+00,1.000545695294625670e+00,4.298895180310786761e-04
3.914285714285714146e+00,9.981862201072531082e-01,9.707422972125474576e-04
3.971428571428571530e+00,9.991201543280323616e-01,8.282175303128241602e-04
4.028571428571428470e+00,9.992164835837744619e-01,9.108039556678485275e-04
4.085714285714285410e+00,1.000469101288285367e+00,1.214498499816473202e-03
4.142857142857142350e+00,9.978169625726411862e-01,7.441545357019379052e-04
4.200000000000000178e+00,9.991856110304617733e-01,1.098801907540764488e-03
4.257142857142857117e+00,9.973991145909153477e-01,1.288525005203441627e-03
4.314285714285714057e+00,9.978635966987905448e-01,7.049686325344283085e-04
4.371428571428570997e+00,9.978243634477859114e-01,4.559706595449961866e-04
4.428571428571428825e+00,1.000503737342349542e+00,8.005765188728773902e-04
4.485714285714285765e+00,1.000096151215859930e+00,1.070774412583082313e-03
4.542857142857142705e+00,9.987969786843917674e-01,7.373678029153529680e-04
4.599999999999999645e+00,1.000444389197791217e+00,9.521789379025834277e-04
4.657142857142856585e+00,9.993881403929562035e-01,7.236881782017998881e-04
4.714285714285714413e+00,1.000198507265155579e+00,9.051155609848495669e-04
4.771428571428571352e+00,9.986967622612301643e-01,8.739241801704023503e-04
4.828571428571428292e+00,9.980619835666363349e-01,6.286865642792753691e-04
4.885714285714285232e+00,9.995578116003261959e-01,7.595987083270091351e-04
4.942857142857143060e+00,9.985462981591863851e-01,4.848627699878195647e-04
5.000000000000000000e+00,9.985220295852947903e-01,5.461129921610668103e-04
5.057142857142856940e+00,9.989248803978730828e-01,7.130377140181720858e-04
5.114285714285713880e+00,9.993956141086790534e-01,8.673943378980455456e-04
5.171428571428570820e+00,9.986975294765034761e-01,9.184384179121227046e-04
5.228571428571428648e+00,9.997896097261202986e-01,5.035620773085772248e-04
5.285714285714285587e+00,9.986568841108436345e-01,5.348298492451617273e-04
5.342857142857142527e+00,9.984191713138811375e-01,7.968346376547487267e-04
5.400000000000000355e+00,9.995151428198543186e-01,1.020645514095709075e-03
5.457142857142857295e+00,9.993006149076638645e-01,5.773333876995938611e-04
5.514285714285714235e+00,9.987177424206462595e-01,5.497277561253544574e-04
5.571428571428571175e+00,9.994976857075446031e-01,7.648768433136954054e-04
5.628571428571428115e+00,9.990765329434795339e-01,9.658391686938567556e-04
5.685714285714285054e+00,9.989229185423009749e-01,7.792908675903289801e-04
5.742857142857142883e+00,9.997837432831182536e-01,4.454634204271399342e-04
