r_value,n_plus,n_minus,probability
0.15,13.56,13.62,0.98817280142819
0.15,13.56,40.86,0.000129509418323391
0.15,13.56,68.1,0.0
0.15,13.56,95.34,0.0
0.15,13.56,122.57999999999998,0.0
0.15,13.56,149.82,0.0
0.15,13.56,177.06,0.0
0.15,13.56,204.29999999999998,0.0
0.15,13.56,231.54,0.0
0.15,13.56,258.78,0.0
0.15,13.56,286.02,0.0
0.15,13.56,313.26,0.0
0.15,13.56,340.5,0.0
0.15,13.56,367.74,0.0
0.15,13.56,394.97999999999996,0.0
0.15,13.56,422.21999999999997,0.0
0.15,13.56,449.46,0.0
0.15,13.56,476.7,0.0
0.15,13.56,503.93999999999994,0.0
0.15,13.56,531.18,0.0
0.15,13.56,558.42,0.0
0.15,13.56,585.66,0.0
0.15,13.56,612.9,0.0
0.15,13.56,640.14,0.0
0.15,13.56,667.38,0.0
0.15,40.68,13.62,0.0001414641338609348
0.15,40.68,40.86,0.001320996066898588
0.15,40.68,68.1,7.969810358362523e-06
0.15,40.68,95.34,0.0
0.15,40.68,122.57999999999998,0.0
0.15,40.68,149.82,0.0
0.15,40.68,177.06,0.0
0.15,40.68,204.29999999999998,0.0
0.15,40.68,231.54,0.0
0.15,40.68,258.78,0.0
0.15,40.68,286.02,0.0
0.15,40.68,313.26,0.0
0.15,40.68,340.5,0.0
0.15,40.68,367.74,0.0
0.15,40.68,394.97999999999996,0.0
0.15,40.68,422.21999999999997,0.0
0.15,40.68,449.46,0.0
0.15,40.68,476.7,0.0
0.15,40.68,503.93999999999994,0.0
0.15,40.68,531.18,0.0
0.15,40.68,558.42,0.0
0.15,40.68,585.66,0.0
0.15,40.68,612.9,0.0
0.15,40.68,640.14,0.0
0.15,40.68,667.38,0.0
0.15,67.8,13.62,0.0
0.15,67.8,40.86,2.1916978485496937e-05
0.15,67.8,68.1,0.00016537356493602235
0.15,67.8,95.34,0.0
0.15,67.8,122.57999999999998,0.0
0.15,67.8,149.82,0.0
0.15,67.8,177.06,0.0
0.15,67.8,204.29999999999998,0.0
0.15,67.8,231.54,0.0
0.15,67.8,258.78,0.0
0.15,67.8,286.02,0.0
0.15,67.8,313.26,0.0
0.15,67.8,340.5,0.0
0.15,67.8,367.74,0.0
0.15,67.8,394.97999999999996,0.0
0.15,67.8,422.21999999999997,0.0
0.15,67.8,449.46,0.0
0.15,67.8,476.7,0.0
0.15,67.8,503.93999999999994,0.0
0.15,67.8,531.18,0.0
0.15,67.8,558.42,0.0
0.15,67.8,585.66,0.0
0.15,67.8,612.9,0.0
0.15,67.8,640.14,0.0
0.15,67.8,667.38,0.0
0.15,94.92,13.62,0.0
0.15,94.92,40.86,0.0
0.15,94.92,68.1,1.992452589590631e-06
0.15,94.92,95.34,3.187924143345009e-05
0.15,94.92,122.57999999999998,1.992452589590631e-06
0.15,94.92,149.82,0.0
0.15,94.92,177.06,0.0
0.15,94.92,204.29999999999998,0.0
0.15,94.92,231.54,0.0
0.15,94.92,258.78,0.0
0.15,94.92,286.02,0.0
0.15,94.92,313.26,0.0
0.15,94.92,340.5,0.0
0.15,94.92,367.74,0.0
0.15,94.92,394.97999999999996,0.0
0.15,94.92,422.21999999999997,0.0
0.15,94.92,449.46,0.0
0.15,94.92,476.7,0.0
0.15,94.92,503.93999999999994,0.0
0.15,94.92,531.18,0.0
0.15,94.92,558.42,0.0
0.15,94.92,585.66,0.0
0.15,94.92,612.9,0.0
0.15,94.92,640.14,0.0
0.15,94.92,667.38,0.0
0.15,122.03999999999999,13.62,0.0
0.15,122.03999999999999,40.86,0.0
0.15,122.03999999999999,68.1,0.0
0.15,122.03999999999999,95.34,1.992452589590631e-06
0.15,122.03999999999999,122.57999999999998,1.3947168127134414e-05
0.15,122.03999999999999,149.82,0.0
0.15,122.03999999999999,177.06,0.0
0.15,122.03999999999999,204.29999999999998,0.0
0.15,122.03999999999999,231.54,0.0
0.15,122.03999999999999,258.78,0.0
0.15,122.03999999999999,286.02,0.0
0.15,122.03999999999999,313.26,0.0
0.15,122.03999999999999,340.5,0.0
0.15,122.03999999999999,367.74,0.0
0.15,122.03999999999999,394.97999999999996,0.0
0.15,122.03999999999999,422.21999999999997,0.0
0.15,122.03999999999999,449.46,0.0
0.15,122.03999999999999,476.7,0.0
0.15,122.03999999999999,503.93999999999994,0.0
0.15,122.03999999999999,531.18,0.0
0.15,122.03999999999999,558.42,0.0
0.15,122.03999999999999,585.66,0.0
0.15,122.03999999999999,612.9,0.0
0.15,122.03999999999999,640.14,0.0
0.15,122.03999999999999,667.38,0.0
0.15,149.16,13.62,0.0
0.15,149.16,40.86,0.0
0.15,149.16,68.1,0.0
0.15,149.16,95.34,0.0
0.15,149.16,122.57999999999998,0.0
0.15,149.16,149.82,1.992452589590631e-06
0.15,149.16,177.06,0.0
0.15,149.16,204.29999999999998,0.0
0.15,149.16,231.54,0.0
0.15,149.16,258.78,0.0
0.15,149.16,286.02,0.0
0.15,149.16,313.26,0.0
0.15,149.16,340.5,0.0
0.15,149.16,367.74,0.0
0.15,149.16,394.97999999999996,0.0
0.15,149.16,422.21999999999997,0.0
0.15,149.16,449.46,0.0
0.15,149.16,476.7,0.0
0.15,149.16,503.93999999999994,0.0
0.15,149.16,531.18,0.0
0.15,149.16,558.42,0.0
0.15,149.16,585.66,0.0
0.15,149.16,612.9,0.0
0.15,149.16,640.14,0.0
0.15,149.16,667.38,0.0
0.15,176.28,13.62,0.0
0.15,176.28,40.86,0.0
0.15,176.28,68.1,0.0
0.15,176.28,95.34,0.0
0.15,176.28,122.57999999999998,0.0
0.15,176.28,149.82,0.0
0.15,176.28,177.06,0.0
0.15,176.28,204.29999999999998,1.992452589590631e-06
0.15,176.28,231.54,0.0
0.15,176.28,258.78,0.0
0.15,176.28,286.02,0.0
0.15,176.28,313.26,0.0
0.15,176.28,340.5,0.0
