r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,5.127736867537208809e+00,1.849999990863176791e+00,6.454095735513543916e-09,1.133142897169339802e+00,2.613381500052919595e-02
1.499999999999999944e-02,3.314231045045417101e+00,1.849999999995912470e+00,1.748446740541701058e-12,1.591520150985749060e+00,2.547444960711112844e-02
2.000000000000000042e-02,2.371333553757874579e+00,1.849999999992592903e+00,2.323038320904776621e-12,2.197918954793053992e+00,1.107218173201826583e-02
5.000000000000000278e-02,1.014727210476427555e+00,1.679755435532418462e+00,4.859189789716175656e-02,8.750752824248669626e+00,3.189570050611845731e-01
8.000000000000000167e-02,7.831821320159771949e-01,1.756336719405950930e+00,2.836384323564680385e-02,4.667737979853350794e+01,6.148718096842497260e+00
1.000000000000000056e-01,7.317125031587536910e-01,1.846305938822103032e+00,2.176003833347044288e-03,3.423338293488842901e+06,3.423110245082912734e+05
1.499999999999999944e-01,7.862904183383289114e-01,1.849998958554271988e+00,6.680235283804177517e-07,2.236771235329054264e+01,2.371103905652504062e-01
2.000000000000000111e-01,8.101170825085405314e-01,1.848658707638097143e+00,8.316217900150077837e-04,7.803369436719524543e+00,7.773585786920605978e-01
2.999999999999999889e-01,1.320952479269848601e+00,1.572848686286159259e+00,1.197481193147925393e-01,2.024307840093497290e+00,1.697313593149666899e-01
4.000000000000000222e-01,5.277028183573534426e-01,1.849999999986482457e+00,7.804215865438502657e-12,1.906227800315524412e+00,1.504292596051396147e-01
8.000000000000000444e-01,nan,nan,nan,nan,nan
