cluster_size, probability, probability_err
1.000000000000000000e+00,5.965239236310351245e-01,1.462731892212841252e-03
2.000000000000000000e+00,2.657883077611144507e-01,7.465007107804454449e-04
3.000000000000000000e+00,7.325385985351511031e-02,2.590123779469179362e-04
4.000000000000000000e+00,3.523235446172535285e-02,7.473587099100285989e-04
5.000000000000000000e+00,1.502732577627999104e-02,2.419170548367299324e-04
6.000000000000000000e+00,7.248224588488051852e-03,1.018849551430783742e-04
7.000000000000000000e+00,3.482487221891413919e-03,1.709588450004321462e-04
8.000000000000000000e+00,1.502415261617713604e-03,7.460120706728442033e-05
9.000000000000000000e+00,8.129030667815249911e-04,1.442566481712865504e-04
1.000000000000000000e+01,5.192880648164666666e-04,5.282384628465992973e-05
1.100000000000000000e+01,2.773831134304387855e-04,2.953876865726255915e-05
1.200000000000000000e+01,1.518283409067972141e-04,2.437672137386591694e-05
1.300000000000000000e+01,7.566996233388889690e-05,1.460358429511667680e-05
1.400000000000000000e+01,4.018087362160833488e-05,4.608561333196933930e-06
1.600000000000000000e+01,2.001039950786111222e-05,1.038092977577081196e-05
1.700000000000000000e+01,2.204585537917777712e-05,1.135535171158415670e-05
1.800000000000000000e+01,1.058201058201058211e-05,1.058201058201058211e-05
1.900000000000000000e+01,1.120975697246666518e-05,1.120975697246666857e-05
