r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,4.058515352925047281e+00,1.385083566005540057e+00,2.908669409894487634e-01,7.334954583990328514e-01,5.896489127421720988e-02
1.499999999999999944e-02,2.542261449996667810e+00,1.271325802313780562e+00,1.632404279349309317e-01,9.450865902475849012e-01,5.760706777574290532e-02
2.000000000000000042e-02,1.937765241319074905e+00,1.246566558649705225e+00,1.893696064563755999e-01,1.175123950243545323e+00,8.471757566336099443e-02
5.000000000000000278e-02,9.366670687083051838e-01,1.475807987914185881e+00,1.194181527950364669e-01,3.837881850728758426e+00,2.604461576107024445e-01
8.000000000000000167e-02,6.897735148721176879e-01,1.648436868604131744e+00,4.430385031468191820e-02,1.453383546353127720e+01,1.100288361264659232e+00
1.000000000000000056e-01,5.615852905722952260e-01,1.604131499967266450e+00,5.153367525289010050e-03,2.632130580209266668e+01,7.399020929690958148e-01
1.499999999999999944e-01,6.128126583809204719e-01,1.843915452193857165e+00,4.537749230839700776e-02,5.075229725341209996e+04,2.142089866363168403e+03
2.000000000000000111e-01,5.935536763401582094e-01,1.834766526578344603e+00,1.133114181290949783e-02,1.007836962364203792e+01,1.991026955148033073e-01
2.999999999999999889e-01,8.987487019073380212e-01,1.636272377808823286e+00,1.745052310200680690e-01,2.341195689955173354e+00,2.300926626378489159e-01
4.000000000000000222e-01,9.265927570256072832e-01,1.691424160804526622e+00,1.294766305135475748e-01,1.581457954920144182e+00,1.657238333937423591e-01
8.000000000000000444e-01,nan,nan,nan,nan,nan
