r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,7.932398100602907398e+00,1.979932843967549205e+00,2.845894426980000730e-05,5.233696749871022957e-01,8.415566358141285050e-03
1.499999999999999944e-02,5.740801539811250187e+00,1.973037662144398796e+00,5.684662704621986674e-03,6.377250037625231682e-01,1.051873612013575106e-02
2.000000000000000042e-02,4.700573560184147404e+00,4.934848959919660438e-01,2.166957282053099121e-01,5.376089919709413634e-01,1.936987849394730676e-02
5.000000000000000278e-02,1.731222212491448031e+00,1.323413939681973739e+00,2.729895929396820020e-01,1.278369548705841519e+00,9.290056671566236657e-02
8.000000000000000167e-02,1.348007231367909453e+00,1.651459228636658949e+00,9.537115578732276167e-02,2.356680125727940389e+00,1.039106606018877638e-01
1.000000000000000056e-01,1.426736447207451297e+00,1.970291921587795647e+00,7.330205644310205243e-03,3.925345329338355338e+00,3.362908535281731726e-01
1.499999999999999944e-01,6.540504470725009289e-01,1.434372905349260874e+00,6.315432886712876726e-02,5.731780139403084284e+00,3.390428237760801933e-01
2.000000000000000111e-01,7.396175624873415622e-01,1.718383960065566818e+00,7.576205801678514984e-02,1.529165912589901133e+01,7.891869692060413666e-01
2.999999999999999889e-01,5.669952853555655148e-01,1.850051656032801750e+00,6.327384780763176120e-02,1.458022835230870271e+04,3.514874341277664627e+02
4.000000000000000222e-01,5.102684897627906002e-01,1.804120019398846919e+00,4.269714858353945187e-03,9.020053029185311289e+01,4.306738491259292534e+00
8.000000000000000444e-01,6.147619863764893777e-01,1.739202471271937611e+00,9.933178974185657983e-02,4.418322056088905825e+00,2.455246967452632545e-01
