r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.4999999999999998,0.2238438044472058,0.42241692194633557,0.6445266031110862,0.0,0.03610372506532088,0.023828680431877157,0.1055674640645516
0.015,1.4999999999999998,0.3189318243056155,0.4851247649808646,0.6754988410703059,0.0,0.011995476919053264,0.01175429065938297,0.025418866859475676
0.02,1.4999999999999998,0.31772579939816126,0.5054549816005314,0.6229774973166472,0.0,0.011570142922733671,0.011399110480519541,0.022844663668801897
0.05,1.4999999999999996,0.30658053502081506,0.4816529244995971,0.6585653633341194,8.881784197001252e-17,0.0018199920691893971,0.002129189596327295,0.003910075573610679
0.08,1.4999999999999998,0.3073253306009892,0.4729528974005028,0.6848114651784522,0.0,0.0022007291826148957,0.0018886443853404922,0.0049053866866642344
0.1,1.4999999999999998,0.3149569018347972,0.47395766867501105,0.6987841650831329,0.0,0.0026695937487724894,0.0025332904220488543,0.005924517346515966
0.15,1.4999999999999998,0.3130271655564497,0.46276994738308214,0.7299108834918879,0.0,0.001983028253114325,0.001671323374006592,0.0046361339481178305
0.2,1.4999999999999998,0.322628686574279,0.4593397899628739,0.7643822806634165,0.0,0.002370914629663924,0.0016114533853246983,0.005632826885970084
0.3,1.4999999999999998,0.3311223643125163,0.44801607156396395,0.8289053197135635,0.0,0.001372691813878521,0.001091753525515871,0.0034748375087657376
0.4,1.4999999999999998,0.3413534698917966,0.44101368200029184,0.8858752912655816,0.0,0.001020914824459557,0.0006278987846993708,0.002680078754566557
0.8,1.4999999999999998,0.37994691252847695,0.42820684223533034,1.057750364481035,0.0,0.0007562200975490927,0.000612092611455561,0.002210462130287685
