r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.5304601223106508,0.01470363297276131,-2.5890218524767157,0.01086652466621902,2.0585617301660646,0.005477759670079052,2.5890218524767157,0.01086652466621902
0.015,-0.4629250578991009,0.011252219688109674,-2.4105239272299963,0.007149258991738225,1.9475988693308957,0.0052041342711204195,2.4105239272299963,0.007149258991738225
0.02,-0.4379207551838865,0.009459150367494359,-2.2952886129630796,0.006048661840433575,1.857367857779193,0.0042311899619422565,2.2952886129630796,0.006048661840433575
0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
