r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,1.090923780387402608e+01,1.324495902248193024e+00,4.698099995664520301e-01,4.345518109163529208e-01,2.653052442142969994e-02
1.499999999999999944e-02,7.778722360170735151e+00,1.368898467376098216e+00,4.314097259826622510e-01,5.187945581585559074e-01,4.130482803270552061e-02
2.000000000000000042e-02,1.074257893004753939e+00,1.744223181575765169e+00,1.271912396227109221e-01,9.457280946721833281e-01,9.205714212441469535e-02
5.000000000000000278e-02,2.731862639505500567e+00,1.625732396784853817e+00,1.122091451661914319e-01,1.124735468778812475e+00,3.267362877244148894e-02
8.000000000000000167e-02,9.251801235924990152e-01,8.785731712818964922e-01,2.426812957699921725e-01,1.525448565440071569e+00,9.570747062615367340e-02
1.000000000000000056e-01,6.818194456295835204e-01,1.899999999933714934e+00,1.293411030797184277e-12,3.295478423796625034e+00,2.644908015742135094e-03
1.499999999999999944e-01,8.657842336208717571e-01,1.601004947503832598e+00,3.194981762052261781e-02,4.658662639950480688e+00,1.341888148322870344e-01
2.000000000000000111e-01,8.603374740724482050e-01,1.733539603804546525e+00,1.192762065259359572e-01,9.833031918258280157e+00,6.504303554868978710e-01
2.999999999999999889e-01,5.961732952127082319e-01,1.733560151652269399e+00,8.239065943199066003e-03,3.440719068364536071e+01,2.519279603801144685e+00
4.000000000000000222e-01,6.255612428339142328e-01,1.899741211879429015e+00,1.182702620405857812e-04,1.058738628466636982e+04,5.347288540495570786e+03
8.000000000000000444e-01,7.562625838393194355e-01,1.893011020412972423e+00,5.706362914719938229e-03,5.036391412075281515e+00,1.259657021829544699e-01
