r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,4.041490339766569129e-01,5.592296233385894016e-03,3.905952071497085787e-01,2.943543400229083670e-03
1.499999999999999944e-02,3.866591058088474364e-01,6.062219530069278169e-03,4.066269452788643934e-01,6.057740837352583799e-03
2.000000000000000042e-02,4.040143416080209104e-01,1.123312798858863530e-02,3.926746456677611685e-01,5.113186229892710370e-03
5.000000000000000278e-02,3.820223885319502521e-01,4.049186969425135410e-03,3.840174578381280179e-01,2.966865666023814612e-03
8.000000000000000167e-02,3.652432568363118692e-01,2.895017149821143502e-03,3.622991914964869831e-01,2.345230036607093022e-03
1.000000000000000056e-01,3.555634880170145395e-01,2.795902976943246635e-03,3.510850391600325859e-01,2.113097246553481603e-03
1.499999999999999944e-01,3.347023630629463176e-01,1.488943147979832765e-03,3.328326513180591695e-01,1.556494718435037870e-03
2.000000000000000111e-01,3.177084379684006477e-01,1.186480200631696326e-03,3.209252862055443356e-01,1.690049749776190895e-03
2.999999999999999889e-01,2.934800096958486426e-01,4.634639391111443764e-04,2.958737951494502250e-01,8.636422197765306020e-04
4.000000000000000222e-01,2.754052338466020933e-01,7.856772629549932082e-04,2.772893587406301541e-01,8.776535749130588314e-04
8.000000000000000444e-01,2.384652147997463612e-01,4.893520371036758987e-04,2.372189429752899481e-01,4.486349530721619365e-04
