r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.0277875820098366,13.113886816938372,0.48140774283085647,28.198318571379485,0.009556492862649714,0.341243758996612,0.007435958423938324,0.7338196856595092
0.015,1.0578795348191048,10.994130538514646,0.4811427704534073,23.66607125850874,0.013692595622532841,0.3751249864895892,0.006169982996374514,0.8075176491228517
0.02,1.070596273590385,9.716190470205547,0.47454967889197697,21.50230823957641,0.009016410307122873,0.18221255838003927,0.005077572230303021,0.40331067533179427
0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
