r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.478535654441168,0.8412884397221261,0.3803697059633611,3.232303796080998,0.015631499722498172,0.03456683963220274,0.0033062271413417956,0.13580639097255784
0.015,1.496641053190165,0.8115457368365753,0.38996254604567165,2.8974328619071485,0.0030043333596727613,0.01286323730357234,0.0030198121378508763,0.050014848896114225
0.02,1.4918245656125144,0.7629203382676091,0.39280272839548447,2.667787011467698,0.006866414915485562,0.008322069127528649,0.0009099826087595327,0.029567390599466246
0.05,1.4999999999999998,0.6977791719541723,0.4155935177590514,2.0940718977856436,0.0,0.004814475906908231,0.001518809854053927,0.015111957799025287
0.08,1.4999999999999998,0.6581751007505363,0.42558061359460825,1.860251659977549,0.0,0.003100658514629103,0.0006843625745794441,0.008876888345666118
0.1,1.4999999999999998,0.6455078493316802,0.42977603131172737,1.7811041725569412,0.0,0.0022783436279186988,0.0011790731921905943,0.00662793283005277
0.15,1.4999999999999998,0.6295344686355774,0.43449132610090324,1.692014681203349,0.0,0.0025681537221507638,0.0007918115744514332,0.0070027586319449005
0.2,1.4999999999999998,0.6226789360974081,0.4369450060669263,1.651391765675641,0.0,0.0013265031669170537,0.00043936803156009534,0.003568162261876888
0.3,1.4999999999999998,0.6178622043819896,0.4368733321798417,1.639251792294028,0.0,0.0008582887807813633,0.0003619825791596652,0.002328971257718799
0.4,1.4999999999999998,0.6224965478690557,0.43453350053142337,1.6727117991931868,0.0,0.0008824737097135042,0.00021625345766672263,0.002392582728387808
0.8,1.4999999999999998,0.663815967241807,0.4291996495752253,1.837609892348137,0.0,0.0003690247742156227,0.000123409796870148,0.0010471567060344883
