r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.4406006430026,1.5087393363104518,0.3931689767935346,5.261807212927462,0.05270546716192011,0.17056331190474808,0.010774757393188433,0.6071146050752854
0.015,1.4999999999622982,1.2962137487245624,0.37836813140264425,5.06025455273532,3.371645838504245e-11,0.019482644554977044,0.003601987326422366,0.09100992145986668
0.02,1.391093523129722,1.6152791550909913,0.3989275458159759,5.408128018487277,0.03329369059809687,0.09038031391157421,0.005071107955127389,0.30720845346206876
0.05,1.4081270449888788,1.6255992176043788,0.39714399631578,5.51094637093129,0.026753386048880057,0.08724570205075406,0.005945072096585388,0.3029137751970076
0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
