r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.499999999999663,0.2880632438552099,0.5346167330579245,0.5129582599597592,2.8570373616961183e-13,0.03542185111878845,0.04669755858474284,0.06524237275278191
0.015,1.4999999999998455,0.2868417369908025,0.5360511851341936,0.5085655239189651,1.3810834572535128e-13,0.025539114562640797,0.031026221493528048,0.04664393212883539
0.02,1.4999999999999916,0.2810674408819814,0.5311246251216749,0.5059024206390047,7.348301093611927e-15,0.005950075415977259,0.01096243996920261,0.011322179364085794
0.05,1.4999999999999996,0.27817944909337255,0.5235294857758677,0.5129000117341274,1.9860273225978183e-16,0.005787035677509893,0.005699200659185901,0.010806268811798577
0.08,1.4999999999999998,0.2809139260194807,0.5188760422318807,0.5259001849794158,0.0,0.0028597436061917674,0.0031452469785221734,0.005426461232372625
0.1,1.4999999999999998,0.28076293722827106,0.5058325680185375,0.5497604395463546,0.0,0.0019279115411280263,0.0016720903088922082,0.00379142664026997
0.15,1.4999999999999998,0.28593059948282556,0.49757994182414633,0.5770282218457281,0.0,0.0024350020025470163,0.003642388757992326,0.004948333874983536
0.2,1.4999999999999998,0.28453742044262,0.48309822502837585,0.6076138399740425,0.0,0.001849061091038873,0.0016024588302850735,0.003949141839373929
0.3,1.4999999999999991,0.2924895240282902,0.4674933140549006,0.6675788665690623,6.358389842764979e-16,0.0008991994381021768,0.0008414987016291298,0.0020550764527323974
0.4,1.4999999999999984,0.30093437170018256,0.4574478331383185,0.719380628054487,6.435464048854839e-16,0.0007139608024967889,0.0006832342845573283,0.0017167269711176453
0.8,1.4999999999999998,0.33049074516108323,0.4382344455966517,0.8704306791522058,0.0,0.0005291857603354944,0.00047616003214071315,0.001431791829806754
