r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.2227424149117456,3.289579025615344,0.5164832866749034,6.2078692324086955,0.08269933231686323,0.7510671979698672,0.033282565952410345,1.4212551197545518
0.015,1.2374189017711044,3.209733572084132,0.5590976340094134,5.329904587836331,0.11053241020336252,0.7365296294781993,0.06731646244544713,1.2653063176101917
0.02,1.1635858958957128,3.281384914760219,0.5389952471711978,5.766722508113525,0.032201580730585176,0.27962147842628376,0.02274402875795929,0.5008180373904391
0.05,1.2036604440667975,2.8974737319213184,0.5104969022593522,5.581030021262987,0.023777839092261416,0.16959554821416156,0.011249461145198167,0.3278342796928938
0.08,1.2600586402669138,2.5766648704876376,0.49182629304486714,5.314994382103672,0.02085456665084782,0.12751564954520597,0.008703183314293188,0.26319081610063344
0.1,1.2215633588661952,2.7105782402583416,0.5060721251481712,5.303034008892261,0.013278606096465135,0.08754341079606548,0.005760462528015908,0.1716774437432567
0.15,1.194910029345721,2.901454344247749,0.5225369629404901,5.366877030065994,0.006575600677703315,0.05212781491811161,0.0029050635516526097,0.0968373982083829
0.2,1.2046125956954372,2.7593030348668255,0.5164887153287608,5.207073460666489,0.008291399086755368,0.05184680397599836,0.004280013848416601,0.09849487530454687
0.3,1.189815345560218,2.8660307719229596,0.5272439989426332,5.221830807414683,0.0033521378247513382,0.027377245499501993,0.0018730106548166064,0.05025215504111977
0.4,1.1855896178258694,2.8772832697339097,0.5295091038649644,5.205059756672942,0.005018761131657876,0.03595304704354784,0.002421017100249474,0.06554784301332249
0.8,1.1889437566463168,2.8165059892609228,0.5292127848043858,5.099845164356811,0.0023441639583248824,0.013622247728348441,0.0013138390827647601,0.025039753386214902
