r_label,A_fit,tauH_fit,betaH_fit,mean_tau_H,A_err,tauH_err,betaH_err,mean_tau_H_err
0.01,1.323889879965703,0.6144412711080423,0.5701526535034008,0.9914201286016789,0.09728230431573351,0.12527472277823554,0.024098167332456545,0.20349564874245762
0.015,1.2096982407307606,0.7800254241474012,0.6443349857809817,1.0762328255713667,0.08678262945251396,0.1227733284513172,0.06801907441899081,0.1961030715320098
0.02,1.4665605522430416,0.4103596745997905,0.48696553282517135,0.862765584713446,0.029909151325487583,0.04356681742426747,0.016972498440647753,0.09161658415397565
0.05,1.499999999999948,0.3813262414514082,0.4842159215061754,0.8106165130904134,3.312631658993708e-14,0.011717306619769934,0.007253761337497445,0.024913603318812573
0.08,1.4999999999999998,0.37843529589758357,0.49864035408604,0.7606934737406402,0.0,0.004090937511483676,0.0070847263276954025,0.008371372806866253
0.1,1.499999999999999,0.39096087197870555,0.5010577208487537,0.7788840844658761,9.155133597044475e-16,0.006276676128071249,0.002987190707792731,0.012527095422046892
0.15,1.4999999999999998,0.3865417947712675,0.49804865356122613,0.778703377242254,0.0,0.0029612716095793598,0.002565334843994875,0.005992341360931431
0.2,1.4999999999999998,0.3868685522018599,0.49592011257877167,0.7856165476455083,0.0,0.003000675258652991,0.002192155800326316,0.00610922784469575
0.3,1.4999999999999998,0.38993960721946364,0.4948339264002371,0.7951197059893337,0.0,0.0013857224559568537,0.001793773416611841,0.002846196119670132
0.4,1.4999999999999998,0.39103475741231647,0.498141646905174,0.7874813110537403,0.0,0.0016179645551800165,0.0015532439727144287,0.0032768295814012915
0.8,1.4999999999999998,0.3879066045065636,0.49832542631437454,0.7806465957525085,0.0,0.0013093882269847375,0.0009052278324588603,0.002642873069721392
