r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.941348297226687782e-03,3.203488744319932073e-04
9.499999999999999556e-01,2.627767456569826354e+00,2.584559061445016251e-02
1.050000000000000044e+00,1.346724922640444788e+01,8.510418675507264163e-02
1.150000000000000133e+00,1.244918472161884715e+01,9.967431722733831323e-02
1.250000000000000000e+00,7.718694919881625260e+00,5.153061458619931368e-02
1.350000000000000089e+00,4.932418607825095336e+00,3.691405626905611137e-02
1.450000000000000178e+00,3.437334702530429276e+00,3.182684222057452494e-02
1.550000000000000044e+00,2.635890185510386008e+00,2.115063964464897889e-02
1.650000000000000133e+00,2.158655252942400793e+00,2.186231320525078986e-02
1.750000000000000000e+00,1.861796868741073752e+00,1.938300267319960357e-02
1.850000000000000089e+00,1.669432102652486760e+00,1.585000794759871753e-02
1.950000000000000178e+00,1.543108641745073673e+00,1.635112359010981384e-02
2.049999999999999822e+00,1.458735077545072034e+00,1.856290546484681489e-02
2.150000000000000355e+00,1.395646744073447909e+00,1.618972156661348596e-02
2.250000000000000000e+00,1.335800641165640013e+00,1.548570162355934754e-02
2.350000000000000533e+00,1.284305827995405380e+00,1.585835930434574201e-02
2.450000000000000178e+00,1.239458799276563772e+00,1.634572604972618984e-02
2.549999999999999822e+00,1.207393916135074630e+00,1.506894535342749412e-02
2.650000000000000355e+00,1.181070355750182266e+00,1.427183871160675986e-02
2.750000000000000000e+00,1.157534461470711484e+00,1.237803866251012581e-02
2.850000000000000533e+00,1.141888141306515170e+00,1.262562462286113789e-02
2.950000000000000178e+00,1.127531034962749867e+00,1.256232030631295425e-02
3.049999999999999822e+00,1.104269320058773207e+00,1.246045071958264139e-02
3.150000000000000355e+00,1.093196808019542887e+00,1.118482644747709545e-02
3.250000000000000000e+00,1.079037404829227054e+00,9.970255942454507581e-03
3.350000000000000533e+00,1.066553985510655167e+00,1.105805436579106529e-02
3.450000000000000178e+00,1.054887955243388742e+00,1.057210662948018624e-02
3.549999999999999822e+00,1.050816693944481850e+00,8.830073079390231283e-03
3.650000000000000355e+00,1.036897584923997639e+00,9.907890485490924298e-03
3.750000000000000000e+00,1.031790895333843272e+00,8.726579558165229247e-03
3.850000000000000533e+00,1.029774515337034346e+00,8.288933038576768580e-03
3.950000000000000178e+00,1.017923081582868150e+00,8.065981031868991666e-03
4.050000000000000711e+00,1.015081860048002493e+00,7.593175568428110755e-03
4.150000000000000355e+00,1.011944853109722597e+00,7.083923398225772453e-03
4.250000000000000000e+00,1.009179320984858297e+00,6.878783954995279330e-03
4.349999999999999645e+00,1.005186218478559379e+00,6.556421331720055715e-03
4.450000000000000178e+00,1.000616822631588354e+00,5.704484073609955921e-03
4.550000000000000711e+00,1.001818982521853307e+00,5.495551533574448075e-03
4.650000000000000355e+00,9.980744930469152010e-01,5.331640358476098102e-03
4.750000000000000000e+00,9.952776905376161665e-01,5.632432288081508885e-03
4.850000000000000533e+00,9.923649093207194127e-01,5.187014896647280937e-03
4.950000000000000178e+00,9.938882134427071691e-01,5.247877297160260558e-03
5.050000000000000711e+00,9.934657748383312059e-01,4.514950797731065446e-03
5.150000000000000355e+00,9.939785898452571100e-01,5.095524214394845340e-03
5.250000000000000000e+00,9.895314351891505433e-01,3.938449659393793156e-03
5.350000000000000533e+00,9.906028755255770202e-01,5.205956863796024590e-03
5.450000000000000178e+00,9.904312865717296299e-01,4.506979497058395678e-03
5.550000000000000711e+00,9.886541478092150115e-01,4.728631181634652264e-03
5.650000000000000355e+00,9.868559678094082077e-01,4.787095118337934829e-03
5.750000000000000000e+00,9.910130235123567610e-01,4.684705271888332107e-03
5.850000000000000533e+00,9.894471769725992072e-01,4.187534097932051926e-03
5.950000000000000178e+00,9.886677658881442010e-01,4.553744929012318657e-03
6.050000000000000711e+00,9.876065203177482044e-01,3.760506062876021495e-03
6.150000000000000355e+00,9.876669033604091874e-01,3.391732390737739206e-03
6.250000000000000000e+00,9.862224262107973649e-01,3.531968904116921000e-03
6.350000000000000533e+00,9.861435922077557148e-01,3.774343058764575987e-03
6.450000000000000178e+00,9.870818025232503956e-01,3.246255448043814697e-03
6.550000000000000711e+00,9.863477305232024595e-01,3.216119472842294755e-03
6.650000000000000355e+00,9.881269123417727451e-01,3.084478195649768828e-03
6.750000000000000000e+00,9.864533818899234863e-01,2.852556429536599880e-03
6.850000000000000533e+00,9.867300933569881360e-01,3.213127446737888953e-03
6.950000000000000178e+00,9.853314832459666439e-01,2.578524307906394832e-03
7.050000000000000711e+00,9.853740618579924782e-01,2.892319978602238707e-03
7.150000000000000355e+00,9.874052350880511142e-01,2.736452775518471818e-03
7.250000000000000000e+00,9.877258950616264466e-01,2.322819117067663561e-03
7.350000000000000533e+00,9.884730514263389001e-01,2.546806321585450960e-03
7.450000000000000178e+00,9.863432877026060419e-01,2.165612777903511057e-03
7.550000000000000711e+00,9.861568171088158641e-01,2.039024650830639340e-03
7.650000000000000355e+00,9.851250041657116929e-01,1.498935380112983691e-03
7.750000000000000000e+00,9.866579178703973607e-01,2.363286307645828116e-03
7.850000000000000533e+00,9.858400561085725045e-01,1.922358214849482052e-03
7.950000000000000178e+00,9.856595015204785426e-01,2.399323230476590151e-03
8.050000000000000711e+00,9.855542262831603617e-01,1.757621213031765849e-03
8.150000000000000355e+00,9.845281842265251049e-01,2.068126094945337175e-03
8.250000000000000000e+00,9.856367338103142473e-01,2.062908338071432410e-03
8.350000000000001421e+00,9.858551906267093434e-01,1.435900525086509583e-03
8.449999999999999289e+00,9.857072701275001458e-01,1.609720470853223196e-03
8.550000000000000711e+00,9.852832662281472142e-01,2.132428214721500577e-03
8.650000000000000355e+00,9.846385774920060063e-01,1.769941725639021879e-03
8.750000000000000000e+00,9.840940534112920801e-01,1.686520539518433781e-03
8.850000000000001421e+00,9.838715637567480021e-01,1.764819321442794627e-03
8.949999999999999289e+00,9.846911602860798363e-01,1.475520403476887881e-03
9.050000000000000711e+00,9.847012080159400771e-01,1.678151231507311273e-03
9.150000000000000355e+00,9.830753869623419794e-01,1.683963855887210407e-03
9.250000000000000000e+00,9.812655532976556350e-01,1.454698333600381839e-03
9.350000000000001421e+00,9.813682687417936146e-01,1.780985161634563493e-03
9.449999999999999289e+00,9.817788180925607344e-01,1.746218213701631813e-03
9.550000000000000711e+00,9.653964427402655923e-01,1.692271397082753363e-03
9.650000000000002132e+00,9.348163943682292754e-01,1.090621457163796354e-03
9.750000000000000000e+00,9.035917908022236267e-01,1.253872926915125226e-03
9.850000000000001421e+00,8.752571775260612474e-01,1.989621463123059878e-03
9.949999999999999289e+00,8.469235485122134088e-01,1.340156992888384257e-03
