r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.902868073734123892e-04,1.109553220018061434e-04
9.499999999999999556e-01,5.403035908166289314e-01,4.296506383403856690e-03
1.050000000000000044e+00,3.546142400749419554e+00,1.330613754202585736e-02
1.150000000000000133e+00,4.202551244501810501e+00,1.738752988493161983e-02
1.250000000000000000e+00,3.237786829490660434e+00,1.841422001985400930e-02
1.350000000000000089e+00,2.446176288066025162e+00,1.132181399681156386e-02
1.450000000000000178e+00,1.985822868577043376e+00,1.220989768606516902e-02
1.550000000000000044e+00,1.700014577806186367e+00,5.128558496609650179e-03
1.650000000000000133e+00,1.507939939599364454e+00,7.503344234697148334e-03
1.750000000000000000e+00,1.399092426966252578e+00,6.020867962496718670e-03
1.850000000000000089e+00,1.328339507465598590e+00,7.566918141117534059e-03
1.950000000000000178e+00,1.272394413815358005e+00,5.493565594001457997e-03
2.049999999999999822e+00,1.236677944919727823e+00,6.094766012892677970e-03
2.150000000000000355e+00,1.204423406675781960e+00,5.788711088753280970e-03
2.250000000000000000e+00,1.172172170186150497e+00,4.815166821746594446e-03
2.350000000000000533e+00,1.152733730539603929e+00,5.941257557319285475e-03
2.450000000000000178e+00,1.126500836892823765e+00,4.349118456575814390e-03
2.549999999999999822e+00,1.106517667836841579e+00,4.360559695579475925e-03
2.650000000000000355e+00,1.099267162115158625e+00,3.904352324898695010e-03
2.750000000000000000e+00,1.081201471168254047e+00,3.455396204591773546e-03
2.850000000000000533e+00,1.073428728394060450e+00,3.328778772474501151e-03
2.950000000000000178e+00,1.064286459325126888e+00,4.171994686987482576e-03
3.049999999999999822e+00,1.058433515416478565e+00,3.705722321914265913e-03
3.150000000000000355e+00,1.048595350010075311e+00,3.427923675599785572e-03
3.250000000000000000e+00,1.044859082830835950e+00,3.166865368980386654e-03
3.350000000000000533e+00,1.036291667182237086e+00,3.371032929338568275e-03
3.450000000000000178e+00,1.035238361071589841e+00,2.698783895848259461e-03
3.549999999999999822e+00,1.029191265613178974e+00,3.007015232625444984e-03
3.650000000000000355e+00,1.026435965232923575e+00,2.156667232225854998e-03
3.750000000000000000e+00,1.025685861443732971e+00,2.159911073397191572e-03
3.850000000000000533e+00,1.020121609412984354e+00,1.607966101211327466e-03
3.950000000000000178e+00,1.018654174758131914e+00,1.516615715769700475e-03
4.050000000000000711e+00,1.015436612043657094e+00,1.958802651333507467e-03
4.150000000000000355e+00,1.014364944416468406e+00,2.577319948344215881e-03
4.250000000000000000e+00,1.010740089490797855e+00,2.614106074662559710e-03
4.349999999999999645e+00,1.008928573939282591e+00,1.696835418873029414e-03
4.450000000000000178e+00,1.007841964928110512e+00,2.119097679571183956e-03
4.550000000000000711e+00,1.007073188563146537e+00,2.004257094721535910e-03
4.650000000000000355e+00,1.005598057510571408e+00,1.714294051770330098e-03
4.750000000000000000e+00,1.004898962458689038e+00,2.140275117276341059e-03
4.850000000000000533e+00,1.003411311077540002e+00,1.721611103201191578e-03
4.950000000000000178e+00,1.001588684740986501e+00,1.193303260863226578e-03
5.050000000000000711e+00,1.001627379074097046e+00,1.876412453318655228e-03
5.150000000000000355e+00,9.986068562380916447e-01,1.881731476446058806e-03
5.250000000000000000e+00,1.000474603745116209e+00,1.706637025802708709e-03
5.350000000000000533e+00,1.001595700158649960e+00,1.754046309719813805e-03
5.450000000000000178e+00,1.000103452927719072e+00,1.689390518308572092e-03
5.550000000000000711e+00,1.000197987178061743e+00,1.225808956553897178e-03
5.650000000000000355e+00,9.990082700395710447e-01,1.009414650142048415e-03
5.750000000000000000e+00,9.982039289225014267e-01,1.369574875155558837e-03
5.850000000000000533e+00,9.995769957564455410e-01,9.898057379797329473e-04
5.950000000000000178e+00,9.973492383935390615e-01,1.081638080242061477e-03
6.050000000000000711e+00,9.989901151255338174e-01,9.731201465157664860e-04
6.150000000000000355e+00,9.959664322762963318e-01,1.240184314518750965e-03
6.250000000000000000e+00,9.958240146904359102e-01,1.541147696411986978e-03
6.350000000000000533e+00,9.961304212096635524e-01,9.876991749921085629e-04
6.450000000000000178e+00,9.957850784661378407e-01,8.588363743542870186e-04
6.550000000000000711e+00,9.966555643211896243e-01,1.030916611872101374e-03
6.650000000000000355e+00,9.952403347030246428e-01,1.208640551890934620e-03
6.750000000000000000e+00,9.961147295800089063e-01,1.288938420077444724e-03
6.850000000000000533e+00,9.941376703966786632e-01,1.246396737494241116e-03
6.950000000000000178e+00,9.957296304562530675e-01,5.800090320007886659e-04
7.050000000000000711e+00,9.942293420420025285e-01,1.244440964616851976e-03
7.150000000000000355e+00,9.954398803182928912e-01,1.075252910428860838e-03
7.250000000000000000e+00,9.948813213342078132e-01,1.219115787592839253e-03
7.350000000000000533e+00,9.921438980467357505e-01,1.052760135891587503e-03
7.450000000000000178e+00,9.938040372423559976e-01,1.417824892038616405e-03
7.550000000000000711e+00,9.929854629251435583e-01,1.167265103046095107e-03
7.650000000000000355e+00,9.928980318361455559e-01,7.470392233173081282e-04
7.750000000000000000e+00,9.934024506706009561e-01,1.051609550625292331e-03
7.850000000000000533e+00,9.930324045431160318e-01,1.394635729680351486e-03
7.950000000000000178e+00,9.937376171870960784e-01,1.060316152286918702e-03
8.050000000000000711e+00,9.925548505247375752e-01,1.035738797616294216e-03
8.150000000000000355e+00,9.926200430931600982e-01,1.122159774490970015e-03
8.250000000000000000e+00,9.928430163607053771e-01,1.263174836875720353e-03
8.350000000000001421e+00,9.932203411127412673e-01,1.088869918134473735e-03
8.449999999999999289e+00,9.938010778430410586e-01,1.230965533512222779e-03
8.550000000000000711e+00,9.920616732496674306e-01,1.424713937103127496e-03
8.650000000000000355e+00,9.916659949930421991e-01,9.352125851219539711e-04
8.750000000000000000e+00,9.929782605578079124e-01,8.218385682149348219e-04
8.850000000000001421e+00,9.934121115491105769e-01,1.190096964915742872e-03
8.949999999999999289e+00,9.921738824956047864e-01,1.285853310388864346e-03
9.050000000000000711e+00,9.922122448975585485e-01,8.271414472412780706e-04
9.150000000000000355e+00,9.923430276336968614e-01,8.077555199714194986e-04
9.250000000000000000e+00,9.928716745673014099e-01,1.030070504881308536e-03
9.350000000000001421e+00,9.923991798459962377e-01,1.315094909540095308e-03
9.449999999999999289e+00,9.937978478258402415e-01,6.297535130567265922e-04
9.550000000000000711e+00,9.854569508186766802e-01,1.055989328010043622e-03
9.650000000000002132e+00,9.559168431314934988e-01,8.811450558259300951e-04
9.750000000000000000e+00,9.250602066321848005e-01,7.109072901791389527e-04
9.850000000000001421e+00,8.953928050112528458e-01,8.284243322150389209e-04
9.949999999999999289e+00,8.661343226548499086e-01,8.272841148384869892e-04
