r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.510623558211174279e-04,9.684887801134339764e-06
9.499999999999999556e-01,3.981513813026887894e-01,5.915431253796494745e-03
1.050000000000000044e+00,2.656477085686844486e+00,3.517205427035940274e-02
1.150000000000000133e+00,3.177063507495765826e+00,3.737249039246397231e-02
1.250000000000000000e+00,2.488736713037723369e+00,2.621687406810890159e-02
1.350000000000000089e+00,1.924489366123756540e+00,1.866002507662163634e-02
1.450000000000000178e+00,1.597139655140882741e+00,1.488625263392069110e-02
1.550000000000000044e+00,1.414567733451483234e+00,1.270657164799855396e-02
1.650000000000000133e+00,1.316188108783147737e+00,1.219924706910805595e-02
1.750000000000000000e+00,1.275883276776373476e+00,1.348222810114226358e-02
1.850000000000000089e+00,1.273780954521363640e+00,1.498751155032281360e-02
1.950000000000000178e+00,1.294813945569834424e+00,1.731653203114363535e-02
2.049999999999999822e+00,1.322923226515007489e+00,1.865747012466106164e-02
2.150000000000000355e+00,1.332550771419098279e+00,1.938704105025952293e-02
2.250000000000000000e+00,1.313157205462780031e+00,1.859544545706689686e-02
2.350000000000000533e+00,1.278188598310804336e+00,1.723051146930678484e-02
2.450000000000000178e+00,1.241565529789964817e+00,1.650096726956707879e-02
2.549999999999999822e+00,1.213863543622145880e+00,1.551831470829230335e-02
2.650000000000000355e+00,1.194009891478663210e+00,1.489707386211357003e-02
2.750000000000000000e+00,1.180683056390019692e+00,1.493339025868138485e-02
2.850000000000000533e+00,1.172209692449920793e+00,1.484938736714825833e-02
2.950000000000000178e+00,1.165491052919151560e+00,1.515717443463341328e-02
3.049999999999999822e+00,1.160100249099589087e+00,1.518295618771593920e-02
3.150000000000000355e+00,1.154262218353777403e+00,1.500476577211366791e-02
3.250000000000000000e+00,1.145599422990309257e+00,1.447677683049602287e-02
3.350000000000000533e+00,1.137017747337998541e+00,1.403811950551421203e-02
3.450000000000000178e+00,1.128839315971347235e+00,1.362117865212716245e-02
3.549999999999999822e+00,1.121277221342039443e+00,1.318616635790850408e-02
3.650000000000000355e+00,1.114418284359713018e+00,1.289478654458675252e-02
3.750000000000000000e+00,1.107982117628021124e+00,1.246263010684944307e-02
3.850000000000000533e+00,1.102745565956605001e+00,1.234427790739532280e-02
3.950000000000000178e+00,1.098318470744389597e+00,1.200457161119984281e-02
4.050000000000000711e+00,1.093061540763100581e+00,1.153053057925292751e-02
4.150000000000000355e+00,1.088959830914497662e+00,1.114009334920952957e-02
4.250000000000000000e+00,1.085133186046070453e+00,1.109189605457849663e-02
4.349999999999999645e+00,1.080848418211649786e+00,1.052303835014916505e-02
4.450000000000000178e+00,1.077197360780558499e+00,1.011527443944065449e-02
4.550000000000000711e+00,1.073035996198144826e+00,1.003213030440721146e-02
4.650000000000000355e+00,1.069207040857353963e+00,9.582829240026397369e-03
4.750000000000000000e+00,1.066015910511702858e+00,9.269381682636105776e-03
4.850000000000000533e+00,1.062495291019767141e+00,8.812701201848767776e-03
4.950000000000000178e+00,1.059212715622725343e+00,8.699551362589732356e-03
5.050000000000000711e+00,1.056230020036878603e+00,8.303038823009622690e-03
5.150000000000000355e+00,1.053285688376996543e+00,8.016222387771927346e-03
5.250000000000000000e+00,1.051014033269406456e+00,7.653870830064600506e-03
5.350000000000000533e+00,1.048603864276413944e+00,7.285500795519064994e-03
5.450000000000000178e+00,1.045823960224673721e+00,7.000583844800144229e-03
5.550000000000000711e+00,1.043218134223984128e+00,6.773224940005178295e-03
5.650000000000000355e+00,1.040680912161774385e+00,6.354093612955459720e-03
5.750000000000000000e+00,1.038475849485426039e+00,6.077909643911605722e-03
5.850000000000000533e+00,1.036334418284196035e+00,5.735435054146658176e-03
5.950000000000000178e+00,1.034313998184783978e+00,5.530572418094585087e-03
6.050000000000000711e+00,1.032303555322732436e+00,5.111670271394008411e-03
6.150000000000000355e+00,1.030439025632346572e+00,5.002850615566794244e-03
6.250000000000000000e+00,1.028395468332206519e+00,4.741284936469355310e-03
6.350000000000000533e+00,1.026401883089319789e+00,4.429072141481165369e-03
6.450000000000000178e+00,1.024747894599958853e+00,4.255290692747578166e-03
6.550000000000000711e+00,1.022835311001597303e+00,3.875384466318080451e-03
6.650000000000000355e+00,1.021056537146490806e+00,3.686612971805076217e-03
6.750000000000000000e+00,1.019653340257486995e+00,3.587958121799578268e-03
6.850000000000000533e+00,1.018049998853864047e+00,3.304802973129925946e-03
6.950000000000000178e+00,1.016261648527968298e+00,3.139717851661590411e-03
7.050000000000000711e+00,1.015072414101637843e+00,2.864598735001463656e-03
7.150000000000000355e+00,1.013559872874730150e+00,2.811506565359037872e-03
7.250000000000000000e+00,1.011988622297599116e+00,2.512119860640982683e-03
7.350000000000000533e+00,1.010637567307509643e+00,2.352474764175549026e-03
7.450000000000000178e+00,1.009304774264278226e+00,2.142108542784782171e-03
7.550000000000000711e+00,1.007779500751790902e+00,1.995578275473529860e-03
7.650000000000000355e+00,1.006775078826999792e+00,1.850385057995581175e-03
7.750000000000000000e+00,1.005242836204053747e+00,1.688833046250410447e-03
7.850000000000000533e+00,1.004227902230045988e+00,1.641505721740386123e-03
7.950000000000000178e+00,1.003342543787657082e+00,1.488313252100486326e-03
8.050000000000000711e+00,1.002119704119724286e+00,1.465781400823726842e-03
8.150000000000000355e+00,1.001272211478916763e+00,1.443201094544933590e-03
8.250000000000000000e+00,9.998959547027969075e-01,1.327364568668218132e-03
8.350000000000001421e+00,9.990431351497927048e-01,1.330722302855072295e-03
8.449999999999999289e+00,9.979245928269401267e-01,1.347453860705030660e-03
8.550000000000000711e+00,9.968761665242421577e-01,1.348211295670584788e-03
8.650000000000000355e+00,9.960808429284627730e-01,1.324107175712239178e-03
8.750000000000000000e+00,9.950775594198308927e-01,1.393291187609295564e-03
8.850000000000001421e+00,9.944328502342602016e-01,1.357020741657633325e-03
8.949999999999999289e+00,9.935548469394979154e-01,1.334818939974554124e-03
9.050000000000000711e+00,9.930377729632215988e-01,1.425059124281271260e-03
9.150000000000000355e+00,9.920458616304200783e-01,1.445493535689008078e-03
9.250000000000000000e+00,9.914755610989690604e-01,1.490942624273471767e-03
9.350000000000001421e+00,9.906591931886641333e-01,1.511172278899933826e-03
9.449999999999999289e+00,9.899626211872394332e-01,1.521408291386960486e-03
9.550000000000000711e+00,9.894891041612678961e-01,1.594086070612390701e-03
9.650000000000002132e+00,9.889120580874791733e-01,1.639770535915433154e-03
9.750000000000000000e+00,9.883059630914695637e-01,1.706369990419507807e-03
9.850000000000001421e+00,9.876209999889619118e-01,1.750989001699220730e-03
9.949999999999999289e+00,9.870622787437797196e-01,1.788643440760557960e-03
