r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.513662429718580113e-04,7.104450390478969337e-06
9.499999999999999556e-01,5.146184293572090285e-01,4.239386688235704799e-04
1.050000000000000044e+00,2.696791400892023738e+00,1.211077878750471985e-03
1.150000000000000133e+00,2.625844939876390782e+00,7.968412425511891585e-04
1.250000000000000000e+00,2.023079497366963686e+00,6.001951512631879381e-04
1.350000000000000089e+00,1.644436030586588604e+00,4.941782404889480482e-04
1.450000000000000178e+00,1.396913739572938074e+00,4.569589756566300154e-04
1.550000000000000044e+00,1.230499770216705757e+00,3.004353580648441518e-04
1.650000000000000133e+00,1.115664402594447768e+00,3.551869281183872768e-04
1.750000000000000000e+00,1.039068339025457588e+00,3.018430370871061624e-04
1.850000000000000089e+00,9.868159383319374811e-01,2.748515933619353254e-04
1.950000000000000178e+00,9.566396444544291722e-01,2.248174683552864783e-04
2.049999999999999822e+00,9.409056430425547513e-01,2.910245805641717399e-04
2.150000000000000355e+00,9.357623046482075324e-01,2.547223494719085836e-04
2.250000000000000000e+00,9.371179379701043421e-01,2.332149480652876870e-04
2.350000000000000533e+00,9.429807596898435174e-01,2.380578773766344944e-04
2.450000000000000178e+00,9.507069863133883469e-01,2.288332933196230486e-04
2.549999999999999822e+00,9.598778414953701432e-01,2.722379663740512996e-04
2.650000000000000355e+00,9.691572925719567078e-01,1.577329107750010447e-04
2.750000000000000000e+00,9.784054539924971206e-01,2.436586170350521258e-04
2.850000000000000533e+00,9.868054894013493783e-01,1.604967111048915672e-04
2.950000000000000178e+00,9.941205901761691610e-01,1.719509694052923456e-04
3.049999999999999822e+00,9.992729481608257913e-01,1.812202554929205785e-04
3.150000000000000355e+00,1.003360986226758289e+00,2.078174070328491093e-04
3.250000000000000000e+00,1.005380127314504657e+00,1.501794289819564433e-04
3.350000000000000533e+00,1.006439969807418233e+00,1.581361304254122154e-04
3.450000000000000178e+00,1.006361808257607127e+00,1.991906580570172117e-04
3.549999999999999822e+00,1.005954380985732088e+00,2.229015976120116203e-04
3.650000000000000355e+00,1.005047402711283455e+00,1.268359636536260540e-04
3.750000000000000000e+00,1.003706850012433316e+00,1.617732411239963504e-04
3.850000000000000533e+00,1.003026035596684462e+00,1.582642705539972301e-04
3.950000000000000178e+00,1.001760802820315543e+00,1.419376397232699830e-04
4.050000000000000711e+00,1.001013587628675872e+00,1.468056312457972120e-04
4.150000000000000355e+00,1.000481100333320272e+00,1.185346512625492745e-04
4.250000000000000000e+00,9.996599678390337695e-01,1.005322748320479267e-04
4.349999999999999645e+00,9.993117274859841803e-01,7.291000114141322217e-05
4.450000000000000178e+00,9.990692562374361430e-01,6.936274446133439359e-05
4.550000000000000711e+00,9.990456933433288222e-01,1.479805921789181279e-04
4.650000000000000355e+00,9.992032432702474543e-01,1.468073708243427416e-04
4.750000000000000000e+00,9.990441270453039868e-01,1.501285900473517951e-04
4.850000000000000533e+00,9.991209268967722323e-01,1.336213141112520372e-04
4.950000000000000178e+00,9.992703918834340282e-01,8.642064106934516717e-05
5.050000000000000711e+00,9.993799796436830807e-01,1.108393242642647861e-04
5.150000000000000355e+00,9.994159329554156423e-01,1.118018915332212804e-04
5.250000000000000000e+00,9.997545218431722613e-01,9.720630935097427077e-05
5.350000000000000533e+00,9.998489362578393269e-01,1.061478268622145879e-04
5.450000000000000178e+00,9.996474454446044877e-01,1.087052759845706158e-04
5.550000000000000711e+00,9.997057904546750029e-01,1.181927702600790091e-04
5.650000000000000355e+00,9.996938878484453728e-01,1.010783024271993556e-04
5.750000000000000000e+00,9.997824672131432333e-01,8.004562986194575932e-05
5.850000000000000533e+00,1.000070540511017514e+00,5.711584498766378776e-05
5.950000000000000178e+00,9.998911267548052928e-01,9.422221020253988366e-05
6.050000000000000711e+00,9.997917112974914478e-01,1.099503353166725431e-04
6.150000000000000355e+00,9.999056495137951250e-01,1.058869320559817069e-04
6.250000000000000000e+00,9.997796452704074133e-01,1.095245612528010742e-04
6.350000000000000533e+00,9.998552198338392927e-01,1.053430448398554183e-04
6.450000000000000178e+00,9.997986276019265039e-01,6.335199808728744363e-05
6.550000000000000711e+00,9.997795505825892715e-01,1.080218303167484773e-04
6.650000000000000355e+00,9.998702460430474170e-01,8.787975302506533448e-05
6.750000000000000000e+00,9.998293657085192132e-01,6.474291074453523227e-05
6.850000000000000533e+00,9.996528837423630520e-01,8.717551479086285595e-05
6.950000000000000178e+00,9.997554628784861563e-01,9.556086853809468912e-05
7.050000000000000711e+00,9.996704111667868986e-01,8.316318298301317140e-05
7.150000000000000355e+00,9.998705921241111128e-01,8.478441934232283574e-05
7.250000000000000000e+00,9.997181256419098716e-01,5.514754475871754539e-05
7.350000000000000533e+00,9.998331070439201440e-01,8.142950426861028982e-05
7.450000000000000178e+00,9.997909968790216206e-01,8.125038278827385288e-05
7.550000000000000711e+00,9.997726676009012214e-01,6.458150683460573522e-05
7.650000000000000355e+00,9.999123404402251447e-01,8.681085018041241629e-05
7.750000000000000000e+00,9.997790547178228016e-01,7.360174667146385046e-05
7.850000000000000533e+00,9.995606200441432554e-01,6.777622948887198002e-05
7.950000000000000178e+00,9.998524848762802009e-01,6.568743914332115001e-05
8.050000000000000711e+00,9.995959621573821119e-01,5.149646431738321030e-05
8.150000000000000355e+00,9.998259892994638687e-01,7.399753603863562848e-05
8.250000000000000000e+00,9.997830312242733664e-01,7.816178565012930337e-05
8.350000000000001421e+00,9.996713632931625293e-01,5.369667205968128463e-05
8.449999999999999289e+00,9.998234954684768194e-01,4.029979193173815154e-05
8.550000000000000711e+00,9.997521805903039072e-01,4.732072505260348109e-05
8.650000000000000355e+00,9.997727097689155240e-01,6.970891170874042185e-05
8.750000000000000000e+00,9.998771142467826056e-01,6.255155774658462630e-05
8.850000000000001421e+00,9.997345015986958128e-01,8.106830751040093597e-05
8.949999999999999289e+00,9.997861525761194690e-01,6.415113868689782499e-05
9.050000000000000711e+00,9.997875321434556151e-01,7.116051630404116306e-05
9.150000000000000355e+00,9.996673758654701647e-01,5.194280029159293536e-05
9.250000000000000000e+00,9.997526853527153312e-01,2.779245201089739124e-05
9.350000000000001421e+00,9.998787325452648256e-01,6.235271701062287399e-05
9.449999999999999289e+00,9.998215662891910549e-01,4.607441650795458365e-05
9.550000000000000711e+00,9.997367171041922074e-01,4.232465808385950417e-05
9.650000000000002132e+00,9.997891915965265719e-01,6.428717059982970330e-05
9.750000000000000000e+00,9.997655094767623485e-01,5.729099379122071819e-05
9.850000000000001421e+00,9.998684074076710226e-01,4.663196131744657975e-05
9.949999999999999289e+00,9.996593446314034903e-01,6.815683195158898922e-05
