r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,8.027760711829693763e-05,5.876512517492953656e-06
9.499999999999999556e-01,2.075620227417807884e-01,3.346495285380779016e-04
1.050000000000000044e+00,1.351311979955346798e+00,7.523006301635811648e-04
1.150000000000000133e+00,1.612202848910323283e+00,5.299242203324494192e-04
1.250000000000000000e+00,1.470484580933833829e+00,7.244093898081049258e-04
1.350000000000000089e+00,1.357779854358487581e+00,4.973495762099408839e-04
1.450000000000000178e+00,1.269708364049874083e+00,4.706815140070150401e-04
1.550000000000000044e+00,1.200940570909483585e+00,5.200311477614275599e-04
1.650000000000000133e+00,1.147058959264100508e+00,2.258978173680666719e-04
1.750000000000000000e+00,1.106259991378601981e+00,4.047144596925759171e-04
1.850000000000000089e+00,1.076548374053682533e+00,4.093775826792673514e-04
1.950000000000000178e+00,1.056748819248115812e+00,2.986761687576141092e-04
2.049999999999999822e+00,1.044775036673893043e+00,4.068446082178396551e-04
2.150000000000000355e+00,1.036855331545595948e+00,1.361585827355050527e-04
2.250000000000000000e+00,1.030329038830773758e+00,2.413200875496865491e-04
2.350000000000000533e+00,1.024413811237271155e+00,3.134089407283938296e-04
2.450000000000000178e+00,1.019339324415626802e+00,2.877385163181765291e-04
2.549999999999999822e+00,1.015565135148137177e+00,2.433522879022496856e-04
2.650000000000000355e+00,1.011836284219119531e+00,2.408254388650386422e-04
2.750000000000000000e+00,1.009002552402823438e+00,2.226430070496185820e-04
2.850000000000000533e+00,1.007184297872469658e+00,2.396172745107228211e-04
2.950000000000000178e+00,1.004826452092348443e+00,1.514459142658554033e-04
3.049999999999999822e+00,1.003704082452577584e+00,2.056201649370249210e-04
3.150000000000000355e+00,1.002366054101546888e+00,3.243368875724343247e-04
3.250000000000000000e+00,1.002027759636906490e+00,1.545450364183035045e-04
3.350000000000000533e+00,1.001580692193417388e+00,1.406927099894127891e-04
3.450000000000000178e+00,1.001309321098841298e+00,1.959841148253054183e-04
3.549999999999999822e+00,1.000857320249791904e+00,1.454285435052188487e-04
3.650000000000000355e+00,1.000567398247541595e+00,1.194943739367918819e-04
3.750000000000000000e+00,1.000248148040169927e+00,1.750232247641329863e-04
3.850000000000000533e+00,1.000641439235406827e+00,1.611634854517230385e-04
3.950000000000000178e+00,1.000339239186325946e+00,1.315593870032658378e-04
4.050000000000000711e+00,1.000392627266521783e+00,1.375660549164706939e-04
4.150000000000000355e+00,9.998241976990355218e-01,1.557593421434083560e-04
4.250000000000000000e+00,9.998521624601099944e-01,1.177886684294287417e-04
4.349999999999999645e+00,9.999321146356929813e-01,1.731765355396621059e-04
4.450000000000000178e+00,9.999816940431950352e-01,1.150828808243879492e-04
4.550000000000000711e+00,9.998003369142962615e-01,1.361585327400510954e-04
4.650000000000000355e+00,9.999216219253732607e-01,1.411781726987646542e-04
4.750000000000000000e+00,9.999593091966609837e-01,1.107244983398007461e-04
4.850000000000000533e+00,9.999132510380623895e-01,1.416391677287730537e-04
4.950000000000000178e+00,9.998543404091415621e-01,1.130560863352396536e-04
5.050000000000000711e+00,9.995581097663472914e-01,1.186496440819830825e-04
5.150000000000000355e+00,9.999471003716495776e-01,8.970175126945314223e-05
5.250000000000000000e+00,9.998420051918154305e-01,1.279204053254848000e-04
5.350000000000000533e+00,9.996740581832266326e-01,8.485931062712944156e-05
5.450000000000000178e+00,9.998539504358683327e-01,1.078750456734454602e-04
5.550000000000000711e+00,9.997318284198215554e-01,1.001244807316446290e-04
5.650000000000000355e+00,9.997700107498868061e-01,1.356825254090729719e-04
5.750000000000000000e+00,9.999629913456689057e-01,1.225192059955957410e-04
5.850000000000000533e+00,9.998181311381710845e-01,1.173252622286056704e-04
5.950000000000000178e+00,9.998368009122460265e-01,8.350885659768632471e-05
6.050000000000000711e+00,9.999721065877704707e-01,8.045300646999824017e-05
6.150000000000000355e+00,9.997435815456728880e-01,1.007905599628623088e-04
6.250000000000000000e+00,9.998516155318366572e-01,9.117230188005438839e-05
6.350000000000000533e+00,9.997314392494504043e-01,9.625328700143855325e-05
6.450000000000000178e+00,9.998112483324392841e-01,8.885471261239288215e-05
6.550000000000000711e+00,9.997820570715230115e-01,5.926401750882653559e-05
6.650000000000000355e+00,9.998969539719786415e-01,1.271516557498988964e-04
6.750000000000000000e+00,9.997820299380835163e-01,6.285230930345027086e-05
6.850000000000000533e+00,9.997965256642171727e-01,8.606555121881065082e-05
6.950000000000000178e+00,9.998420562443692816e-01,5.674065761005482562e-05
7.050000000000000711e+00,9.998229473251123434e-01,8.112911957987230553e-05
7.150000000000000355e+00,9.996973277345665432e-01,7.174308590456713155e-05
7.250000000000000000e+00,9.998688157841651991e-01,8.209041021805647223e-05
7.350000000000000533e+00,9.998372600493645734e-01,5.938403772699519932e-05
7.450000000000000178e+00,9.998596031112096938e-01,6.296432062095074389e-05
7.550000000000000711e+00,1.000016571314681135e+00,1.074060368195919662e-04
7.650000000000000355e+00,9.997722981597061409e-01,6.845045766336203873e-05
7.750000000000000000e+00,9.998085948863796313e-01,7.894031038439346625e-05
7.850000000000000533e+00,9.997360352749889989e-01,7.218945254617786865e-05
7.950000000000000178e+00,9.998727579954035383e-01,6.474959766522785478e-05
8.050000000000000711e+00,9.998488184972172954e-01,6.200266706444691332e-05
8.150000000000000355e+00,9.997532018414331256e-01,8.193691183147947237e-05
8.250000000000000000e+00,9.997666237917413046e-01,5.171182426611452379e-05
8.350000000000001421e+00,9.998855426655504086e-01,7.231052738231855169e-05
8.449999999999999289e+00,9.998432211427639160e-01,5.972393955789440779e-05
8.550000000000000711e+00,9.998803147630113131e-01,8.528732443283428813e-05
8.650000000000000355e+00,9.998040801713632408e-01,7.581151181606868978e-05
8.750000000000000000e+00,9.998930758878824543e-01,4.317701227593736380e-05
8.850000000000001421e+00,9.997587295530004914e-01,4.681291004539967952e-05
8.949999999999999289e+00,9.998306317437386515e-01,6.888633860551895331e-05
9.050000000000000711e+00,9.997699728930207197e-01,5.934848370930743939e-05
9.150000000000000355e+00,9.998468630262937751e-01,5.802448588321924388e-05
9.250000000000000000e+00,9.997972145755976703e-01,3.775966185568913302e-05
9.350000000000001421e+00,9.996925886673864170e-01,5.668716390705674487e-05
9.449999999999999289e+00,9.997882822412410553e-01,4.209997486251404204e-05
9.550000000000000711e+00,9.998375063038926758e-01,7.577139762302919181e-05
9.650000000000002132e+00,9.997825925903333077e-01,6.372232760711341818e-05
9.750000000000000000e+00,9.999022737241449743e-01,3.929964067253182905e-05
9.850000000000001421e+00,9.998011215792491635e-01,9.105031647236420142e-05
9.949999999999999289e+00,9.997722545991087895e-01,5.938090182373017845e-05
