r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,4.563856275733870041e-05,6.437781418919786879e-06
9.499999999999999556e-01,1.392111732523277912e-01,3.573417786012084694e-04
1.050000000000000044e+00,9.636819336579212081e-01,9.126470758913166059e-04
1.150000000000000133e+00,1.230023873041436566e+00,1.155393763909179188e-03
1.250000000000000000e+00,1.187460592880981380e+00,9.339787353429371709e-04
1.350000000000000089e+00,1.153732708379357375e+00,4.916432844857083692e-04
1.450000000000000178e+00,1.124565070122596877e+00,6.559762434070858916e-04
1.550000000000000044e+00,1.099251419532152552e+00,7.083370861135832421e-04
1.650000000000000133e+00,1.079025696280403457e+00,9.763996961871915280e-04
1.750000000000000000e+00,1.062833903651349443e+00,7.220153706891158010e-04
1.850000000000000089e+00,1.052470740211477018e+00,5.927868813819031028e-04
1.950000000000000178e+00,1.043192477941508267e+00,4.357377973844250960e-04
2.049999999999999822e+00,1.038926593622290451e+00,7.603187520040112068e-04
2.150000000000000355e+00,1.035551468001453257e+00,4.977668421091392204e-04
2.250000000000000000e+00,1.033924641231382058e+00,3.929532234605702281e-04
2.350000000000000533e+00,1.031025563713266591e+00,5.295259300313764385e-04
2.450000000000000178e+00,1.028777424296849929e+00,3.417395064675837757e-04
2.549999999999999822e+00,1.025583478032446205e+00,4.088355021536115778e-04
2.650000000000000355e+00,1.023940241738298784e+00,3.089840478643088111e-04
2.750000000000000000e+00,1.021642403627096574e+00,2.718663271688935416e-04
2.850000000000000533e+00,1.021098859689024918e+00,3.364048419686328892e-04
2.950000000000000178e+00,1.018078891415285181e+00,3.061333692395219784e-04
3.049999999999999822e+00,1.016435354574902972e+00,3.269296570499341005e-04
3.150000000000000355e+00,1.014969238782415406e+00,4.225004002355655253e-04
3.250000000000000000e+00,1.014294936476424658e+00,4.217785049876027724e-04
3.350000000000000533e+00,1.012562419233034916e+00,3.054777013279029950e-04
3.450000000000000178e+00,1.011856076703710583e+00,4.206553314317165748e-04
3.549999999999999822e+00,1.010461799743664457e+00,3.579700087056304444e-04
3.650000000000000355e+00,1.009862547440006253e+00,3.796141288930410577e-04
3.750000000000000000e+00,1.009565032530370443e+00,2.836647758081750669e-04
3.850000000000000533e+00,1.009014645496887130e+00,1.973643269444072057e-04
3.950000000000000178e+00,1.008460209142043817e+00,3.394095904460746175e-04
4.050000000000000711e+00,1.007415001382873321e+00,1.830031902569487277e-04
4.150000000000000355e+00,1.006821777912723537e+00,2.716733775985704659e-04
4.250000000000000000e+00,1.006497202428936477e+00,2.927498084157624178e-04
4.349999999999999645e+00,1.006132578540386513e+00,2.902689127056215230e-04
4.450000000000000178e+00,1.005583187628002362e+00,1.906827622977700612e-04
4.550000000000000711e+00,1.005219339354946229e+00,1.612771913348359223e-04
4.650000000000000355e+00,1.004612015504430023e+00,1.760065182424190935e-04
4.750000000000000000e+00,1.004733633331829523e+00,2.638181865869676382e-04
4.850000000000000533e+00,1.004255467984303429e+00,2.814661683907557308e-04
4.950000000000000178e+00,1.003378328519539453e+00,2.446707813037910873e-04
5.050000000000000711e+00,1.003684708244080737e+00,1.630891633115112834e-04
5.150000000000000355e+00,1.003308804511331198e+00,1.898138113014183467e-04
5.250000000000000000e+00,1.002991718783496689e+00,1.318556357793111190e-04
5.350000000000000533e+00,1.002466641989576690e+00,1.698185861252275285e-04
5.450000000000000178e+00,1.002628388074066734e+00,2.538387586849098635e-04
5.550000000000000711e+00,1.002684141493137115e+00,1.699625066910256000e-04
5.650000000000000355e+00,1.002185207900475605e+00,1.985057231507944791e-04
5.750000000000000000e+00,1.001844696961421644e+00,2.418723071004676053e-04
5.850000000000000533e+00,1.001685751569344474e+00,1.979117439737198929e-04
5.950000000000000178e+00,1.001447990233564678e+00,1.966965665166489966e-04
6.050000000000000711e+00,1.001226070287049907e+00,2.394178267427792320e-04
6.150000000000000355e+00,1.001452114760724044e+00,1.755104043089884206e-04
6.250000000000000000e+00,1.001338770627280272e+00,1.666695964343700861e-04
6.350000000000000533e+00,1.000994443242132270e+00,1.361512115997447431e-04
6.450000000000000178e+00,1.001108225680859665e+00,1.804245719784620635e-04
6.550000000000000711e+00,1.001173055469933848e+00,1.629544904513329602e-04
6.650000000000000355e+00,1.000902300596605121e+00,1.170044992849300300e-04
6.750000000000000000e+00,1.001089601820425390e+00,1.911584648633998101e-04
6.850000000000000533e+00,1.000822901094052586e+00,1.821173242440881539e-04
6.950000000000000178e+00,1.000392306137519505e+00,1.348832800829858594e-04
7.050000000000000711e+00,1.000667758682730168e+00,1.725999682342905465e-04
7.150000000000000355e+00,1.000458803699298738e+00,1.383821864469428364e-04
7.250000000000000000e+00,1.000612508713109472e+00,8.260809003566440905e-05
7.350000000000000533e+00,1.000394814763853946e+00,2.014046743219459902e-04
7.450000000000000178e+00,1.000139662240195682e+00,1.426949143671908356e-04
7.550000000000000711e+00,1.000341229543202370e+00,1.044517473170683287e-04
7.650000000000000355e+00,1.000581180810856452e+00,1.324129599230817154e-04
7.750000000000000000e+00,1.000403673236785584e+00,1.200457783898627856e-04
7.850000000000000533e+00,1.000280947176915847e+00,1.138244527200985511e-04
7.950000000000000178e+00,1.000542036991138195e+00,1.551160712098346159e-04
8.050000000000000711e+00,1.000174652416215837e+00,1.009536726991453777e-04
8.150000000000000355e+00,1.000133948628771252e+00,1.333966093052089974e-04
8.250000000000000000e+00,1.000283834003144579e+00,1.125240499841716771e-04
8.350000000000001421e+00,1.000160274906015667e+00,1.089210122027745129e-04
8.449999999999999289e+00,9.999421318850894025e-01,1.657879501551858979e-04
8.550000000000000711e+00,9.999975451368676715e-01,1.341970776327551941e-04
8.650000000000000355e+00,1.000007967511703733e+00,1.538467867006831848e-04
8.750000000000000000e+00,9.999117011543023903e-01,1.232101331980809094e-04
8.850000000000001421e+00,9.998904540251125628e-01,1.111473631638755570e-04
8.949999999999999289e+00,9.999570475971383265e-01,1.446023541388253024e-04
9.050000000000000711e+00,9.997194888730319695e-01,8.321792566617289006e-05
9.150000000000000355e+00,9.998582810837840507e-01,1.121605250399036405e-04
9.250000000000000000e+00,9.995796174668731826e-01,1.270342936235249796e-04
9.350000000000001421e+00,9.996030829379073390e-01,1.428455547741664441e-04
9.449999999999999289e+00,9.998360627787519217e-01,1.259374539508548900e-04
9.550000000000000711e+00,9.999362971173532122e-01,1.361054249836167647e-04
9.650000000000002132e+00,9.998081057490418866e-01,1.062915530496045825e-04
9.750000000000000000e+00,9.999025263481229331e-01,9.764397198353933665e-05
9.850000000000001421e+00,9.998659851250779607e-01,1.319318900238884999e-04
9.949999999999999289e+00,9.998996430781265099e-01,1.088802346651265922e-04
