r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.217802067953172420e-03,5.321291840483566608e-05
9.499999999999999556e-01,2.222337999255135088e+00,2.659830913006417871e-02
1.050000000000000044e+00,1.085594143894916641e+01,1.195109897341939675e-01
1.150000000000000133e+00,9.701258284788710995e+00,9.845285812222336064e-02
1.250000000000000000e+00,6.007720719072362492e+00,5.827268636986113193e-02
1.350000000000000089e+00,3.937389697569522617e+00,3.744463220212018717e-02
1.450000000000000178e+00,2.934049057044178177e+00,2.825910445878048946e-02
1.550000000000000044e+00,2.462392956659377408e+00,2.526852354225465544e-02
1.650000000000000133e+00,2.293306076557643625e+00,2.525801735375477267e-02
1.750000000000000000e+00,2.329745548810188360e+00,2.912250662192194736e-02
1.850000000000000089e+00,2.521187128664616139e+00,3.438113006101336383e-02
1.950000000000000178e+00,2.808467719829354614e+00,4.169937729631881945e-02
2.049999999999999822e+00,3.086115557675565668e+00,4.847657412498058288e-02
2.150000000000000355e+00,3.213617458819237438e+00,5.113086962275823627e-02
2.250000000000000000e+00,3.170057004010715662e+00,5.077343996930562542e-02
2.350000000000000533e+00,3.044777279976222051e+00,4.796260610980042360e-02
2.450000000000000178e+00,2.920762896568878553e+00,4.571430255836639311e-02
2.549999999999999822e+00,2.841436669470611243e+00,4.498332776022086893e-02
2.650000000000000355e+00,2.807944425288040780e+00,4.512086066855593852e-02
2.750000000000000000e+00,2.804996462753666098e+00,4.626060771782845166e-02
2.850000000000000533e+00,2.810815891626956997e+00,4.737831365461912803e-02
2.950000000000000178e+00,2.804579638127760788e+00,4.868695230244293737e-02
3.049999999999999822e+00,2.773531187537380482e+00,4.817372283648618109e-02
3.150000000000000355e+00,2.715804090206010102e+00,4.784057048399967260e-02
3.250000000000000000e+00,2.638956434270447016e+00,4.692993337300729872e-02
3.350000000000000533e+00,2.559424219752147511e+00,4.583342222614324168e-02
3.450000000000000178e+00,2.492256809120342531e+00,4.519406556384909790e-02
3.549999999999999822e+00,2.444598507851407199e+00,4.464204527129516514e-02
3.650000000000000355e+00,2.414293705758694841e+00,4.522219934248456613e-02
3.750000000000000000e+00,2.391669030367325810e+00,4.547128988608122035e-02
3.850000000000000533e+00,2.377015370810199979e+00,4.597408937242485061e-02
3.950000000000000178e+00,2.359441242282457551e+00,4.655758809243275981e-02
4.050000000000000711e+00,2.334834833138910604e+00,4.653851047681327457e-02
4.150000000000000355e+00,2.300879082500126849e+00,4.606387383678383490e-02
4.250000000000000000e+00,2.261023703342480040e+00,4.592082044401123858e-02
4.349999999999999645e+00,2.218576460086520541e+00,4.541682015552491597e-02
4.450000000000000178e+00,2.176690513266666738e+00,4.473485353001053350e-02
4.550000000000000711e+00,2.137509213720314882e+00,4.441436909046271586e-02
4.650000000000000355e+00,2.101017275559565967e+00,4.371839285583853374e-02
4.750000000000000000e+00,2.066785445155205903e+00,4.353866667186757217e-02
4.850000000000000533e+00,2.034064102464265833e+00,4.325171978777421489e-02
4.950000000000000178e+00,2.001297909988235979e+00,4.304730322966740519e-02
5.050000000000000711e+00,1.967021806697405228e+00,4.253132935429067979e-02
5.150000000000000355e+00,1.933777267506233244e+00,4.202805814636848686e-02
5.250000000000000000e+00,1.898843265808103808e+00,4.166460349599412222e-02
5.350000000000000533e+00,1.865159037437405187e+00,4.108488282377530110e-02
5.450000000000000178e+00,1.831460924472072094e+00,4.049365344145056111e-02
5.550000000000000711e+00,1.799450952957449612e+00,4.008691425660508567e-02
5.650000000000000355e+00,1.768026859324629552e+00,3.958953436073787274e-02
5.750000000000000000e+00,1.737512619762543675e+00,3.903357281660062988e-02
5.850000000000000533e+00,1.707134685431755283e+00,3.844415199505731712e-02
5.950000000000000178e+00,1.677308060945257084e+00,3.771974937037696901e-02
6.050000000000000711e+00,1.646605632879375225e+00,3.714547785033447264e-02
6.150000000000000355e+00,1.615933639367931551e+00,3.648935772361223268e-02
6.250000000000000000e+00,1.586101393612083132e+00,3.568181183415025659e-02
6.350000000000000533e+00,1.556479459002683585e+00,3.512253711063894474e-02
6.450000000000000178e+00,1.527099777542133108e+00,3.440067161996796657e-02
6.550000000000000711e+00,1.498292578122209395e+00,3.368707912132876819e-02
6.650000000000000355e+00,1.470551553100091891e+00,3.282177375697287874e-02
6.750000000000000000e+00,1.443327066177262363e+00,3.211253097233236764e-02
6.850000000000000533e+00,1.416431187932063018e+00,3.130818856360989555e-02
6.950000000000000178e+00,1.389764013815854238e+00,3.064700785170116834e-02
7.050000000000000711e+00,1.363612867660525474e+00,2.991746522734600386e-02
7.150000000000000355e+00,1.338547494175270636e+00,2.908362771701377206e-02
7.250000000000000000e+00,1.312981289289532061e+00,2.827135630828086360e-02
7.350000000000000533e+00,1.288710028884586745e+00,2.746333211884862888e-02
7.450000000000000178e+00,1.264436965865096241e+00,2.650243478082017420e-02
7.550000000000000711e+00,1.241035542377304068e+00,2.567738085324604638e-02
7.650000000000000355e+00,1.218072761254644254e+00,2.482430910374907457e-02
7.750000000000000000e+00,1.195729733059729627e+00,2.394361166616060244e-02
7.850000000000000533e+00,1.173974713580374196e+00,2.303696817042079348e-02
7.950000000000000178e+00,1.152343032121163180e+00,2.223351913840708807e-02
8.050000000000000711e+00,1.131302901340114575e+00,2.138159683839048822e-02
8.150000000000000355e+00,1.110760742435121573e+00,2.050090412197123207e-02
8.250000000000000000e+00,1.091206326434947638e+00,1.953796695785714119e-02
8.350000000000001421e+00,1.071712656965564170e+00,1.873823705534097966e-02
8.449999999999999289e+00,1.052907509349203519e+00,1.783567064482024372e-02
8.550000000000000711e+00,1.034807616783093964e+00,1.697260598530642497e-02
8.650000000000000355e+00,1.017339860271105012e+00,1.613371162379426821e-02
8.750000000000000000e+00,1.000155105785315968e+00,1.528073063835465664e-02
8.850000000000001421e+00,9.838232319985135144e-01,1.435513570776063806e-02
8.949999999999999289e+00,9.676438787333582203e-01,1.358389325805899571e-02
9.050000000000000711e+00,9.525497379841162404e-01,1.269373130243232721e-02
9.150000000000000355e+00,9.374819453155556204e-01,1.191101215995997789e-02
9.250000000000000000e+00,9.229913840184726936e-01,1.105189029935437287e-02
9.350000000000001421e+00,9.094787656261308362e-01,1.017949526407616913e-02
9.449999999999999289e+00,8.960636672845339046e-01,9.398185339668694085e-03
9.550000000000000711e+00,8.834169012798168685e-01,8.666896784772313428e-03
9.650000000000002132e+00,8.710591974114191283e-01,7.954643722978736731e-03
9.750000000000000000e+00,8.595929408563455221e-01,7.284264700522255151e-03
9.850000000000001421e+00,8.483975751028911549e-01,6.578010573960894891e-03
9.949999999999999289e+00,8.360724469797983227e-01,5.904662780393868209e-03
