r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.147074812447014405e-04,2.662611120061503643e-05
9.499999999999999556e-01,5.530957834043632726e-01,1.071005029017697147e-02
1.050000000000000044e+00,3.526961467227358149e+00,5.783018449680980833e-02
1.150000000000000133e+00,4.041728087186941210e+00,5.989037535789140665e-02
1.250000000000000000e+00,3.043133281821677638e+00,4.161890986119645697e-02
1.350000000000000089e+00,2.282950998115533370e+00,3.025528407120854635e-02
1.450000000000000178e+00,1.838557065948481339e+00,2.281569321328495020e-02
1.550000000000000044e+00,1.588306557504135075e+00,2.024749198816082341e-02
1.650000000000000133e+00,1.447897577119423129e+00,1.966214870242332866e-02
1.750000000000000000e+00,1.376073218180070334e+00,2.015522989131994513e-02
1.850000000000000089e+00,1.352707846343879083e+00,2.216901774371973430e-02
1.950000000000000178e+00,1.355245135128389622e+00,2.480892073832008035e-02
2.049999999999999822e+00,1.369157927607960623e+00,2.672675523517199433e-02
2.150000000000000355e+00,1.367363568996333045e+00,2.768045329527896864e-02
2.250000000000000000e+00,1.343585267418021534e+00,2.674775473706228132e-02
2.350000000000000533e+00,1.303201189500617030e+00,2.471398242818659968e-02
2.450000000000000178e+00,1.265010914074630399e+00,2.376527058205439233e-02
2.549999999999999822e+00,1.235557635351240524e+00,2.257089077744741518e-02
2.650000000000000355e+00,1.212860616141232084e+00,2.215180019265791320e-02
2.750000000000000000e+00,1.197860414056651779e+00,2.178495215142629490e-02
2.850000000000000533e+00,1.188651144470871390e+00,2.182180787789899171e-02
2.950000000000000178e+00,1.179870062222184490e+00,2.133219340992491622e-02
3.049999999999999822e+00,1.174197442077397291e+00,2.141084593438988271e-02
3.150000000000000355e+00,1.165203693340299163e+00,2.120501869496257269e-02
3.250000000000000000e+00,1.155688100840146948e+00,2.072178246941478591e-02
3.350000000000000533e+00,1.147129476920686120e+00,2.017654230651854536e-02
3.450000000000000178e+00,1.137362887698721625e+00,1.935810529426489415e-02
3.549999999999999822e+00,1.128463824286211281e+00,1.878705043590918333e-02
3.650000000000000355e+00,1.120784908336279528e+00,1.829606386964992629e-02
3.750000000000000000e+00,1.113767259804409715e+00,1.781529371119374219e-02
3.850000000000000533e+00,1.107711862420069249e+00,1.740173962453269232e-02
3.950000000000000178e+00,1.102528919785576988e+00,1.681948910354281318e-02
4.050000000000000711e+00,1.097740643852841425e+00,1.648451092832705148e-02
4.150000000000000355e+00,1.092399102962325674e+00,1.597234762793034099e-02
4.250000000000000000e+00,1.087533593385054065e+00,1.530161449279062065e-02
4.349999999999999645e+00,1.083324630270524391e+00,1.496521557733043913e-02
4.450000000000000178e+00,1.077919309016724059e+00,1.449368837672820008e-02
4.550000000000000711e+00,1.073612742541224740e+00,1.378948830581709813e-02
4.650000000000000355e+00,1.069814697621775945e+00,1.328701568998889165e-02
4.750000000000000000e+00,1.066253321907087992e+00,1.280001920869697218e-02
4.850000000000000533e+00,1.062371046380062856e+00,1.221098563702877754e-02
4.950000000000000178e+00,1.059003759959519453e+00,1.172058383180676379e-02
5.050000000000000711e+00,1.056056187104448707e+00,1.141737757875629228e-02
5.150000000000000355e+00,1.052814800825300656e+00,1.077490176057495710e-02
5.250000000000000000e+00,1.050153526283966743e+00,1.040622504219178811e-02
5.350000000000000533e+00,1.047484786860804817e+00,9.971228896081272067e-03
5.450000000000000178e+00,1.044425601289177497e+00,9.390694099793955862e-03
5.550000000000000711e+00,1.041914528792965866e+00,9.080290540596183679e-03
5.650000000000000355e+00,1.039201900642317655e+00,8.586231152672435182e-03
5.750000000000000000e+00,1.037127651376123172e+00,8.077937522159177319e-03
5.850000000000000533e+00,1.034353255138751315e+00,7.855163869129589554e-03
5.950000000000000178e+00,1.032147810500826823e+00,7.367579630632283341e-03
6.050000000000000711e+00,1.029554122667565519e+00,7.095003765727341677e-03
6.150000000000000355e+00,1.027898609324510826e+00,6.499198746929273074e-03
6.250000000000000000e+00,1.026301994002972284e+00,6.181134541572787071e-03
6.350000000000000533e+00,1.024249921106333172e+00,5.924714324330376120e-03
6.450000000000000178e+00,1.022762611029844448e+00,5.322705859154274258e-03
6.550000000000000711e+00,1.020620406697038351e+00,5.042842461051946258e-03
6.650000000000000355e+00,1.019027873428543174e+00,4.809804379146103391e-03
6.750000000000000000e+00,1.016993146025153560e+00,4.377983221917998088e-03
6.850000000000000533e+00,1.015631401828582359e+00,3.982812751436191553e-03
6.950000000000000178e+00,1.014137750005288385e+00,3.858964748362479075e-03
7.050000000000000711e+00,1.012692206940120743e+00,3.603972471959984540e-03
7.150000000000000355e+00,1.011010821765844225e+00,3.279654448405097244e-03
7.250000000000000000e+00,1.009691582478203564e+00,3.054245381857576946e-03
7.350000000000000533e+00,1.008020171656741626e+00,2.805435988885862739e-03
7.450000000000000178e+00,1.006941622308681561e+00,2.646480452217550832e-03
7.550000000000000711e+00,1.005661118353027295e+00,2.220524047449672425e-03
7.650000000000000355e+00,1.004328351649612872e+00,2.110798584707475247e-03
7.750000000000000000e+00,1.003524527619160445e+00,1.854330342452549778e-03
7.850000000000000533e+00,1.002310459349149196e+00,1.637674212166869781e-03
7.950000000000000178e+00,1.001157672331614457e+00,1.493426033078211132e-03
8.050000000000000711e+00,1.000120919885614468e+00,1.318674935096561746e-03
8.150000000000000355e+00,9.990927342500693920e-01,1.144568647881613480e-03
8.250000000000000000e+00,9.978685294164529873e-01,9.538832933978112424e-04
8.350000000000001421e+00,9.968935832791340212e-01,8.151277988552799040e-04
8.449999999999999289e+00,9.964395905023499811e-01,7.453568595394352569e-04
8.550000000000000711e+00,9.953375425880468530e-01,6.447616410261087019e-04
8.650000000000000355e+00,9.945503306950591593e-01,6.625110338294157904e-04
8.750000000000000000e+00,9.938533310575975444e-01,7.024421170822995383e-04
8.850000000000001421e+00,9.928999624594364581e-01,7.825953137204381613e-04
8.949999999999999289e+00,9.923386446541908601e-01,8.412149577566936827e-04
9.050000000000000711e+00,9.910264295685429214e-01,1.008923707845818746e-03
9.150000000000000355e+00,9.905819331468806999e-01,1.108276520575541060e-03
9.250000000000000000e+00,9.897280254973029878e-01,1.198640360841453020e-03
9.350000000000001421e+00,9.891272517809840403e-01,1.314556217444193655e-03
9.449999999999999289e+00,9.886356147976987918e-01,1.426663859320629084e-03
9.550000000000000711e+00,9.878015949090629411e-01,1.547762726459674153e-03
9.650000000000002132e+00,9.874265689262257117e-01,1.576767624999121219e-03
9.750000000000000000e+00,9.867193988791062020e-01,1.736729436123093592e-03
9.850000000000001421e+00,9.857743547210267021e-01,1.895112472173839969e-03
9.949999999999999289e+00,9.644104751646059848e-01,2.047975055071790933e-03
