r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.761198291367617160e-04,5.759197049028236316e-06
9.499999999999999556e-01,4.336082163969964265e-01,1.699165386168765678e-03
1.050000000000000044e+00,2.718647743835662212e+00,8.280706723846266437e-03
1.150000000000000133e+00,3.072504385601123822e+00,7.972389197701424540e-03
1.250000000000000000e+00,2.296125213006150467e+00,5.308382808426857086e-03
1.350000000000000089e+00,1.727228667172415966e+00,3.443384814675855277e-03
1.450000000000000178e+00,1.412801171838743430e+00,2.683533956768341302e-03
1.550000000000000044e+00,1.256607547745461462e+00,2.435985244325492016e-03
1.650000000000000133e+00,1.197123703928842264e+00,2.357935771286808965e-03
1.750000000000000000e+00,1.206651391853097000e+00,2.709662796954104974e-03
1.850000000000000089e+00,1.267737416252214810e+00,3.427210394486577497e-03
1.950000000000000178e+00,1.358039305588683687e+00,4.040186171886226904e-03
2.049999999999999822e+00,1.444781054017091781e+00,4.822415967750914162e-03
2.150000000000000355e+00,1.477700575299850438e+00,4.821861284220625536e-03
2.250000000000000000e+00,1.448359600836592431e+00,4.525113615397281623e-03
2.350000000000000533e+00,1.388031448095636389e+00,4.191467888005984653e-03
2.450000000000000178e+00,1.331033054681782790e+00,3.903073531557811181e-03
2.549999999999999822e+00,1.292843297382950229e+00,3.758755403150703701e-03
2.650000000000000355e+00,1.274833188623916147e+00,3.717053185713243505e-03
2.750000000000000000e+00,1.272084605001649882e+00,3.871843684526879437e-03
2.850000000000000533e+00,1.279398649796486875e+00,4.211522132148564322e-03
2.950000000000000178e+00,1.289507919481704068e+00,4.274147770582856047e-03
3.049999999999999822e+00,1.296543362937380817e+00,4.566430770586082585e-03
3.150000000000000355e+00,1.296042235535888487e+00,4.627072581106552070e-03
3.250000000000000000e+00,1.287747769774933104e+00,4.581758350044475188e-03
3.350000000000000533e+00,1.274549093422645774e+00,4.584918681908025165e-03
3.450000000000000178e+00,1.261041007354937404e+00,4.431309131966034050e-03
3.549999999999999822e+00,1.249513952527931959e+00,4.382161033177919482e-03
3.650000000000000355e+00,1.241549224709898258e+00,4.443244186309508459e-03
3.750000000000000000e+00,1.236932956989080568e+00,4.431349582830157625e-03
3.850000000000000533e+00,1.233873461877808220e+00,4.652311434906668090e-03
3.950000000000000178e+00,1.231909788096320790e+00,4.678045332142308048e-03
4.050000000000000711e+00,1.229139043426315636e+00,4.710384202590359171e-03
4.150000000000000355e+00,1.225085444788840405e+00,4.765017093703318406e-03
4.250000000000000000e+00,1.219518020574254846e+00,4.765657667234698448e-03
4.349999999999999645e+00,1.213547466233231065e+00,4.780151301299433164e-03
4.450000000000000178e+00,1.207116607253332585e+00,4.763593920100288488e-03
4.550000000000000711e+00,1.201182222840704528e+00,4.793645145841133465e-03
4.650000000000000355e+00,1.195621310433050422e+00,4.802659457005967712e-03
4.750000000000000000e+00,1.191165363233128938e+00,4.867813797570910705e-03
4.850000000000000533e+00,1.186799153922537542e+00,4.823219575797051649e-03
4.950000000000000178e+00,1.182683558376347532e+00,4.919237985758563234e-03
5.050000000000000711e+00,1.178710673040353596e+00,4.936824438840695800e-03
5.150000000000000355e+00,1.174323112160944538e+00,4.959884593934294449e-03
5.250000000000000000e+00,1.169523458266682248e+00,4.971979660863109531e-03
5.350000000000000533e+00,1.164792477563854067e+00,5.061888974762722426e-03
5.450000000000000178e+00,1.160185519535376741e+00,5.017368805356046957e-03
5.550000000000000711e+00,1.155478740236913326e+00,4.971444780961331404e-03
5.650000000000000355e+00,1.150949273462265499e+00,5.050241622275340216e-03
5.750000000000000000e+00,1.146702619807597356e+00,5.007341720096762823e-03
5.850000000000000533e+00,1.142464799935455577e+00,5.092768887665852402e-03
5.950000000000000178e+00,1.138450448806206383e+00,5.093958318823892627e-03
6.050000000000000711e+00,1.134228236357759156e+00,5.126583898844227875e-03
6.150000000000000355e+00,1.130076292935815685e+00,5.146311810878901986e-03
6.250000000000000000e+00,1.125947936290137896e+00,5.095045859215281692e-03
6.350000000000000533e+00,1.121845052011066102e+00,5.115046989441704613e-03
6.450000000000000178e+00,1.117786462887459864e+00,5.094618421889558421e-03
6.550000000000000711e+00,1.113795630347726773e+00,5.032349631137472343e-03
6.650000000000000355e+00,1.109850650160249197e+00,5.067577831184016772e-03
6.750000000000000000e+00,1.105843590514825836e+00,5.057218360841555897e-03
6.850000000000000533e+00,1.102045454256161516e+00,5.045297454179743096e-03
6.950000000000000178e+00,1.098251182252216962e+00,5.006112312985588897e-03
7.050000000000000711e+00,1.094401951774401027e+00,4.964875353642241897e-03
7.150000000000000355e+00,1.090639719192581847e+00,4.914930601447535519e-03
7.250000000000000000e+00,1.086987876115064200e+00,4.902804493060787701e-03
7.350000000000000533e+00,1.083337785918023766e+00,4.875760200369020671e-03
7.450000000000000178e+00,1.079710305933645698e+00,4.842847518565104002e-03
7.550000000000000711e+00,1.076120001067982113e+00,4.817034303620771306e-03
7.650000000000000355e+00,1.072605737820042204e+00,4.724672296724814063e-03
7.750000000000000000e+00,1.069055504527038902e+00,4.740888418994974526e-03
7.850000000000000533e+00,1.065680290464458668e+00,4.672173512453936875e-03
7.950000000000000178e+00,1.062278392666395899e+00,4.613987265319298599e-03
8.050000000000000711e+00,1.058966736439747036e+00,4.588129223997637098e-03
8.150000000000000355e+00,1.055721071873955141e+00,4.571696742572093318e-03
8.250000000000000000e+00,1.052503950033723434e+00,4.474572619132486176e-03
8.350000000000001421e+00,1.049323066748725219e+00,4.424497157513440117e-03
8.449999999999999289e+00,1.046157358101054369e+00,4.362783961853428788e-03
8.550000000000000711e+00,1.042993791473920906e+00,4.283192916414395660e-03
8.650000000000000355e+00,1.039935519746354231e+00,4.209342139616814235e-03
8.750000000000000000e+00,1.037024837796211907e+00,4.167009977396373202e-03
8.850000000000001421e+00,1.034084023787987583e+00,4.090844213541494981e-03
8.949999999999999289e+00,1.031157422704956028e+00,4.033342306924595638e-03
9.050000000000000711e+00,1.028286170975674318e+00,3.960685607804423358e-03
9.150000000000000355e+00,1.025617639299509554e+00,3.885742674722716689e-03
9.250000000000000000e+00,1.022893690560217284e+00,3.800620925177056273e-03
9.350000000000001421e+00,1.020229136213321786e+00,3.722775698366962566e-03
9.449999999999999289e+00,1.017571644436770617e+00,3.633156335600824273e-03
9.550000000000000711e+00,1.014978663092683586e+00,3.566875555834723033e-03
9.650000000000002132e+00,1.012381738672462284e+00,3.481291812248392317e-03
9.750000000000000000e+00,1.009987093954788362e+00,3.385919554107931235e-03
9.850000000000001421e+00,1.007551790137981129e+00,3.299006279646253797e-03
9.949999999999999289e+00,1.005143504646571539e+00,3.216494118202514914e-03
