r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.441185147328284459e-04,6.723879178034657806e-06
9.499999999999999556e-01,4.931536953842964865e-01,3.093130000337698327e-04
1.050000000000000044e+00,2.583259191176319636e+00,7.024513815819051661e-04
1.150000000000000133e+00,2.511679780260491324e+00,6.093111519292665522e-04
1.250000000000000000e+00,1.935574504805099849e+00,5.942070643315304707e-04
1.350000000000000089e+00,1.575364753164208098e+00,5.138692818865859277e-04
1.450000000000000178e+00,1.339870931558228895e+00,3.509924527535648940e-04
1.550000000000000044e+00,1.183037932844040574e+00,2.845833797903475366e-04
1.650000000000000133e+00,1.075905071024991999e+00,2.765895709788754992e-04
1.750000000000000000e+00,1.005194066492488547e+00,3.205587452679702510e-04
1.850000000000000089e+00,9.586985583479940010e-01,2.140553416050508561e-04
1.950000000000000178e+00,9.346337769119242855e-01,2.157780940148170833e-04
2.049999999999999822e+00,9.255943443857365116e-01,2.422571018358239345e-04
2.150000000000000355e+00,9.258536534097018267e-01,1.605297355026900506e-04
2.250000000000000000e+00,9.317857531198064924e-01,8.616507559350609045e-05
2.350000000000000533e+00,9.408484056434547327e-01,1.779754050371604710e-04
2.450000000000000178e+00,9.508594358238934285e-01,1.868946905739470694e-04
2.549999999999999822e+00,9.631653683563217161e-01,2.027842342646222291e-04
2.650000000000000355e+00,9.740103970945664935e-01,1.486696408475205128e-04
2.750000000000000000e+00,9.841102273450739180e-01,1.269855895724719566e-04
2.850000000000000533e+00,9.930435111078237398e-01,1.927317980120243760e-04
2.950000000000000178e+00,9.997724943344936666e-01,1.572826933179719520e-04
3.049999999999999822e+00,1.004804411364633054e+00,2.033356102217627589e-04
3.150000000000000355e+00,1.007739090562870921e+00,1.724662159923216287e-04
3.250000000000000000e+00,1.008676074149404522e+00,1.562892845245113401e-04
3.350000000000000533e+00,1.009192893726733820e+00,1.141254802917996000e-04
3.450000000000000178e+00,1.008528044026709924e+00,1.150808442808791524e-04
3.549999999999999822e+00,1.006958539263367092e+00,1.421174321667918901e-04
3.650000000000000355e+00,1.005109658854092869e+00,1.158149405182208261e-04
3.750000000000000000e+00,1.003491337356386293e+00,1.304061204744777090e-04
3.850000000000000533e+00,1.002085893076825940e+00,1.115795579854702305e-04
3.950000000000000178e+00,1.000907612911348776e+00,6.944139819457646160e-05
4.050000000000000711e+00,1.000020049227369201e+00,6.870181459727284668e-05
4.150000000000000355e+00,9.992513560902898107e-01,1.274284088392206029e-04
4.250000000000000000e+00,9.988918764812705353e-01,1.408256005531415803e-04
4.349999999999999645e+00,9.987446652664739855e-01,8.873858563642573680e-05
4.450000000000000178e+00,9.985002869395861458e-01,9.318463845121227531e-05
4.550000000000000711e+00,9.987825876137044201e-01,1.334802964323667201e-04
4.650000000000000355e+00,9.988869951302733474e-01,1.315578296191646812e-04
4.750000000000000000e+00,9.990461851891032641e-01,1.135709494122181666e-04
4.850000000000000533e+00,9.994088518972537027e-01,1.157394896086935514e-04
4.950000000000000178e+00,9.995210296445511400e-01,1.017847134733263447e-04
5.050000000000000711e+00,9.997047294485461588e-01,9.512021753666321361e-05
5.150000000000000355e+00,9.998268166668854429e-01,9.214796766008531757e-05
5.250000000000000000e+00,9.998898496958217308e-01,1.120704295574040675e-04
5.350000000000000533e+00,9.999618777396992453e-01,9.315115418228774914e-05
5.450000000000000178e+00,9.998676272349659166e-01,1.066737737974829712e-04
5.550000000000000711e+00,1.000084238639864509e+00,1.192102696094067592e-04
5.650000000000000355e+00,9.998949273529822435e-01,6.439956442765589048e-05
5.750000000000000000e+00,9.999558923774845010e-01,6.006511681002899060e-05
5.850000000000000533e+00,9.999151767772215260e-01,9.472564552004614702e-05
5.950000000000000178e+00,9.998734903394552731e-01,7.589248880301582921e-05
6.050000000000000711e+00,9.999751610269684843e-01,8.260606614851522867e-05
6.150000000000000355e+00,9.998305088433653287e-01,3.278568656379057296e-05
6.250000000000000000e+00,9.999943613620529970e-01,8.936638535877823781e-05
6.350000000000000533e+00,9.997898993231022491e-01,6.118789577750379080e-05
6.450000000000000178e+00,9.997300657775701760e-01,5.927214691030768779e-05
6.550000000000000711e+00,9.998513117608063272e-01,8.461178255835703017e-05
6.650000000000000355e+00,9.999104996571265280e-01,6.508075917558328572e-05
6.750000000000000000e+00,9.999153022088005383e-01,7.680573967529987227e-05
6.850000000000000533e+00,9.999863465326320755e-01,7.168171036731909272e-05
6.950000000000000178e+00,9.998008961346623868e-01,6.083348199366032802e-05
7.050000000000000711e+00,9.998835678277144812e-01,5.942173579685447460e-05
7.150000000000000355e+00,9.997821348631079630e-01,6.003888828182340554e-05
7.250000000000000000e+00,9.999380090467508975e-01,6.421361494456831974e-05
7.350000000000000533e+00,9.999335338922310523e-01,5.522675060373819769e-05
7.450000000000000178e+00,9.999201671340134379e-01,5.804402857948695062e-05
7.550000000000000711e+00,9.999441754449074349e-01,6.566545193091124816e-05
7.650000000000000355e+00,9.998222563006120556e-01,5.008568418398051989e-05
7.750000000000000000e+00,9.999177853700753626e-01,5.636620774690036630e-05
7.850000000000000533e+00,9.999162598003268343e-01,7.570539441980144693e-05
7.950000000000000178e+00,9.998896781054446015e-01,5.477867729501301197e-05
8.050000000000000711e+00,9.999153392244748417e-01,4.434462927750194746e-05
8.150000000000000355e+00,9.998614088977731962e-01,4.048024942552001809e-05
8.250000000000000000e+00,9.998248422398828827e-01,6.300343668950716622e-05
8.350000000000001421e+00,9.998455272327895216e-01,5.596207927005323972e-05
8.449999999999999289e+00,9.998876984594060602e-01,4.456731770843265727e-05
8.550000000000000711e+00,9.999374681876990190e-01,6.153199250387119388e-05
8.650000000000000355e+00,9.998726620962579137e-01,5.683232157734488586e-05
8.750000000000000000e+00,9.998694481473038298e-01,6.883689241244567473e-05
8.850000000000001421e+00,9.999055982439120083e-01,3.539084573074938753e-05
8.949999999999999289e+00,9.998581621461340996e-01,4.841844793065695161e-05
9.050000000000000711e+00,9.998351362784051455e-01,7.224766168675989658e-05
9.150000000000000355e+00,9.998880254566440140e-01,5.280039927932628620e-05
9.250000000000000000e+00,9.999267863116305666e-01,2.725286955354461633e-05
9.350000000000001421e+00,9.998379662421557068e-01,3.283717836718611053e-05
9.449999999999999289e+00,9.998341950630301733e-01,5.131876608208445960e-05
9.550000000000000711e+00,9.998654759693437200e-01,4.534955868882156049e-05
9.650000000000002132e+00,9.998343128380564604e-01,5.070155827910464839e-05
9.750000000000000000e+00,9.998460492966225743e-01,5.243597378072942082e-05
9.850000000000001421e+00,9.997663496863605781e-01,4.042538895803672486e-05
9.949999999999999289e+00,9.999010730317425821e-01,5.260087008630700363e-05
