r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,9.924376873528973763e-05,4.899768487378786157e-05
9.499999999999999556e-01,2.074816871187983303e-01,1.246652355056941967e-03
1.050000000000000044e+00,1.385991175956095223e+00,3.475948913900543755e-03
1.150000000000000133e+00,1.683122633495637732e+00,3.430477895507045173e-03
1.250000000000000000e+00,1.566156841753649775e+00,2.029066405007189620e-03
1.350000000000000089e+00,1.475066280750370495e+00,2.327416455455305969e-03
1.450000000000000178e+00,1.403630297206204025e+00,2.047885196251713388e-03
1.550000000000000044e+00,1.339052692175705550e+00,1.799128561210225092e-03
1.650000000000000133e+00,1.292338387029821734e+00,1.835122731326322863e-03
1.750000000000000000e+00,1.248768642798241402e+00,1.833974362114900716e-03
1.850000000000000089e+00,1.216101953254235202e+00,2.218170716702167009e-03
1.950000000000000178e+00,1.187220631505226054e+00,1.954391513392611610e-03
2.049999999999999822e+00,1.162325793432563037e+00,1.978036289345959375e-03
2.150000000000000355e+00,1.141847043543192441e+00,1.420855125285885780e-03
2.250000000000000000e+00,1.127203636454793712e+00,1.810215646921362401e-03
2.350000000000000533e+00,1.112698884571179159e+00,9.502956880044909245e-04
2.450000000000000178e+00,1.101779103158999851e+00,9.013862532382172941e-04
2.549999999999999822e+00,1.086798431216308813e+00,1.541984137244568290e-03
2.650000000000000355e+00,1.079494543844112808e+00,1.506394363867460343e-03
2.750000000000000000e+00,1.070650421034237798e+00,1.333181970880220092e-03
2.850000000000000533e+00,1.063476347488897300e+00,1.001540975814086418e-03
2.950000000000000178e+00,1.058149966606292569e+00,8.144859763229509711e-04
3.049999999999999822e+00,1.050194276040552932e+00,1.032004411413805145e-03
3.150000000000000355e+00,1.046002065437240169e+00,1.212634931448247503e-03
3.250000000000000000e+00,1.041579892200112933e+00,1.011813343039181775e-03
3.350000000000000533e+00,1.035322137158624978e+00,1.390169916619650317e-03
3.450000000000000178e+00,1.031942508804006842e+00,1.238075859588265307e-03
3.549999999999999822e+00,1.028193877266732503e+00,7.076138812794806549e-04
3.650000000000000355e+00,1.026904561575203711e+00,1.016926454626850300e-03
3.750000000000000000e+00,1.022643133498067236e+00,9.543059206056494570e-04
3.850000000000000533e+00,1.021682097186095817e+00,1.007237536278100939e-03
3.950000000000000178e+00,1.018484411630530717e+00,1.025266768001065459e-03
4.050000000000000711e+00,1.017094699345630460e+00,8.286664541954744546e-04
4.150000000000000355e+00,1.015526261805288266e+00,1.191235265979952379e-03
4.250000000000000000e+00,1.013646702493202323e+00,5.521372216711465698e-04
4.349999999999999645e+00,1.011703995819101864e+00,7.453533084040829017e-04
4.450000000000000178e+00,1.011590438001498171e+00,7.098091582752289082e-04
4.550000000000000711e+00,1.010210790672894765e+00,7.364238026555000550e-04
4.650000000000000355e+00,1.009744614192976675e+00,5.491573148649990781e-04
4.750000000000000000e+00,1.007738995656906500e+00,4.525774445226536723e-04
4.850000000000000533e+00,1.008122323320974623e+00,9.516072603317862234e-04
4.950000000000000178e+00,1.006180671076789768e+00,6.424341143425288218e-04
5.050000000000000711e+00,1.005949992054513631e+00,4.839352157857139576e-04
5.150000000000000355e+00,1.005336957621388416e+00,5.413156819435793006e-04
5.250000000000000000e+00,1.005000968519074167e+00,4.397660402838081536e-04
5.350000000000000533e+00,1.003229999351894719e+00,7.443074921628604207e-04
5.450000000000000178e+00,1.002785029396740857e+00,6.891792978866999493e-04
5.550000000000000711e+00,1.002114603202216569e+00,4.673742521697165871e-04
5.650000000000000355e+00,1.002043546599392876e+00,5.305069833688642357e-04
5.750000000000000000e+00,1.002222312260972137e+00,3.851421471717536723e-04
5.850000000000000533e+00,1.002223934193336330e+00,6.211605981444264001e-04
5.950000000000000178e+00,1.001714021151525191e+00,6.388585141412759551e-04
6.050000000000000711e+00,1.001652140497526711e+00,7.403448110630543762e-04
6.150000000000000355e+00,1.000507763896612889e+00,4.306833738459324109e-04
6.250000000000000000e+00,9.997460310020432894e-01,4.251585505137680057e-04
6.350000000000000533e+00,9.998419312816242410e-01,4.886526843478624597e-04
6.450000000000000178e+00,1.000501285308479371e+00,6.049056189482438775e-04
6.550000000000000711e+00,9.996638410117526519e-01,4.028488174262398989e-04
6.650000000000000355e+00,9.992351412017054235e-01,3.914849331441031606e-04
6.750000000000000000e+00,9.987528635331305304e-01,3.278803476576975639e-04
6.850000000000000533e+00,9.996551238110544801e-01,4.096903541209674020e-04
6.950000000000000178e+00,9.995164104436240482e-01,4.585384076323922300e-04
7.050000000000000711e+00,9.992735661625402610e-01,5.513519062355062882e-04
7.150000000000000355e+00,9.999274834471215678e-01,3.566336604453930622e-04
7.250000000000000000e+00,9.985379394998250557e-01,5.061068100509530550e-04
7.350000000000000533e+00,9.989363814481642123e-01,4.533391327787189866e-04
7.450000000000000178e+00,9.986284800905211867e-01,3.640048622400269022e-04
7.550000000000000711e+00,9.984335211716081071e-01,3.581557823710232479e-04
7.650000000000000355e+00,9.984244375493392942e-01,5.407934248738568246e-04
7.750000000000000000e+00,9.983059612364465485e-01,5.109966704041865896e-04
7.850000000000000533e+00,9.988019617670321759e-01,3.039301036231984538e-04
7.950000000000000178e+00,9.995896171068654468e-01,3.680404636974444078e-04
8.050000000000000711e+00,9.979900491191248113e-01,3.420455556972860607e-04
8.150000000000000355e+00,9.986598500645393894e-01,3.137087397702116674e-04
8.250000000000000000e+00,9.990619962750626470e-01,4.326024151567579054e-04
8.350000000000001421e+00,9.984096332156063847e-01,2.877407638698067970e-04
8.449999999999999289e+00,9.985293301997011373e-01,2.994744116536165080e-04
8.550000000000000711e+00,9.987000111320056828e-01,4.279787201948393404e-04
8.650000000000000355e+00,9.989853427446803158e-01,3.839901332710196689e-04
8.750000000000000000e+00,9.988657926476840476e-01,2.979712446107873110e-04
8.850000000000001421e+00,9.984945750638936079e-01,3.210801425159801460e-04
8.949999999999999289e+00,9.983564702297815785e-01,3.026319879271145556e-04
9.050000000000000711e+00,9.983611132451570835e-01,2.268502216139019916e-04
9.150000000000000355e+00,9.985581344757736844e-01,3.297622464350580067e-04
9.250000000000000000e+00,9.990075869535429698e-01,2.308978503916741067e-04
9.350000000000001421e+00,9.982278060607134851e-01,2.316476868942620912e-04
9.449999999999999289e+00,9.987035476738392870e-01,2.918496070099147756e-04
9.550000000000000711e+00,9.981792414291421611e-01,3.702237414119640855e-04
9.650000000000002132e+00,9.985455277279806641e-01,2.005842540123539729e-04
9.750000000000000000e+00,9.986754395692510888e-01,3.376809001790583346e-04
9.850000000000001421e+00,9.989455279314987113e-01,3.571862166005650716e-04
9.949999999999999289e+00,9.981981267757393805e-01,3.635049909063885806e-04
