r,gCA_mean,gCA_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.499999999999999556e-01,1.325388763500112699e-01,3.771727474573391328e-03
1.050000000000000044e+00,8.939462149212369368e-01,8.390197209491417549e-03
1.150000000000000133e+00,1.176510470225798910e+00,1.020451626130577764e-02
1.250000000000000000e+00,1.150079726389025225e+00,9.589094078580618838e-03
1.350000000000000089e+00,1.140323441223671352e+00,9.258076397478188016e-03
1.450000000000000178e+00,1.103743588244264773e+00,6.978404785011919735e-03
1.550000000000000044e+00,1.115651241349429945e+00,8.110560044394534221e-03
1.650000000000000133e+00,1.107697296522651254e+00,1.037042978374315243e-02
1.750000000000000000e+00,1.090563819738435525e+00,6.285764899346134131e-03
1.850000000000000089e+00,1.072255142280775786e+00,5.438797774091104140e-03
1.950000000000000178e+00,1.079196622528195038e+00,5.518647048050032491e-03
2.049999999999999822e+00,1.070087033014883726e+00,6.967314296384620464e-03
2.150000000000000355e+00,1.071730894464761885e+00,7.818152722885707978e-03
2.250000000000000000e+00,1.067071733918010024e+00,4.507206800493030949e-03
2.350000000000000533e+00,1.052894612787818929e+00,7.334477699344151003e-03
2.450000000000000178e+00,1.053356324843204295e+00,6.009177458347446030e-03
2.549999999999999822e+00,1.050839573074958455e+00,4.753751455093374080e-03
2.650000000000000355e+00,1.049994252198731548e+00,4.808319701503047626e-03
2.750000000000000000e+00,1.041177159991248491e+00,4.093778011547978025e-03
2.850000000000000533e+00,1.045188453977019094e+00,4.509118498415645021e-03
2.950000000000000178e+00,1.038970121815302905e+00,3.960876687475278421e-03
3.049999999999999822e+00,1.034521753093979424e+00,4.296038766517421871e-03
3.150000000000000355e+00,1.037633580581940551e+00,5.014204930292604639e-03
3.250000000000000000e+00,1.030977379533531080e+00,2.721100202050694920e-03
3.350000000000000533e+00,1.037128760193322563e+00,3.071893460591139900e-03
3.450000000000000178e+00,1.027724583204022268e+00,2.946818641216450516e-03
3.549999999999999822e+00,1.030296398556883597e+00,3.722692160341420364e-03
3.650000000000000355e+00,1.026326392814468358e+00,3.267409137998256684e-03
3.750000000000000000e+00,1.026811766450991481e+00,2.577702780412163136e-03
3.850000000000000533e+00,1.026568803220544224e+00,3.231569176973903522e-03
3.950000000000000178e+00,1.020996745768195435e+00,3.299223707489402132e-03
4.050000000000000711e+00,1.021086717073339312e+00,2.777194170160548169e-03
4.150000000000000355e+00,1.020948452704438569e+00,2.480378777022117318e-03
4.250000000000000000e+00,1.023780113065501762e+00,2.862427702882533714e-03
4.349999999999999645e+00,1.011776899786430484e+00,2.366597711232759985e-03
4.450000000000000178e+00,1.016419454243219223e+00,2.211173079300265878e-03
4.550000000000000711e+00,1.013667761663818778e+00,1.780261785954005650e-03
4.650000000000000355e+00,1.015288862785675095e+00,1.820329296469517209e-03
4.750000000000000000e+00,1.013875664388594444e+00,1.620302650927497781e-03
4.850000000000000533e+00,1.008988960838866245e+00,2.365215073494446579e-03
4.950000000000000178e+00,1.013243354641510496e+00,2.052080988840512474e-03
5.050000000000000711e+00,1.010652167179372007e+00,2.320640669223123214e-03
5.150000000000000355e+00,1.012087778938492111e+00,1.285882079115141215e-03
5.250000000000000000e+00,1.010026677855037747e+00,1.311489394680721149e-03
5.350000000000000533e+00,1.007522076322752369e+00,1.481451358852831079e-03
5.450000000000000178e+00,1.006001563989194825e+00,1.228203140278133487e-03
5.550000000000000711e+00,1.006259682260716604e+00,1.562672596791784370e-03
5.650000000000000355e+00,1.003029510589372730e+00,1.169365402507939857e-03
5.750000000000000000e+00,1.006748954734311363e+00,1.329638744709270336e-03
5.850000000000000533e+00,1.007011072644524052e+00,1.496234096362642190e-03
5.950000000000000178e+00,1.003973103313174686e+00,1.833556528602989363e-03
6.050000000000000711e+00,1.007404271580669031e+00,1.378488939266292760e-03
6.150000000000000355e+00,1.005150993124241054e+00,1.228698339086156796e-03
6.250000000000000000e+00,1.004663985930234205e+00,9.689223844752506724e-04
6.350000000000000533e+00,1.004337006566441870e+00,1.688632183205495720e-03
6.450000000000000178e+00,1.003868429716422206e+00,1.318148135721915149e-03
6.550000000000000711e+00,1.006007739778079335e+00,2.482448376418983169e-03
6.650000000000000355e+00,1.003279275871079568e+00,1.097689660163535816e-03
6.750000000000000000e+00,1.004638955626997454e+00,1.249643752147993345e-03
6.850000000000000533e+00,1.003986366896869153e+00,1.263920707343595346e-03
6.950000000000000178e+00,1.002831260046058715e+00,1.595160646652886384e-03
7.050000000000000711e+00,1.003885213450272929e+00,1.551408820493362702e-03
7.150000000000000355e+00,1.001917854093489879e+00,1.408614219394903376e-03
7.250000000000000000e+00,1.002592421626876451e+00,1.421994007686523285e-03
7.350000000000000533e+00,1.001062077003518569e+00,1.447796414181246483e-03
7.450000000000000178e+00,1.001853739391781017e+00,1.301084566624919822e-03
7.550000000000000711e+00,1.000583380179054682e+00,1.162808009542319393e-03
7.650000000000000355e+00,1.001443356909366367e+00,1.041964500474808339e-03
7.750000000000000000e+00,1.003060443121324363e+00,1.329033726014889564e-03
7.850000000000000533e+00,1.002714510557935146e+00,1.381464571935536690e-03
7.950000000000000178e+00,1.002800460066611610e+00,1.201794926241176592e-03
8.050000000000000711e+00,1.002167425244714583e+00,1.247974614984162121e-03
8.150000000000000355e+00,1.002217332640455982e+00,1.453432275399771942e-03
8.250000000000000000e+00,1.000702904586743935e+00,1.005244781791960135e-03
8.350000000000001421e+00,9.996152000568343521e-01,1.106458242562745982e-03
8.449999999999999289e+00,1.002535460842538084e+00,9.736984653621452495e-04
8.550000000000000711e+00,1.000051272971280047e+00,1.566159089760991736e-03
8.650000000000000355e+00,1.001398023292125572e+00,1.097767118519708731e-03
8.750000000000000000e+00,1.001241874674711152e+00,1.409291985892868228e-03
8.850000000000001421e+00,1.002308378541632683e+00,1.489073142316375961e-03
8.949999999999999289e+00,9.988117231690474274e-01,9.328142524389640639e-04
9.050000000000000711e+00,1.003756343568586562e+00,1.160349467312320323e-03
9.150000000000000355e+00,1.001914405797905250e+00,1.004723297895863043e-03
9.250000000000000000e+00,1.000802945983718661e+00,8.834887064730121255e-04
9.350000000000001421e+00,9.999874545382987368e-01,1.385489472225038751e-03
9.449999999999999289e+00,1.000069564515581266e+00,1.175795553296213629e-03
9.550000000000000711e+00,1.001038804771948287e+00,8.232469158710357211e-04
9.650000000000002132e+00,1.000599092713109428e+00,6.892007737543331220e-04
9.750000000000000000e+00,1.003092224121123976e+00,8.768749630649357767e-04
9.850000000000001421e+00,1.000030254886607128e+00,1.052599681821365192e-03
9.949999999999999289e+00,1.000553846238160460e+00,8.052166063442415091e-04
