cluster_size, probability, probability_err
1.000000000000000000e+00,7.263946487543929686e-01,6.249097059788438421e-03
2.000000000000000000e+00,1.120601890600953082e-01,5.162403390099754019e-03
3.000000000000000000e+00,1.975132497205905890e-02,2.926720420669370708e-03
4.000000000000000000e+00,5.418508593111721894e-03,1.444308986142594500e-03
5.000000000000000000e+00,2.113562877451727415e-03,2.684614191034795719e-04
6.000000000000000000e+00,8.229617604617111637e-04,2.491440680764270624e-04
8.000000000000000000e+00,3.129724111866889302e-04,1.662902475473398945e-04
9.000000000000000000e+00,1.102292768959416591e-04,1.102292768959416591e-04
3.977000000000000000e+03,6.613756613755555750e-05,6.613756613755555750e-05
3.979000000000000000e+03,1.543209876543027699e-04,7.948746198111913779e-05
3.980000000000000000e+03,1.877040208545972279e-04,1.002621585966542115e-04
3.981000000000000000e+03,3.087766539364250021e-04,6.622397926482288322e-05
3.982000000000000000e+03,5.315860912265916180e-04,3.316252273387194070e-04
3.983000000000000000e+03,1.251145044912527855e-03,3.902239149114548455e-04
3.984000000000000000e+03,1.563983855650480717e-03,2.562771167902136351e-04
3.985000000000000000e+03,1.641821582297761130e-03,7.405902132381777213e-04
3.986000000000000000e+03,3.718985489818777291e-03,9.221519299941388420e-04
3.987000000000000000e+03,4.273785077356453271e-03,7.368572553890076265e-04
3.988000000000000000e+03,6.171798880132174647e-03,9.607711884021389627e-04
3.989000000000000000e+03,9.486887487879494887e-03,1.494025319711467161e-04
3.990000000000000000e+03,9.602520862441454863e-03,6.411569029855078037e-04
3.991000000000000000e+03,1.336306899302926177e-02,7.982211582126477354e-04
3.992000000000000000e+03,1.548340786932050385e-02,1.682102463332103793e-03
3.993000000000000000e+03,1.559232489292008104e-02,2.245572149582779960e-04
3.994000000000000000e+03,1.377078609221461976e-02,2.268037858242784224e-03
3.995000000000000000e+03,1.240079365079359286e-02,9.463682553739660632e-04
3.996000000000000000e+03,1.087962962962959156e-02,4.594062165823294759e-04
3.997000000000000000e+03,8.432539682539640438e-03,2.386533850816905354e-03
3.998000000000000000e+03,2.645502645502628009e-03,7.636908322614109667e-04
3.999000000000000000e+03,1.488095238095233459e-03,1.488095238095233459e-03
