cluster_size, probability, probability_err
1.000000000000000000e+00,6.272607306730132448e-01,7.340748306616308753e-04
2.000000000000000000e+00,1.896432308911246423e-01,8.493350563424171672e-04
3.000000000000000000e+00,8.140785682325141215e-02,9.267224531962669131e-04
4.000000000000000000e+00,4.143747416693797231e-02,2.957622633782055620e-04
5.000000000000000000e+00,2.302115833390439015e-02,3.137889175833788111e-04
6.000000000000000000e+00,1.342975171715599103e-02,1.090046977924430242e-04
7.000000000000000000e+00,8.031215213678818965e-03,3.375830178489718360e-04
8.000000000000000000e+00,5.194410054596907723e-03,1.011629429848368949e-04
9.000000000000000000e+00,3.461336982297825299e-03,1.758637442950886488e-04
1.000000000000000000e+01,2.125393493440699919e-03,1.536701391652216210e-04
1.100000000000000000e+01,1.533452198252922361e-03,1.252455380458007683e-04
1.200000000000000000e+01,1.074313700147735929e-03,2.796825369356042919e-05
1.300000000000000000e+01,6.364156884544111938e-04,1.134520360794412779e-05
1.400000000000000000e+01,5.316618001052027991e-04,1.235198143605034508e-04
1.500000000000000000e+01,2.388912274068833092e-04,4.497508271700714874e-05
1.600000000000000000e+01,2.993070932435138885e-04,1.827262309845586541e-05
1.700000000000000000e+01,2.054631726188305737e-04,4.011407492679484649e-06
1.800000000000000000e+01,1.291101401445872486e-04,2.658375903062411605e-05
1.900000000000000000e+01,7.494605081075159927e-05,2.188782261908232471e-05
2.000000000000000000e+01,1.133212072611154507e-04,1.286405124948810515e-05
2.100000000000000000e+01,4.805204602192838115e-05,4.322512491633255604e-06
2.200000000000000000e+01,3.545636254478977644e-05,1.237069481726906863e-05
2.300000000000000000e+01,2.296773496019556985e-05,1.625094519203275746e-05
2.400000000000000000e+01,1.249988502594482179e-05,6.684592915411075410e-06
2.500000000000000000e+01,1.301401971044828283e-05,8.394941755322340754e-06
2.600000000000000000e+01,3.674309229864785527e-06,3.674309229864785950e-06
2.800000000000000000e+01,3.801009548135984809e-06,3.801009548135984809e-06
2.900000000000000000e+01,3.772104532560806734e-06,3.772104532560806734e-06
3.100000000000000000e+01,3.687968371983241591e-06,3.687968371983241591e-06
3.700000000000000000e+01,3.633932205360776625e-06,3.633932205360777048e-06
