cluster_size, probability, probability_err
1.000000000000000000e+00,6.487817294177843364e-01,6.606103337202728302e-04
2.000000000000000000e+00,1.667815507772678341e-01,1.371271064485701579e-03
3.000000000000000000e+00,6.822311758009967642e-02,2.200196420448862866e-04
4.000000000000000000e+00,3.549443136191295783e-02,9.198568204794853884e-04
5.000000000000000000e+00,2.002700583932700076e-02,7.332136809250876111e-04
6.000000000000000000e+00,1.331375773698612736e-02,2.141665469010605263e-04
7.000000000000000000e+00,9.139151644020715101e-03,4.144389222141314408e-04
8.000000000000000000e+00,6.011553995685824797e-03,9.113000509921670650e-05
9.000000000000000000e+00,4.525283194910864094e-03,2.313105271560564433e-04
1.000000000000000000e+01,3.358680926502819516e-03,2.428521062991793368e-04
1.100000000000000000e+01,2.474692337732283236e-03,2.022643612614118309e-04
1.200000000000000000e+01,2.043795107089755193e-03,1.231720036760241719e-04
1.300000000000000000e+01,1.473281433622086051e-03,7.838458805317224809e-06
1.400000000000000000e+01,1.355002382675369156e-03,1.228397301141331268e-04
1.500000000000000000e+01,9.659514513866945644e-04,1.533916223874984614e-05
1.600000000000000000e+01,8.310814078843501091e-04,2.112887187324285132e-05
1.700000000000000000e+01,5.999432533055833487e-04,4.528890653850877455e-05
1.800000000000000000e+01,6.566838186565750668e-04,8.329412985530591665e-05
1.900000000000000000e+01,5.312749567521082936e-04,1.210242018580717874e-04
2.000000000000000000e+01,3.372777652346527471e-04,1.394840958853237371e-04
2.100000000000000000e+01,3.590977311545388850e-04,7.266473763981359097e-05
2.200000000000000000e+01,2.094678107799777614e-04,7.970320026637726194e-06
2.300000000000000000e+01,1.623843644042138716e-04,2.723351969742306416e-05
2.400000000000000000e+01,1.748067437801027540e-04,5.400993984117608650e-05
2.500000000000000000e+01,1.927716461350194321e-04,1.841153078861554489e-05
2.600000000000000000e+01,1.903393440841833276e-04,5.131406793864076694e-05
2.700000000000000000e+01,1.099707131326613138e-04,6.025067277760492177e-05
2.800000000000000000e+01,5.841160043645833230e-05,1.828668362122262266e-05
2.900000000000000000e+01,4.883258481870833513e-05,4.789695354867247332e-06
3.000000000000000000e+01,2.645373284061667001e-04,8.166628988052400417e-05
3.100000000000000000e+01,8.885768242543611332e-05,2.412725889479846363e-05
3.200000000000000000e+01,1.538082933431111020e-05,1.538082933431111020e-05
3.300000000000000000e+01,3.740675341551111152e-05,2.238434418335672962e-05
3.400000000000000000e+01,8.154251197379164880e-05,2.335020023560233844e-05
3.500000000000000000e+01,3.926092539762777609e-05,2.384996548641491897e-05
3.600000000000000000e+01,7.115048949050000761e-05,3.518416909195661696e-05
3.700000000000000000e+01,2.655060864614444853e-05,2.655060864614444514e-05
3.900000000000000000e+01,2.506688839037777596e-05,1.261516497382967876e-05
4.000000000000000000e+01,3.304492391793723732e-05,4.899847105289899738e-06
4.100000000000000000e+01,3.744743630204444269e-05,3.634528556447567899e-06
4.200000000000000000e+01,1.271876271875555568e-05,1.271876271875555737e-05
4.300000000000000000e+01,2.713978408422221744e-05,1.357470890035025693e-05
4.400000000000000000e+01,1.322751322751111048e-05,1.322751322751111218e-05
4.600000000000000000e+01,3.658359510752222631e-05,2.279059869324481135e-05
4.800000000000000000e+01,1.012309685778333230e-05,1.012309685778333399e-05
4.900000000000000000e+01,1.349746247704444307e-05,1.349746247704444307e-05
5.000000000000000000e+01,2.156408406407777682e-05,1.099487851642488016e-05
5.100000000000000000e+01,1.653439153438888938e-05,1.653439153438888938e-05
5.400000000000000000e+01,1.012309685778333230e-05,1.012309685778333399e-05
5.500000000000000000e+01,1.968893211830833218e-05,1.012450343591029792e-05
5.700000000000000000e+01,1.336112447223333186e-05,1.336112447223333186e-05
5.800000000000000000e+01,1.236216189486666636e-05,1.236216189486666636e-05
6.000000000000000000e+01,2.856516266476666455e-05,1.437147792509515635e-05
6.200000000000000000e+01,1.224769743287777819e-05,1.224769743287777650e-05
6.700000000000000000e+01,1.377865961199166554e-05,1.377865961199166724e-05
8.000000000000000000e+01,1.486237441293333473e-05,1.486237441293333473e-05
1.659000000000000000e+03,1.236216189486666636e-05,1.236216189486666636e-05
1.670000000000000000e+03,1.202501202501110964e-05,1.202501202501111134e-05
1.688000000000000000e+03,7.873519778281683817e-06,7.873519778281683817e-06
1.696000000000000000e+03,9.655119144170239316e-06,9.655119144170241010e-06
1.699000000000000000e+03,1.120975697246666518e-05,1.120975697246666857e-05
