cluster_size, probability, probability_err
1.000000000000000000e+00,5.500269927375038836e-01,1.292533224395581333e-03
2.000000000000000000e+00,2.421648857976382851e-01,1.632764868677248713e-03
3.000000000000000000e+00,8.684556439031605735e-02,1.230598990317619424e-03
4.000000000000000000e+00,5.009904677302088466e-02,1.220477598653696687e-03
5.000000000000000000e+00,2.609064215758926178e-02,3.171307411754868645e-04
6.000000000000000000e+00,1.595385886587414107e-02,2.455074069181601435e-04
7.000000000000000000e+00,9.621881968213107442e-03,1.478790288741621062e-04
8.000000000000000000e+00,6.061920884354014653e-03,1.346668837803211168e-04
9.000000000000000000e+00,3.718158096172980657e-03,2.122979150910393113e-04
1.000000000000000000e+01,2.882886328485391534e-03,1.022479199250377150e-04
1.100000000000000000e+01,1.882945765703177747e-03,4.688307622774321164e-05
1.200000000000000000e+01,1.434757805764647542e-03,2.559664971770778770e-04
1.300000000000000000e+01,9.068474737889110036e-04,5.689380348454298387e-05
1.400000000000000000e+01,5.732574920418777049e-04,8.021416709982784549e-05
1.500000000000000000e+01,5.836129233859777693e-04,2.058848764987905491e-04
1.600000000000000000e+01,3.516522581924806201e-04,5.131461240479417009e-05
1.700000000000000000e+01,2.304687252079750011e-04,4.474392783337865164e-05
1.800000000000000000e+01,1.555687380297805713e-04,2.277420351416561891e-05
1.900000000000000000e+01,1.048774315923597570e-04,6.598388318750413996e-06
2.000000000000000000e+01,5.975852927866889282e-05,1.278134394284128951e-05
2.100000000000000000e+01,5.080857894594183817e-05,1.711049194459102774e-05
2.200000000000000000e+01,4.787340086120566660e-05,1.129014305304060498e-05
2.300000000000000000e+01,4.084141487131020236e-05,1.182213584884844271e-05
2.400000000000000000e+01,2.407828342738032928e-05,3.164627791765230174e-06
2.500000000000000000e+01,2.451214998789797147e-05,8.945906941783853455e-06
2.600000000000000000e+01,1.254050712652610937e-05,3.865776358851213380e-06
2.700000000000000000e+01,1.907653109299467750e-05,6.230734048531352412e-06
2.800000000000000000e+01,1.150661538722349567e-05,1.791421743729751819e-06
2.900000000000000000e+01,5.946399676460056236e-06,3.067585773494042582e-06
3.000000000000000000e+01,6.524140187506524978e-06,6.524140187506524978e-06
3.200000000000000000e+01,6.706836280771117825e-06,3.354072577024499734e-06
