cluster_size, probability, probability_err
1.000000000000000000e+00,7.097340311777621258e-01,4.392405665199437793e-04
2.000000000000000000e+00,1.742791577969254047e-01,4.803191782730252958e-04
3.000000000000000000e+00,6.289705660033391432e-02,7.701085479149944694e-05
4.000000000000000000e+00,2.696156958613409038e-02,2.240504948350684265e-04
5.000000000000000000e+00,1.251787783974418755e-02,1.941395948542176610e-04
6.000000000000000000e+00,6.285669789376627237e-03,1.076450941450066541e-04
7.000000000000000000e+00,3.389191494440250193e-03,5.827155902788179784e-05
8.000000000000000000e+00,1.791754778708455793e-03,1.531793328665360975e-05
9.000000000000000000e+00,9.188851581469250620e-04,3.883421958444756360e-05
1.000000000000000000e+01,5.220356120183221012e-04,2.496805134746610326e-05
1.100000000000000000e+01,2.822113245452833197e-04,7.106049178666385923e-06
1.200000000000000000e+01,1.697611418061186492e-04,1.658424337083520239e-05
1.300000000000000000e+01,8.924748411019928305e-05,1.477633245973069678e-05
1.400000000000000000e+01,6.424165255494935015e-05,3.718213869141137341e-05
1.500000000000000000e+01,4.254442744905530233e-05,1.594960216914066790e-05
1.600000000000000000e+01,2.611991106237816982e-05,6.437298577696247104e-06
1.700000000000000000e+01,1.340609448206056747e-05,2.937766919872309279e-06
1.800000000000000000e+01,2.548653801062278804e-06,2.548653801062279228e-06
1.900000000000000000e+01,4.443811522387152285e-06,2.277234907761052409e-06
2.000000000000000000e+01,2.495757212738344750e-06,2.495757212738344750e-06
2.100000000000000000e+01,1.945222533457827582e-06,1.945222533457827582e-06
2.200000000000000000e+01,1.896870921727518369e-06,1.896870921727518581e-06
2.300000000000000000e+01,1.907814407814407389e-06,1.907814407814407813e-06
