cluster_size, probability, probability_err
1.000000000000000000e+00,8.044464604675662933e-01,6.869736427505831284e-04
2.000000000000000000e+00,1.417913103211579928e-01,4.598960314647785393e-04
3.000000000000000000e+00,3.690276729127131561e-02,2.522553411331760723e-04
4.000000000000000000e+00,1.105258025082642148e-02,4.737456331211147237e-05
5.000000000000000000e+00,3.715838798915955480e-03,2.971862932412867322e-05
6.000000000000000000e+00,1.347375747577902842e-03,2.688614945747075561e-05
7.000000000000000000e+00,4.507898801384805395e-04,6.311345771359614092e-05
8.000000000000000000e+00,1.896144013475586259e-04,6.065906330829658974e-05
9.000000000000000000e+00,4.604398730023292818e-05,1.475383493023720434e-05
1.000000000000000000e+01,4.010778226763716961e-05,5.896039545767649600e-06
1.100000000000000000e+01,8.633831607213337338e-06,4.604780246966125849e-06
1.200000000000000000e+01,5.068087129155831215e-06,5.068087129155832062e-06
1.300000000000000000e+01,3.409152893688975769e-06,3.409152893688975769e-06
