cluster_size, probability, probability_err
1.000000000000000000e+00,5.805259094726559210e-01,9.460872290410109534e-04
2.000000000000000000e+00,2.302427512545758004e-01,1.016261177351618274e-03
3.000000000000000000e+00,8.398713320609740851e-02,3.291529506686073484e-04
4.000000000000000000e+00,4.427783849677793121e-02,1.627214382900531522e-04
5.000000000000000000e+00,2.324802796595197910e-02,1.369002727069877363e-04
6.000000000000000000e+00,1.409371626669110068e-02,1.428210239313244584e-04
7.000000000000000000e+00,8.296742046921747049e-03,8.313535124321717895e-05
8.000000000000000000e+00,5.253422756464885303e-03,6.232311937650558090e-05
9.000000000000000000e+00,3.406027981700252612e-03,5.533972743879311460e-05
1.000000000000000000e+01,2.062213182301677467e-03,1.436487978478971829e-05
1.100000000000000000e+01,1.497146141805958232e-03,3.462541609096643860e-05
1.200000000000000000e+01,1.017583031895705767e-03,4.552971073351749429e-05
1.300000000000000000e+01,6.317063518758250264e-04,2.199325098941022904e-05
1.400000000000000000e+01,4.498761339766944173e-04,7.715531090423566435e-06
1.500000000000000000e+01,3.101431556470305578e-04,2.178771692391642218e-05
1.600000000000000000e+01,1.879468412805006727e-04,2.095590180040768981e-05
1.700000000000000000e+01,1.604770896799886568e-04,9.653736983247275606e-06
1.800000000000000000e+01,1.129357697919179557e-04,1.996850049423852766e-05
1.900000000000000000e+01,6.448423715362222152e-05,1.811475367796504853e-05
2.000000000000000000e+01,4.482694793266372063e-05,2.006943604622277069e-05
2.100000000000000000e+01,3.152169849043768852e-05,3.191926350822150894e-06
2.200000000000000000e+01,2.851596023389531073e-05,5.266868292608749123e-06
2.300000000000000000e+01,2.487774397768319689e-05,3.014006333843032265e-06
2.400000000000000000e+01,8.454673089733094970e-06,5.327292991000295929e-06
2.500000000000000000e+01,2.073045259530771782e-05,4.031557157818493007e-06
2.600000000000000000e+01,8.770762941087787432e-06,5.531660424237584615e-06
2.700000000000000000e+01,3.037316470152290961e-06,3.037316470152291384e-06
3.000000000000000000e+01,3.183061022462861496e-06,3.183061022462861496e-06
