cluster_size, probability, probability_err
1.000000000000000000e+00,5.862656577458456031e-01,2.796796149045848953e-04
2.000000000000000000e+00,1.799767780484179680e-01,2.964131511601990321e-05
3.000000000000000000e+00,8.310532808393132631e-02,1.794942109413421520e-04
4.000000000000000000e+00,4.643664947959471462e-02,1.314227573106197487e-04
5.000000000000000000e+00,2.928817068644761282e-02,3.102896191744998087e-04
6.000000000000000000e+00,1.881057982222457403e-02,2.344090901892103326e-04
7.000000000000000000e+00,1.320903577191522710e-02,1.362323039899026873e-04
8.000000000000000000e+00,9.645924427574085677e-03,1.139538228677664775e-04
9.000000000000000000e+00,7.159723038285018167e-03,2.158886875093915026e-04
1.000000000000000000e+01,5.352322164389699405e-03,3.039597933779736370e-05
1.100000000000000000e+01,4.079539771897058506e-03,1.492807179478756368e-04
1.200000000000000000e+01,3.256553070816708539e-03,7.035698933471459045e-05
1.300000000000000000e+01,2.367679936398377812e-03,5.075663848891417832e-05
1.400000000000000000e+01,2.073865872820778149e-03,5.319547255784509693e-05
1.500000000000000000e+01,1.608965843379574906e-03,5.249699190480266547e-05
1.600000000000000000e+01,1.258814652228610990e-03,7.626053335100584855e-05
1.700000000000000000e+01,9.888406363158083658e-04,5.453867756212516589e-05
1.800000000000000000e+01,8.450525606209166596e-04,6.355612234365920997e-05
1.900000000000000000e+01,7.360935352020749880e-04,5.630531962074509665e-05
2.000000000000000000e+01,5.869823650340111549e-04,4.723301266948263856e-06
2.100000000000000000e+01,5.305328521852777568e-04,3.721227205767613309e-05
2.200000000000000000e+01,3.726213470050139249e-04,2.861602610542715813e-06
2.300000000000000000e+01,3.449931933596916294e-04,1.000450907795149020e-05
2.400000000000000000e+01,2.380702202912388934e-04,7.514038619280480544e-06
2.500000000000000000e+01,2.256752146769722134e-04,1.789345072503598509e-05
2.600000000000000000e+01,1.776323351393638750e-04,2.215520084655329375e-05
2.700000000000000000e+01,1.347519418639771759e-04,9.282886969363865178e-06
2.800000000000000000e+01,1.474954876812437055e-04,9.123070958624132680e-06
2.900000000000000000e+01,1.033236397993900083e-04,1.391463640476290062e-05
3.000000000000000000e+01,8.300000051553997431e-05,1.301772191009733845e-05
3.100000000000000000e+01,7.377437467566136180e-05,1.341587822466155851e-05
3.200000000000000000e+01,8.747939537514479473e-05,4.149324138268866386e-06
3.300000000000000000e+01,4.643390613872445992e-05,7.675013933150369347e-06
3.400000000000000000e+01,5.495979783919495871e-05,1.059675160496403373e-05
3.500000000000000000e+01,4.596696272351902122e-05,9.136743723258141352e-06
3.600000000000000000e+01,4.148232454380810147e-05,6.831893857706554890e-06
3.700000000000000000e+01,4.417336677433706277e-05,9.523435975883336681e-06
3.800000000000000000e+01,2.587375713713220340e-05,6.388754021869301130e-06
3.900000000000000000e+01,1.749525363644118640e-05,5.498294570654942753e-06
4.000000000000000000e+01,2.196599422528666725e-05,4.168097107307556970e-07
4.100000000000000000e+01,2.046097422727318174e-05,1.671441995397327672e-06
4.200000000000000000e+01,1.702181907341012516e-05,3.292266662215376967e-06
4.300000000000000000e+01,1.357091345461440705e-05,8.566060925537896895e-06
4.400000000000000000e+01,8.410815627103399055e-06,1.459784368418346001e-06
4.500000000000000000e+01,5.201341155342642583e-06,5.573993175010904102e-07
4.600000000000000000e+01,6.431367560356023208e-06,3.317068738801488691e-06
4.700000000000000000e+01,4.714162049171370418e-06,2.473630892328594741e-06
4.800000000000000000e+01,1.863342463711405816e-06,1.863342463711406027e-06
4.900000000000000000e+01,3.767098632871775220e-06,1.883703280192092990e-06
5.000000000000000000e+01,3.325781903158637082e-06,1.720238336847845678e-06
5.100000000000000000e+01,1.426354466201104691e-06,1.426354466201104903e-06
5.200000000000000000e+01,7.512217668122673216e-06,7.512217668122673216e-06
5.300000000000000000e+01,6.123834101018260824e-06,3.614173542445474963e-06
5.500000000000000000e+01,3.369480433923006035e-06,1.761320374559556720e-06
5.600000000000000000e+01,3.387678828956926203e-06,1.749436253610140318e-06
5.700000000000000000e+01,5.614765065614651810e-06,3.178838600123402753e-06
5.800000000000000000e+01,3.336022438497912000e-06,1.723912241599145750e-06
5.900000000000000000e+01,3.720802920488246331e-06,3.720802920488246331e-06
6.300000000000000000e+01,1.405402366697585450e-06,1.405402366697585662e-06
6.400000000000000000e+01,1.429633441985474883e-06,1.429633441985475095e-06
6.600000000000000000e+01,1.424720612287930333e-06,1.424720612287930545e-06
6.700000000000000000e+01,1.458125550442395143e-06,1.458125550442394931e-06
6.900000000000000000e+01,1.480691779199241843e-06,1.480691779199242055e-06
7.500000000000000000e+01,1.890963275602224393e-06,1.890963275602224605e-06
8.800000000000000000e+01,1.392811975954494065e-06,1.392811975954494277e-06
