cluster_size, probability, probability_err
1.000000000000000000e+00,7.188395596210837013e-01,1.038539945463191460e-03
2.000000000000000000e+00,1.553797652024141440e-01,9.385464793627943140e-04
3.000000000000000000e+00,5.775968188278010618e-02,3.438281852496668589e-04
4.000000000000000000e+00,2.652696435929817811e-02,2.671466024589727443e-04
5.000000000000000000e+00,1.400152813664790052e-02,1.664092154045751298e-04
6.000000000000000000e+00,8.042203473377803474e-03,1.743540050814557010e-04
7.000000000000000000e+00,5.252139561284834002e-03,6.750905747715823960e-05
8.000000000000000000e+00,3.280941072395233363e-03,1.597828630386190544e-04
9.000000000000000000e+00,2.225545426305891843e-03,1.762220361255354187e-04
1.000000000000000000e+01,1.393899547832733480e-03,6.708348975052331998e-05
1.100000000000000000e+01,1.144337711556533358e-03,1.205002963356469914e-05
1.200000000000000000e+01,7.108708138705805779e-04,6.146382638065766061e-05
1.300000000000000000e+01,5.359196748494194458e-04,2.302562969110537054e-05
1.400000000000000000e+01,4.057167306192639039e-04,1.010590582946489568e-05
1.500000000000000000e+01,3.005720249971013751e-04,5.266840683486817364e-05
1.600000000000000000e+01,3.131040437516222552e-04,3.111532837493362499e-05
1.700000000000000000e+01,1.943538056521203216e-04,1.851444556474711169e-05
1.800000000000000000e+01,1.818894381543887946e-04,1.576835463218640172e-05
1.900000000000000000e+01,1.111407492535473445e-04,1.004170976913161039e-05
2.000000000000000000e+01,1.004521898470381482e-04,2.390379412006872275e-05
2.100000000000000000e+01,8.048128508529905402e-05,2.583260405822896647e-05
2.200000000000000000e+01,3.519542093645273815e-05,9.920306762300494557e-06
2.300000000000000000e+01,5.433518382071340550e-05,1.459459144838256189e-05
2.400000000000000000e+01,1.920303747529422567e-05,9.613658555467245045e-06
2.500000000000000000e+01,2.491333591528363314e-05,1.800560997021943276e-05
2.600000000000000000e+01,2.612087869854000011e-05,7.281535931993004335e-06
2.700000000000000000e+01,2.073667478766546480e-05,1.043670239296459493e-05
2.800000000000000000e+01,1.386628208364773798e-05,1.386628208364773629e-05
2.900000000000000000e+01,1.770626594158725324e-05,9.343824087792273998e-06
3.000000000000000000e+01,2.078018066619267000e-05,1.042246907744264090e-05
3.100000000000000000e+01,3.690745087618288580e-06,3.690745087618288580e-06
3.300000000000000000e+01,8.104299925724779943e-06,4.229469099188839796e-06
3.500000000000000000e+01,5.248021495896046643e-06,5.248021495896046643e-06
3.700000000000000000e+01,3.668970780316705442e-06,3.668970780316705865e-06
3.900000000000000000e+01,9.420385433869128266e-06,4.728527724104621175e-06
4.000000000000000000e+01,8.218143574202263867e-06,4.228288849293957199e-06
4.500000000000000000e+01,4.684674555658617601e-06,4.684674555658617601e-06
4.700000000000000000e+01,3.605162592832936681e-06,3.605162592832936681e-06
4.900000000000000000e+01,4.470012918337334298e-06,4.470012918337335993e-06
5.600000000000000000e+01,4.318684355997788657e-06,4.318684355997789504e-06
7.315000000000000000e+03,4.470012918337334298e-06,4.470012918337335993e-06
7.325000000000000000e+03,4.318684355997788657e-06,4.318684355997789504e-06
7.338000000000000000e+03,4.387234901331086096e-06,4.387234901331086944e-06
7.339000000000000000e+03,4.506453241041170957e-06,4.506453241041170957e-06
7.340000000000000000e+03,4.307466994034158475e-06,4.307466994034159322e-06
