r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,1.138282668092890759e+01,1.979997082125720453e+00,2.313886598429998258e-06,7.129192107911723753e-01,5.706855359618178379e-03
1.499999999999999944e-02,6.515273048912940901e+00,1.979999999999999760e+00,0.000000000000000000e+00,9.323924796295283146e-01,5.614852039306824326e-03
2.000000000000000042e-02,4.826670142328167934e+00,1.979999989400849758e+00,4.172422934785800232e-09,1.141911062977920333e+00,1.472189289449096772e-02
5.000000000000000278e-02,2.394391062975440576e+00,1.979988894075866979e+00,7.843072765070459288e-06,2.706471877414845295e+00,7.924367053192457599e-02
8.000000000000000167e-02,1.472678868644658357e+00,1.809020860869787528e+00,7.971198563785264479e-02,4.662199662123344801e+00,1.457669557271909222e-01
1.000000000000000056e-01,9.080995295111335963e-01,1.529650025180665063e+00,1.836186812457530904e-01,6.321881208498854932e+00,4.312567635163650492e-01
1.499999999999999944e-01,7.776862063021138249e-01,1.688621038628368654e+00,4.347842885360631709e-02,1.623589023048217683e+01,1.165855238152869511e+00
2.000000000000000111e-01,7.019642754837273069e-01,1.745623636572159798e+00,6.047901856721644986e-02,4.881430244393337148e+01,4.712462811615927727e+00
2.999999999999999889e-01,7.699153947704964196e-01,1.976438164685859311e+00,2.908226330983731175e-03,1.530036098575581796e+06,6.349603775889005046e+05
4.000000000000000222e-01,7.515970003409847555e-01,1.979787501998123700e+00,1.406570574961122433e-05,2.631934235788721210e+01,8.699630512143028405e-01
8.000000000000000444e-01,7.923454206814902756e-01,1.735958365928662817e+00,1.992524387334220770e-01,3.189368274857754315e+00,2.520586103711885406e-01
