r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,1.334112324993169274e+01,1.899999924413975583e+00,5.032775496212235128e-08,6.184034150442149214e-01,1.241153111652929485e-02
1.499999999999999944e-02,1.022571191761158182e+01,1.899999991908770669e+00,6.606411940288971925e-09,7.119143833506954566e-01,9.815849446280847101e-03
2.000000000000000042e-02,3.219198534254454902e+00,1.075775552904715937e+00,3.404602703411169773e-01,8.577443706477514418e-01,7.814816333569926665e-02
5.000000000000000278e-02,2.271308288610478954e+00,1.656780893442315827e+00,1.843357117092856157e-01,1.782807664394051583e+00,1.156491671929990167e-01
8.000000000000000167e-02,1.538795061087157023e+00,1.781804820289754510e+00,9.650561424431099156e-02,3.220111212594945371e+00,1.165540646187567808e-01
1.000000000000000056e-01,6.632254275930445919e-01,1.328047534438970168e+00,7.630134010211783724e-02,3.748770539393854850e+00,1.151298025140211900e-01
1.499999999999999944e-01,9.236136402004575530e-01,1.746704979378826295e+00,8.505240974482285513e-03,9.516524991765043850e+00,6.853410779594372448e-02
2.000000000000000111e-01,7.115442228652842926e-01,1.689478245708932791e+00,6.351466759657935224e-02,1.932540217954733208e+01,1.457731604041772711e+00
2.999999999999999889e-01,7.148856307470602411e-01,1.899999999994861355e+00,4.195160362356635096e-12,5.796385548966469942e+05,4.727341817328180186e+05
4.000000000000000222e-01,6.086370040527059322e-01,1.852539159299365190e+00,3.785709804638012071e-02,3.714916547724038054e+01,3.051360410805890488e+00
8.000000000000000444e-01,5.874649035369940986e-01,1.385433649216658125e+00,1.350621168051952536e-01,2.831015426700286497e+00,2.172026719687686624e-01
