r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,9.987107808476393345e+00,1.899951728935824535e+00,2.360204149356378512e-05,4.644112744090247991e-01,1.011519575208758015e-02
1.499999999999999944e-02,8.167400375993246087e+00,1.299485593079209522e+00,4.902509162656037978e-01,4.875585457487086050e-01,3.936078720424085464e-02
2.000000000000000042e-02,1.003945206017651470e+00,1.746845443614819304e+00,1.250501716265955410e-01,8.919585489990563554e-01,7.787691584219974539e-02
5.000000000000000278e-02,2.421164284663792632e+00,1.302648346440614224e+00,3.083255463460164436e-01,1.012406640155619320e+00,5.579593508681294362e-02
8.000000000000000167e-02,1.274246932084619255e+00,1.102014380586317843e+00,3.325760977668513751e-01,1.512514350907588900e+00,1.635989580984030245e-01
1.000000000000000056e-01,1.364588764922006758e+00,1.699724963323683058e+00,1.635238826405132906e-01,2.680941249306071583e+00,3.877318705314709013e-01
1.499999999999999944e-01,7.975607528962621595e-01,1.419776194099403588e+00,6.916943036910469522e-02,3.777895143134985201e+00,1.443557022160597281e-01
2.000000000000000111e-01,7.074649139695168287e-01,1.610027680196788546e+00,1.196906527058187730e-01,8.397458346954438824e+00,6.197601498679770060e-01
2.999999999999999889e-01,5.926957752045042271e-01,1.703895835624796851e+00,1.118233215438937250e-02,3.615796983269394005e+01,1.964330516209553235e+00
4.000000000000000222e-01,6.167084051787132815e-01,1.899861190287823298e+00,3.069727048647601206e-05,1.404062922402423794e+04,3.245880193128314328e+03
8.000000000000000444e-01,6.687987296450813579e-01,1.780315607840909253e+00,9.768474763277681938e-02,5.101111082642497685e+00,3.562295375742046133e-01
