t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,1.789647291666666140e-01,4.564306108461173056e-04,1.794302291666666771e-01,6.931624845492558506e-04
8.000000000000000000e+00,1.321024999999999838e-01,2.097562773582798865e-04,1.323369375000000014e-01,3.435865390533700292e-04
1.200000000000000000e+01,1.166771374999999999e-01,1.383883721580960379e-04,1.168403888888888825e-01,2.297172397462272074e-04
1.600000000000000000e+01,1.090491666666666692e-01,9.496376573039587139e-05,1.091817812499999985e-01,1.539463574205610769e-04
2.000000000000000000e+01,1.044469500000000106e-01,7.205036839891748113e-05,1.045545833333333119e-01,1.261946034190802380e-04
2.400000000000000000e+01,1.014184236111111137e-01,7.270543703034774519e-05,1.015167500000000028e-01,1.124250015785557762e-04
2.800000000000000000e+01,9.927059523809525499e-02,6.122646040122437362e-05,9.936552380952380636e-02,1.007053328228295504e-04
3.200000000000000000e+01,9.765966145833332446e-02,5.400158373721583203e-05,9.774853645833332660e-02,8.415828272682809039e-05
3.600000000000000000e+01,9.638724999999999377e-02,5.569471605556109670e-05,9.647572222222222660e-02,7.986985286443207580e-05
4.000000000000000000e+01,9.537364166666667531e-02,4.596353232740478572e-05,9.546032916666666313e-02,7.122071183016769871e-05
4.400000000000000000e+01,9.455443560606061060e-02,4.254050719173234796e-05,9.464376515151515235e-02,6.663231921471960729e-05
4.800000000000000000e+01,9.386394097222221233e-02,4.132354031273869374e-05,9.395473958333333542e-02,6.155117038912379763e-05
5.200000000000000000e+01,9.327299679487179029e-02,3.728874776309271013e-05,9.336581730769230592e-02,5.820647743590044384e-05
5.600000000000000000e+01,9.278158333333333396e-02,3.255878105321049327e-05,9.287199702380952160e-02,4.990226583749318365e-05
6.000000000000000000e+01,9.235030277777778185e-02,3.441081329323677698e-05,9.244080555555554690e-02,5.269318350405008172e-05
6.400000000000000000e+01,9.196418749999998865e-02,3.442292508296555624e-05,9.205560937499998597e-02,4.975931430688391424e-05
6.800000000000000000e+01,9.162542647058824485e-02,3.413849753688316370e-05,9.171775735294117327e-02,4.602740407621610261e-05
