t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,6.505826666666667535e-01,3.773476767432376328e-03,6.464312499999999018e-01,4.214143274475676618e-03
8.000000000000000000e+00,4.830913541666665978e-01,1.946485480188654867e-03,4.809196041666666810e-01,2.105834822447132104e-03
1.200000000000000000e+01,4.301149583333333526e-01,1.292205660981167199e-03,4.286504999999999899e-01,1.480271297845880572e-03
1.600000000000000000e+01,4.041097395833332939e-01,1.010447329055809765e-03,4.030110729166667127e-01,1.117751654377101278e-03
2.000000000000000000e+01,3.887806750000000200e-01,7.839466954874837849e-04,3.878691583333332971e-01,8.724732029605608129e-04
2.400000000000000000e+01,3.787606388888889453e-01,6.270663638448773121e-04,3.779957083333332912e-01,7.002482415196574581e-04
2.800000000000000000e+01,3.716062202380952528e-01,5.501236983576886447e-04,3.709441190476190919e-01,6.360669546953201048e-04
3.200000000000000000e+01,3.663859322916666050e-01,5.060458394658952320e-04,3.657917968749999638e-01,5.305502667104066566e-04
3.600000000000000000e+01,3.623911990740740774e-01,4.036586258581764176e-04,3.618264490740740191e-01,4.738963478311965347e-04
4.000000000000000000e+01,3.592224791666666084e-01,4.109313902517271059e-04,3.586830708333333395e-01,4.300965847173950367e-04
4.400000000000000000e+01,3.565968674242423475e-01,3.722164228785127264e-04,3.560918446969697504e-01,3.902739183562741192e-04
4.800000000000000000e+01,3.544154513888888580e-01,3.546967002214999713e-04,3.539448263888888557e-01,3.570898280284947246e-04
5.200000000000000000e+01,3.526044871794872249e-01,3.224995193613637741e-04,3.521567948717948537e-01,3.066624793363909723e-04
5.600000000000000000e+01,3.510292857142857104e-01,3.179427144638658225e-04,3.506028273809523865e-01,3.031289935527974370e-04
6.000000000000000000e+01,3.497235277777778206e-01,2.886503557307915535e-04,3.493360277777777800e-01,2.997220507385178669e-04
6.400000000000000000e+01,3.485285937499999487e-01,2.538262183936122415e-04,3.481779427083332989e-01,2.809511310972784737e-04
6.800000000000000000e+01,3.474533578431372449e-01,2.571843805539969345e-04,3.471310049019608046e-01,2.713324427599961438e-04
7.200000000000000000e+01,3.465638194444444209e-01,2.508227845447473015e-04,3.462645833333333756e-01,2.655172196093585294e-04
7.600000000000000000e+01,3.456887719298245565e-01,2.358167959990651577e-04,3.454236622807017598e-01,2.579733863882556380e-04
8.000000000000000000e+01,3.449797499999999739e-01,2.229675344350333052e-04,3.447252291666667023e-01,2.592057614798290444e-04
8.400000000000000000e+01,3.443522619047619249e-01,2.236186445244303807e-04,3.440947420634919984e-01,2.442163571353882191e-04
8.800000000000000000e+01,3.437103787878788008e-01,2.176184362685053329e-04,3.434610416666666888e-01,2.546861741294341322e-04
9.200000000000000000e+01,3.431562862318841001e-01,2.232231368355426667e-04,3.429038586956521528e-01,2.665423326862546675e-04
9.600000000000000000e+01,3.426530555555555857e-01,2.132078343228521592e-04,3.424030208333333491e-01,2.556804982793168331e-04
1.000000000000000000e+02,3.422280333333332925e-01,2.193963784208809598e-04,3.419777666666666827e-01,2.632684908446214457e-04
1.040000000000000000e+02,3.418085897435897413e-01,2.019032321343212000e-04,3.415583012820512243e-01,2.602257253095855002e-04
1.080000000000000000e+02,3.413691358024691924e-01,2.156077496805216111e-04,3.411051543209876469e-01,2.617422033119566008e-04
1.120000000000000000e+02,3.410280357142856933e-01,2.082171387990053996e-04,3.407546130952381347e-01,2.520010530107754721e-04
1.160000000000000000e+02,3.406710775862069052e-01,1.945809427494320112e-04,3.403844109195402479e-01,2.597831652485541282e-04
1.200000000000000000e+02,3.403899166666666809e-01,2.023312024043543832e-04,3.400911388888889220e-01,2.677424487477726234e-04
1.240000000000000000e+02,3.400811827956989886e-01,2.046049781752068983e-04,3.397758870967742539e-01,2.638154956935633249e-04
1.280000000000000000e+02,3.398078124999999727e-01,2.122721000852090039e-04,3.394933203125000132e-01,2.769506294140530863e-04
1.320000000000000000e+02,3.395625757575758130e-01,1.987518901113913272e-04,3.392438383838383698e-01,2.750378000536544054e-04
1.360000000000000000e+02,3.392915318627450771e-01,2.032975010751064714e-04,3.389616053921568617e-01,2.754497117378605815e-04
1.400000000000000000e+02,3.390794642857143382e-01,2.005805037921404993e-04,3.387519642857143021e-01,2.717200185324562031e-04
1.440000000000000000e+02,3.388404745370370286e-01,2.015998626268652083e-04,3.385123611111111597e-01,2.846185849725058102e-04
1.480000000000000000e+02,3.386434009009008927e-01,2.024882577151836561e-04,3.383221621621621544e-01,2.858765027275743712e-04
1.520000000000000000e+02,3.384322368421052163e-01,2.026022342109666432e-04,3.381027741228069816e-01,2.848558309851842918e-04
