t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,7.915121249999998998e-01,9.993019473421465779e-03,7.799968750000000339e-01,9.448150814659500227e-03
8.000000000000000000e+00,5.930022708333333448e-01,5.043036788924546224e-03,5.873915208333333471e-01,4.759879628619278873e-03
1.200000000000000000e+01,5.277236805555556298e-01,3.550004865892567116e-03,5.241403194444445024e-01,3.130543839808096716e-03
1.600000000000000000e+01,4.957298958333333228e-01,2.513826403411197931e-03,4.931361874999999340e-01,2.350320644372962901e-03
2.000000000000000000e+01,4.767684666666666682e-01,2.038052466915715125e-03,4.748121583333334006e-01,1.881630821036469302e-03
2.400000000000000000e+01,4.642600277777776396e-01,1.723892974629181269e-03,4.627716180555555003e-01,1.466771926939498425e-03
2.800000000000000000e+01,4.552850714285714417e-01,1.470789495084562880e-03,4.541723571428571971e-01,1.188392947320507115e-03
3.200000000000000000e+01,4.485950885416666867e-01,1.347277876209648697e-03,4.477361093749999688e-01,1.018499395296887421e-03
3.600000000000000000e+01,4.434758472222221637e-01,1.191585125560243839e-03,4.428614212962963537e-01,9.135361791551457455e-04
4.000000000000000000e+01,4.392587083333333031e-01,1.131764609862555802e-03,4.388359583333333314e-01,8.190134743583636244e-04
4.400000000000000000e+01,4.360889393939393344e-01,1.067572865919966078e-03,4.357262121212120975e-01,7.632360905482081818e-04
4.800000000000000000e+01,4.331502083333333419e-01,1.010506301707029143e-03,4.328262152777777594e-01,6.910018532521581712e-04
5.200000000000000000e+01,4.309583333333334432e-01,9.821398351839052531e-04,4.306916025641025492e-01,6.506834431740510499e-04
5.600000000000000000e+01,4.289764285714285919e-01,9.591301454262921976e-04,4.288077976190475260e-01,6.209899175781234681e-04
6.000000000000000000e+01,4.271852499999999608e-01,9.299892578051929815e-04,4.270797777777778359e-01,5.804805681384020725e-04
6.400000000000000000e+01,4.257830468750000152e-01,9.026228803829968155e-04,4.257473697916666633e-01,5.705235562693466381e-04
6.800000000000000000e+01,4.243826715686274120e-01,9.229574274230280349e-04,4.243635294117646950e-01,5.708853028369707035e-04
7.200000000000000000e+01,4.232541203703704125e-01,8.984326654161079633e-04,4.232724537037036994e-01,5.420916048435310249e-04
7.600000000000000000e+01,4.221529824561404132e-01,9.055146714774639678e-04,4.222243201754385389e-01,5.736150408316557404e-04
8.000000000000000000e+01,4.212296249999999409e-01,9.070161006234243786e-04,4.213166458333333364e-01,5.537629224466236039e-04
8.400000000000000000e+01,4.203872023809523961e-01,8.965864538889270919e-04,4.205089682539682738e-01,5.867757286373800245e-04
8.800000000000000000e+01,4.195688825757575846e-01,9.206176003415460999e-04,4.196947916666666778e-01,5.891737212057012981e-04
9.200000000000000000e+01,4.188697101449275206e-01,9.367917555478277218e-04,4.189697644927535825e-01,5.973781921755879146e-04
9.600000000000000000e+01,4.182521354166666150e-01,9.296558226100570463e-04,4.183535069444445087e-01,6.133931828700132406e-04
1.000000000000000000e+02,4.176729666666666452e-01,9.347053275012734723e-04,4.177344666666666373e-01,6.071563249797890362e-04
1.040000000000000000e+02,4.171508653846153214e-01,9.504727445775847583e-04,4.171779647435897576e-01,6.205125985092773333e-04
