t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,8.093799166666666434e-01,1.846087910834508933e-02,7.746114583333333359e-01,1.564929831474945465e-02
8.000000000000000000e+00,6.046160208333333230e-01,9.205548492370234023e-03,5.877131041666665556e-01,7.843783284903675310e-03
1.200000000000000000e+01,5.385037222222222031e-01,6.085756248064318544e-03,5.273025277777778630e-01,5.112181458427393632e-03
1.600000000000000000e+01,5.058342916666667133e-01,4.610492530588698734e-03,4.974383333333333157e-01,3.964130520147855948e-03
2.000000000000000000e+01,4.870381333333333451e-01,3.678883342603794706e-03,4.801878500000000827e-01,3.199417449766500058e-03
2.400000000000000000e+01,4.743210694444443543e-01,3.077338568080267064e-03,4.685295694444444048e-01,2.676222724429317117e-03
2.800000000000000000e+01,4.654399583333333479e-01,2.660672449706156205e-03,4.603220833333334094e-01,2.229758834677279204e-03
3.200000000000000000e+01,4.588499375000000269e-01,2.428119799429280003e-03,4.542824791666665862e-01,2.026203228440616542e-03
3.600000000000000000e+01,4.537218194444444519e-01,2.264400129269898351e-03,4.496091898148147914e-01,1.726582241489785360e-03
4.000000000000000000e+01,4.495809583333333359e-01,2.174234293031773041e-03,4.459182083333333435e-01,1.583628270592974795e-03
4.400000000000000000e+01,4.461195454545453520e-01,1.977242913587683518e-03,4.427798106060605865e-01,1.394575849076673231e-03
4.800000000000000000e+01,4.434937500000000199e-01,1.909370387062559382e-03,4.402861805555555175e-01,1.274852976617254444e-03
5.200000000000000000e+01,4.411305128205127990e-01,1.845359498900189365e-03,4.380741987179487262e-01,1.235986548298811201e-03
5.600000000000000000e+01,4.391535119047619284e-01,1.787214674897907385e-03,4.362577976190475937e-01,1.144747524427896504e-03
6.000000000000000000e+01,4.373508611111111000e-01,1.752226026641440096e-03,4.345122499999999333e-01,1.093692847967911224e-03
6.400000000000000000e+01,4.358588541666666427e-01,1.732170704930662561e-03,4.331216145833333142e-01,1.044223636887191362e-03
6.800000000000000000e+01,4.345318137254901569e-01,1.673857778217277244e-03,4.318261519607843324e-01,1.036453775572040298e-03
