t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,1.510553041666666541e-01,6.068685623506299203e-04,1.516450791666666686e-01,7.399144385191374967e-04
8.000000000000000000e+00,1.107409541666666553e-01,3.079635535676303933e-04,1.110433854166666678e-01,3.677001315742787547e-04
1.200000000000000000e+01,9.748966666666666891e-02,2.319044460410824677e-04,9.766963472222221776e-02,2.394061365034645152e-04
1.600000000000000000e+01,9.088224791666665858e-02,1.728473984893736672e-04,9.101026145833332470e-02,1.876904732213775437e-04
2.000000000000000000e+01,8.697160833333332508e-02,1.461999091437538110e-04,8.706246666666665746e-02,1.445036428905577470e-04
2.400000000000000000e+01,8.432867361111112681e-02,1.253289560619592457e-04,8.440067361111111555e-02,1.257392296459478303e-04
2.800000000000000000e+01,8.245414285714283698e-02,1.088480913842055400e-04,8.250868452380952234e-02,1.150888328925519854e-04
3.200000000000000000e+01,8.105185937500000715e-02,1.054605103805907057e-04,8.109058854166667496e-02,9.851011126643495291e-05
3.600000000000000000e+01,7.997617129629629174e-02,9.926932417463631391e-05,8.000484722222220291e-02,9.141908048253829069e-05
4.000000000000000000e+01,7.909284999999999233e-02,9.345373541801417993e-05,7.911349166666666044e-02,8.632016398198220876e-05
4.400000000000000000e+01,7.837976515151515167e-02,9.134052783429899060e-05,7.839334848484846852e-02,7.757040380634080013e-05
4.800000000000000000e+01,7.778849999999999654e-02,8.932392530384690205e-05,7.779198958333334579e-02,7.400288119792246581e-05
5.200000000000000000e+01,7.729765384615384927e-02,8.273811795646278681e-05,7.729505128205127473e-02,6.523456614589048233e-05
5.600000000000000000e+01,7.685494345238094716e-02,8.139165201814618745e-05,7.684651488095238514e-02,6.516690653421456324e-05
6.000000000000000000e+01,7.649066944444445071e-02,7.788677354540257051e-05,7.647284444444443774e-02,6.123220314778766711e-05
6.400000000000000000e+01,7.616276562499998959e-02,7.459570167513448590e-05,7.614034635416666585e-02,5.984108206734821590e-05
6.800000000000000000e+01,7.588133088235293755e-02,7.393697432425378293e-05,7.585119362745097737e-02,5.935566384640432382e-05
7.200000000000000000e+01,7.562774305555555743e-02,7.149037073134743066e-05,7.559345601851852336e-02,5.852711522344206541e-05
7.600000000000000000e+01,7.539610307017544089e-02,6.849812660879950148e-05,7.535714254385963984e-02,5.516497203466695241e-05
8.000000000000000000e+01,7.518600208333332813e-02,6.918896411359191510e-05,7.514472499999999555e-02,5.529761106020884408e-05
8.400000000000000000e+01,7.500438095238096126e-02,6.852261929517322711e-05,7.495995238095236324e-02,5.715612477330330197e-05
8.800000000000000000e+01,7.483889015151515278e-02,6.797523019844163344e-05,7.479035416666665603e-02,5.444203473170367659e-05
9.200000000000000000e+01,7.468599637681158643e-02,6.555822327510178803e-05,7.463346557971013706e-02,5.356909755345500750e-05
9.600000000000000000e+01,7.454225520833332452e-02,6.516540208905931752e-05,7.448608680555555972e-02,5.439298889541344952e-05
1.000000000000000000e+02,7.441857666666666649e-02,6.434988609734156875e-05,7.435973166666666467e-02,5.326341536512686390e-05
1.040000000000000000e+02,7.429879166666666923e-02,6.342754012104444869e-05,7.423736057692309487e-02,5.318644738694249029e-05
1.080000000000000000e+02,7.418953086419752263e-02,6.604160071394966631e-05,7.412431790123455433e-02,5.342110746446759775e-05
1.120000000000000000e+02,7.408972619047618502e-02,6.580742299151769593e-05,7.402287946428572074e-02,5.380450140231596301e-05
1.160000000000000000e+02,7.399469109195402905e-02,6.683670665488060229e-05,7.392569252873562591e-02,5.532747680191260950e-05
1.200000000000000000e+02,7.390532916666667229e-02,6.468247537856844777e-05,7.383543055555555346e-02,5.531661378492940006e-05
1.240000000000000000e+02,7.382050672043012629e-02,6.504208424275286112e-05,7.374967607526881908e-02,5.502269731386316888e-05
1.280000000000000000e+02,7.374114583333332695e-02,6.496478726190406069e-05,7.366991927083332836e-02,5.579058364637116149e-05
1.320000000000000000e+02,7.366719696969696585e-02,6.503843292589854997e-05,7.359554292929293418e-02,5.578065752813547988e-05
1.360000000000000000e+02,7.359836151960784389e-02,6.494541935873013739e-05,7.352595220588235836e-02,5.675539526925036272e-05
1.400000000000000000e+02,7.353188928571427474e-02,6.617155833462405915e-05,7.345947619047620003e-02,5.768030045295039827e-05
1.440000000000000000e+02,7.346872337962963295e-02,6.548365442223600243e-05,7.339623495370369011e-02,5.701832040780228851e-05
1.480000000000000000e+02,7.341105405405404238e-02,6.538635013617940920e-05,7.333935585585585337e-02,5.749964574238025525e-05
1.520000000000000000e+02,7.335493530701754639e-02,6.480389277793157537e-05,7.328344956140350752e-02,5.733121545041394923e-05
1.560000000000000000e+02,7.330141880341879690e-02,6.430839366429455723e-05,7.323011004273503877e-02,5.781183004581460578e-05
1.600000000000000000e+02,7.325123020833333720e-02,6.488474140261142045e-05,7.318058541666666583e-02,5.902180095966526752e-05
1.640000000000000000e+02,7.320399999999999130e-02,6.550941270349479090e-05,7.313318089430893842e-02,5.976245624210286904e-05
1.680000000000000000e+02,7.315381746031746069e-02,6.586332804576919492e-05,7.308267261904762002e-02,6.070901013523122747e-05
1.720000000000000000e+02,7.310994573643410377e-02,6.673473925414302342e-05,7.303876453488372666e-02,6.087099059992170984e-05
1.760000000000000000e+02,7.307000852272725611e-02,6.740254383108346744e-05,7.299806249999998831e-02,6.304084988286325607e-05
1.800000000000000000e+02,7.303244907407406561e-02,6.673715666731100925e-05,7.295949074074073448e-02,6.363747638598851915e-05
1.840000000000000000e+02,7.299660235507247907e-02,6.706352001907000550e-05,7.292176630434783757e-02,6.383970547972541570e-05
1.880000000000000000e+02,7.296043085106382331e-02,6.728494854767686168e-05,7.288439273049644729e-02,6.487517497040524831e-05
1.920000000000000000e+02,7.292926562500000320e-02,6.823691858823230957e-05,7.285189496527778863e-02,6.605750291584343173e-05
1.960000000000000000e+02,7.289544642857141710e-02,6.898407375341110903e-05,7.281626020408163424e-02,6.675685438265545378e-05
2.000000000000000000e+02,7.286623500000001530e-02,6.913726223254967928e-05,7.278563666666666709e-02,6.742707378812794140e-05
2.040000000000000000e+02,7.283469771241829482e-02,7.031332682904640010e-05,7.275318300653595138e-02,6.922592480007828876e-05
2.080000000000000000e+02,7.280615064102563538e-02,7.019901996032193892e-05,7.272461298076923764e-02,6.941569592158892260e-05
2.120000000000000000e+02,7.277771855345913088e-02,7.122523911551166217e-05,7.269705817610062903e-02,7.041301383967833684e-05
2.160000000000000000e+02,7.275124459876544658e-02,7.109036364839848817e-05,7.267079398148149072e-02,7.065481368470348284e-05
2.200000000000000000e+02,7.272584924242424254e-02,7.258942615051304969e-05,7.264567651515151103e-02,7.192161341693259654e-05
2.240000000000000000e+02,7.270153199404762179e-02,7.347725547645459518e-05,7.262211979166667553e-02,7.265534642290083782e-05
2.280000000000000000e+02,7.267684649122807539e-02,7.389490754315716900e-05,7.259766959064327396e-02,7.331300622474173131e-05
2.320000000000000000e+02,7.265255747126436736e-02,7.377204977907726095e-05,7.257538074712643894e-02,7.482013620216135751e-05
2.360000000000000000e+02,7.263136299435027365e-02,7.490453853150746012e-05,7.255503531073445589e-02,7.544704605382745674e-05
2.400000000000000000e+02,7.260889583333332564e-02,7.497296141124987321e-05,7.253393055555555635e-02,7.641342563281028940e-05
2.440000000000000000e+02,7.258833333333332416e-02,7.626229523967508373e-05,7.251381830601091871e-02,7.743554681847899905e-05
2.480000000000000000e+02,7.256670026881721636e-02,7.619810592379790864e-05,7.249215725806452959e-02,7.855832812610633932e-05
2.520000000000000000e+02,7.254820105820106169e-02,7.714685681961903549e-05,7.247367063492063388e-02,7.973198396608315876e-05
2.560000000000000000e+02,7.252811197916667063e-02,7.745532256218617246e-05,7.245418619791667292e-02,8.109704965553268276e-05
2.600000000000000000e+02,7.251122435897436325e-02,7.717651119784114553e-05,7.243768589743589115e-02,8.187687596937219298e-05
2.640000000000000000e+02,7.249615530303030186e-02,7.784070738561820781e-05,7.242302398989899914e-02,8.335646448113475358e-05
2.680000000000000000e+02,7.247776741293533720e-02,7.806281146134866236e-05,7.240498134328357538e-02,8.371161216682447331e-05
2.720000000000000000e+02,7.246058823529410997e-02,7.823877443154015514e-05,7.238792892156863112e-02,8.452056369370791928e-05
2.760000000000000000e+02,7.244462560386473460e-02,7.922421991647977404e-05,7.237209541062802898e-02,8.619655244783220379e-05
2.800000000000000000e+02,7.242912499999999698e-02,7.945732736611183400e-05,7.235686309523810256e-02,8.695392492576888813e-05
2.840000000000000000e+02,7.241297535211269065e-02,7.991235319233703398e-05,7.234109154929575791e-02,8.806055038224740725e-05
2.880000000000000000e+02,7.239785300925927203e-02,7.980628059087757392e-05,7.232663773148148567e-02,8.890445067521680542e-05
2.920000000000000000e+02,7.238328767123286545e-02,8.046285636216586167e-05,7.231230022831051929e-02,9.037298375787757661e-05
2.960000000000000000e+02,7.236821509009008779e-02,8.082682233304290271e-05,7.229734234234234946e-02,9.094727721113765259e-05
3.000000000000000000e+02,7.235390555555555603e-02,8.126368410671035126e-05,7.228348888888888601e-02,9.166281091778592782e-05
3.040000000000000000e+02,7.234121710526317250e-02,8.107492802020438720e-05,7.227178728070175751e-02,9.226591536761494326e-05
3.080000000000000000e+02,7.232755952380952313e-02,8.116696729060833093e-05,7.225908549783549573e-02,9.257329274232228193e-05
3.120000000000000000e+02,7.231565705128205346e-02,8.141555701017404742e-05,7.224789529914529829e-02,9.372647187330239871e-05
3.160000000000000000e+02,7.230266350210970416e-02,8.181248400959510725e-05,7.223482067510549054e-02,9.388869301161771618e-05
3.200000000000000000e+02,7.229120833333332885e-02,8.220797827892566199e-05,7.222318229166667380e-02,9.550854517079246939e-05
3.240000000000000000e+02,7.227864711934156583e-02,8.201769594646466646e-05,7.221048353909464979e-02,9.572295263970123029e-05
3.280000000000000000e+02,7.226822154471544690e-02,8.213510024120903609e-05,7.220055386178862722e-02,9.661323949661822089e-05
3.320000000000000000e+02,7.225593373493975624e-02,8.236312879782793682e-05,7.218839859437750639e-02,9.692180653983302409e-05
3.360000000000000000e+02,7.224531746031745416e-02,8.277756092543438020e-05,7.217775793650794969e-02,9.776982100506534281e-05
3.400000000000000000e+02,7.223538725490194490e-02,8.243193361471506215e-05,7.216777941176470701e-02,9.821878300714707670e-05
3.440000000000000000e+02,7.222572189922479846e-02,8.334303128286895963e-05,7.215831395348835942e-02,9.872777773263429423e-05
3.480000000000000000e+02,7.221460727969349069e-02,8.335735330047886035e-05,7.214716475095783732e-02,9.944422368396660470e-05
3.520000000000000000e+02,7.220477272727274243e-02,8.336417910814828552e-05,7.213707859848486614e-02,9.933941324403292483e-05
3.560000000000000000e+02,7.219649344569287197e-02,8.399067816067659544e-05,7.212842228464419470e-02,1.007042767431748750e-04
3.600000000000000000e+02,7.218519907407408565e-02,8.434415805201994881e-05,7.211695833333334194e-02,1.013576363153450454e-04
3.640000000000000000e+02,7.217681318681318237e-02,8.450734771971591796e-05,7.210834249084249747e-02,1.015468487388958215e-04
3.680000000000000000e+02,7.216837862318839503e-02,8.463358135238932501e-05,7.209955163043478554e-02,1.025424915995831526e-04
3.720000000000000000e+02,7.215810931899642455e-02,8.471510121809983779e-05,7.208862903225805863e-02,1.028453012035043400e-04
3.760000000000000000e+02,7.215124113475177015e-02,8.485068098425489617e-05,7.208135638297873127e-02,1.032939770036467016e-04
3.800000000000000000e+02,7.214326315789473809e-02,8.539525325455998752e-05,7.207274122807018346e-02,1.041293648713863788e-04
3.840000000000000000e+02,7.213747395833332299e-02,8.625856747812533573e-05,7.206618923611110561e-02,1.044278983098081802e-04
3.880000000000000000e+02,7.212816151202749992e-02,8.648268634549404583e-05,7.205603522336770372e-02,1.052143647146894245e-04
3.920000000000000000e+02,7.212018707482992230e-02,8.632335127108470925e-05,7.204747448979592628e-02,1.059177704596388328e-04
3.960000000000000000e+02,7.211357323232323036e-02,8.601624331701975554e-05,7.203985269360270449e-02,1.062623220687912667e-04
4.000000000000000000e+02,7.210700000000000442e-02,8.711946840225483950e-05,7.203208333333332991e-02,1.067302479774754302e-04
4.040000000000000000e+02,7.209960396039602482e-02,8.694732608254259290e-05,7.202337458745874943e-02,1.069398358927877135e-04
4.080000000000000000e+02,7.209286764705882811e-02,8.741773609486497287e-05,7.201539215686274253e-02,1.080942194837968858e-04
4.120000000000000000e+02,7.208699838187701547e-02,8.730155369609762144e-05,7.200823220064724028e-02,1.081153478891332359e-04
4.160000000000000000e+02,7.208057692307692776e-02,8.756206202155232218e-05,7.200081730769229693e-02,1.090311486589295742e-04
4.200000000000000000e+02,7.207519047619047325e-02,8.784474966320875600e-05,7.199464682539681581e-02,1.089942392002641767e-04
4.240000000000000000e+02,7.206809355345911161e-02,8.850916435222860640e-05,7.198645833333332245e-02,1.098201723436361907e-04
4.280000000000000000e+02,7.206250778816200575e-02,8.796056408526876133e-05,7.198020249221183386e-02,1.102221128723452758e-04
4.320000000000000000e+02,7.205680941358025282e-02,8.849952081442760319e-05,7.197399305555556015e-02,1.103604519473541819e-04
4.360000000000000000e+02,7.205115825688072906e-02,8.860339956239517915e-05,7.196785168195718452e-02,1.113055466081989763e-04
4.400000000000000000e+02,7.204599242424242211e-02,8.892773643193382373e-05,7.196204545454544521e-02,1.116498979192875494e-04
4.440000000000000000e+02,7.203857357357357216e-02,8.930991400156680952e-05,7.195462087087087233e-02,1.120276697917140250e-04
4.480000000000000000e+02,7.203198288690475237e-02,8.947170333966963842e-05,7.194786458333332635e-02,1.125645119963878472e-04
4.520000000000000000e+02,7.202608038348082276e-02,8.966465510959486813e-05,7.194186578171091195e-02,1.126135543118713745e-04
4.560000000000000000e+02,7.202124634502923839e-02,9.016786346631130208e-05,7.193731359649122026e-02,1.132917400686023039e-04
4.600000000000000000e+02,7.201403260869565504e-02,8.994932901268154913e-05,7.193024275362318309e-02,1.137626530850966762e-04
4.640000000000000000e+02,7.201022629310345480e-02,9.072964140864214647e-05,7.192616379310345920e-02,1.138233950895147856e-04
4.680000000000000000e+02,7.200448717948718103e-02,9.072815170888855066e-05,7.192047008547008957e-02,1.142594397662128979e-04
4.720000000000000000e+02,7.199928319209038252e-02,9.123757960004565939e-05,7.191527542372880277e-02,1.145045399330594848e-04
4.760000000000000000e+02,7.199227591036413965e-02,9.119409065959337959e-05,7.190856792717087442e-02,1.145770481514073110e-04
4.800000000000000000e+02,7.198727430555554307e-02,9.178038757789862723e-05,7.190383680555553769e-02,1.152908206785951251e-04
4.840000000000000000e+02,7.198193526170798551e-02,9.175487743901950260e-05,7.189854683195592844e-02,1.154383586558778121e-04
4.880000000000000000e+02,7.197664275956283664e-02,9.220363623872046555e-05,7.189338114754098563e-02,1.156746333598414924e-04
4.920000000000000000e+02,7.197119241192410921e-02,9.238652795053316452e-05,7.188829945799457555e-02,1.158894514925692032e-04
4.960000000000000000e+02,7.196698588709678213e-02,9.249892832102009268e-05,7.188387096774193075e-02,1.165436542689617745e-04
5.000000000000000000e+02,7.196140666666667185e-02,9.240747762485180357e-05,7.187863333333334437e-02,1.164296877842197744e-04
5.040000000000000000e+02,7.195592592592592318e-02,9.278833775130192240e-05,7.187368055555556912e-02,1.169760571900632450e-04
5.080000000000000000e+02,7.195045931758529967e-02,9.306771585913411842e-05,7.186901902887139759e-02,1.173547886198132798e-04
5.120000000000000000e+02,7.194511393229167939e-02,9.330553395798884229e-05,7.186455403645833351e-02,1.173327182481120082e-04
5.160000000000000000e+02,7.194002583979328125e-02,9.358424714809600569e-05,7.186030361757107798e-02,1.176965778874556408e-04
5.200000000000000000e+02,7.193553525641024904e-02,9.391756812667599575e-05,7.185648717948718567e-02,1.180024307317210284e-04
5.240000000000000000e+02,7.193053435114504790e-02,9.410731662960006045e-05,7.185217239185751059e-02,1.184534624914254186e-04
5.280000000000000000e+02,7.192558080808081344e-02,9.457137495287507684e-05,7.184752209595959838e-02,1.186124616258094186e-04
5.320000000000000000e+02,7.192095551378446805e-02,9.462502755871309305e-05,7.184329260651629856e-02,1.189261163299529060e-04
5.360000000000000000e+02,7.191653606965173195e-02,9.507971746614419638e-05,7.183951181592039548e-02,1.194409893015818257e-04
5.400000000000000000e+02,7.191280864197530098e-02,9.517701009178981732e-05,7.183605555555556965e-02,1.196810076803482548e-04
5.440000000000000000e+02,7.190772977941174704e-02,9.552423034269697205e-05,7.183132352941176690e-02,1.201095365978506647e-04
5.480000000000000000e+02,7.190354622871045209e-02,9.562691333691497781e-05,7.182764294403892746e-02,1.204457452582804517e-04
5.520000000000000000e+02,7.189954106280192769e-02,9.605923423400814887e-05,7.182425422705314422e-02,1.208730360598259080e-04
5.560000000000000000e+02,7.189489208633094430e-02,9.616201367087651565e-05,7.182008693045563441e-02,1.215394149566646406e-04
5.600000000000000000e+02,7.189041071428570184e-02,9.621428141804422003e-05,7.181615476190475467e-02,1.217935644583660658e-04
5.640000000000000000e+02,7.188734338061467111e-02,9.619081690253465688e-05,7.181371158392435561e-02,1.221639598473867419e-04
5.680000000000000000e+02,7.188237676056337400e-02,9.671289037499269329e-05,7.180981807511736814e-02,1.224355207855138642e-04
5.720000000000000000e+02,7.187867715617715647e-02,9.640651463789695261e-05,7.180680652680652976e-02,1.227240567960003565e-04
5.760000000000000000e+02,7.187429398148148518e-02,9.693489669508406083e-05,7.180296296296297121e-02,1.231663547419642847e-04
5.800000000000000000e+02,7.186996264367814802e-02,9.739119482395626015e-05,7.179968678160919549e-02,1.236206589624142969e-04
5.840000000000000000e+02,7.186584189497716157e-02,9.734399918842869871e-05,7.179628710045661555e-02,1.236821865577922850e-04
5.880000000000000000e+02,7.186180839002266618e-02,9.743634909795001746e-05,7.179285430839002502e-02,1.241599511308185430e-04
5.920000000000000000e+02,7.185746621621622032e-02,9.810695534016091466e-05,7.178915259009008287e-02,1.247695090083672997e-04
5.960000000000000000e+02,7.185397651006711350e-02,9.815606174696935406e-05,7.178635067114091939e-02,1.252209959815264164e-04
6.000000000000000000e+02,7.185032777777776436e-02,9.862819490340474053e-05,7.178344722222224084e-02,1.254297257088300872e-04
6.040000000000000000e+02,7.184548841059604229e-02,9.876017213468164053e-05,7.177953642384106436e-02,1.257164474357710515e-04
6.080000000000000000e+02,7.184222039473683874e-02,9.906270354256226953e-05,7.177719024122805602e-02,1.263732919037617326e-04
6.120000000000000000e+02,7.183828976034858926e-02,9.950546628717910579e-05,7.177403867102397084e-02,1.267794626486510386e-04
6.160000000000000000e+02,7.183471590909089322e-02,9.980835093383963615e-05,7.177140422077922521e-02,1.273350732474812274e-04
6.200000000000000000e+02,7.183041666666667435e-02,1.001193161952203107e-04,7.176780913978494936e-02,1.279637577054123371e-04
6.240000000000000000e+02,7.182574252136751658e-02,1.003319966212727577e-04,7.176368055555557013e-02,1.282654241521147362e-04
6.280000000000000000e+02,7.182335191082803161e-02,1.003432981278360554e-04,7.176169851380043152e-02,1.287365847076480036e-04
6.320000000000000000e+02,7.181999472573839804e-02,1.009731769013323113e-04,7.175878955696202155e-02,1.292121465668816195e-04
6.360000000000000000e+02,7.181656446540880812e-02,1.008551909853839975e-04,7.175617400419287417e-02,1.294213175849134791e-04
6.400000000000000000e+02,7.181200260416667480e-02,1.012285145696148643e-04,7.175257812499999388e-02,1.298527386890884839e-04
6.440000000000000000e+02,7.180830486542444380e-02,1.011022610181645294e-04,7.174979554865423825e-02,1.304246023465638186e-04
6.480000000000000000e+02,7.180467078189300967e-02,1.018057030154723120e-04,7.174721450617285723e-02,1.309470242111416009e-04
6.520000000000000000e+02,7.180102249488753974e-02,1.016109597719093118e-04,7.174449642126790039e-02,1.311710367119363015e-04
6.560000000000000000e+02,7.179690548780488790e-02,1.018794860026487340e-04,7.174113567073170383e-02,1.316561771243623111e-04
