t,D_cat_mean,D_cat_err,D_ani_mean,D_ani_err
0.000000000000000000e+00,nan,nan,nan,nan
4.000000000000000000e+00,1.903580166666666851e-01,1.451306235727356335e-03,1.875252916666666769e-01,1.136385205679274783e-03
8.000000000000000000e+00,1.397347500000000187e-01,7.673340236860663960e-04,1.383245291666666543e-01,5.528600668457905832e-04
1.200000000000000000e+01,1.231598194444444294e-01,5.120615757213657247e-04,1.222228430555555578e-01,3.786227764604724235e-04
1.600000000000000000e+01,1.148864270833333256e-01,3.920445988764526902e-04,1.141637604166666486e-01,2.767860379689085102e-04
2.000000000000000000e+01,1.099062666666666688e-01,3.166990594543341812e-04,1.093177833333333349e-01,2.273952404982003482e-04
2.400000000000000000e+01,1.066226944444444574e-01,2.765576435543471031e-04,1.061336458333333316e-01,1.888844053712848280e-04
2.800000000000000000e+01,1.042658749999999940e-01,2.416634832540479505e-04,1.038435535714285624e-01,1.558200923862624405e-04
3.200000000000000000e+01,1.025109166666666738e-01,2.074368175795198973e-04,1.021303020833333325e-01,1.416852630683106888e-04
3.600000000000000000e+01,1.011289999999999967e-01,1.990253093924698410e-04,1.007825231481481454e-01,1.239974175952167736e-04
4.000000000000000000e+01,1.000484458333333465e-01,1.791971455610760224e-04,9.972911250000000838e-02,1.149325850861425972e-04
4.400000000000000000e+01,9.914025378787877374e-02,1.648939409650196830e-04,9.884545454545455578e-02,1.052826437282090155e-04
4.800000000000000000e+01,9.838827430555555087e-02,1.603096619034519697e-04,9.810818055555554917e-02,9.277981292123686384e-05
5.200000000000000000e+01,9.776978846153847047e-02,1.524087636900955185e-04,9.749758974358974095e-02,9.002409481871576286e-05
5.600000000000000000e+01,9.722090773809523301e-02,1.460225423478049773e-04,9.696064285714285635e-02,8.560638982737695554e-05
6.000000000000000000e+01,9.675388055555556033e-02,1.375219079722397799e-04,9.650634999999999075e-02,7.819653772169070957e-05
6.400000000000000000e+01,9.634381249999998675e-02,1.333320443098126855e-04,9.610048177083332921e-02,7.634336664928727668e-05
6.800000000000000000e+01,9.598130392156863089e-02,1.271460914972364015e-04,9.574419607843136226e-02,7.403063668575101731e-05
7.200000000000000000e+01,9.566270370370370812e-02,1.242375649268839962e-04,9.542928935185186756e-02,7.163681717147880282e-05
7.600000000000000000e+01,9.537824342105263864e-02,1.217168649654229337e-04,9.515046052631577489e-02,7.060533837030226944e-05
8.000000000000000000e+01,9.511232499999999757e-02,1.201994225386566166e-04,9.488670208333334355e-02,7.120469868671325340e-05
8.400000000000000000e+01,9.487658928571429673e-02,1.193056893943165731e-04,9.465500793650792610e-02,7.432473351643829223e-05
8.800000000000000000e+01,9.466485416666665931e-02,1.158679893680119623e-04,9.444546969696969441e-02,7.377762997567756267e-05
9.200000000000000000e+01,9.446378260869565946e-02,1.138208222078728897e-04,9.424969746376811452e-02,7.429100209687770895e-05
