t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.867052731481481098e-01,4.844140097349632838e-04
8.000000000000000000e+00,1.377278981481481479e-01,2.505692999636152185e-04
1.200000000000000000e+01,1.216777114197530874e-01,1.556588020384936223e-04
1.600000000000000000e+01,1.137083101851851796e-01,1.186264291397469439e-04
2.000000000000000000e+01,1.089139351851851900e-01,9.715066392126650498e-05
2.400000000000000000e+01,1.057420756172839649e-01,9.103095747602762261e-05
2.800000000000000000e+01,1.034641865079364981e-01,7.395118760258798899e-05
3.200000000000000000e+01,1.017554166666666815e-01,7.483291462988166999e-05
3.600000000000000000e+01,1.004130761316872344e-01,6.187420188607325891e-05
4.000000000000000000e+01,9.936692592592592799e-02,6.207565426726752470e-05
4.400000000000000000e+01,9.848829545454544643e-02,5.323999210124234142e-05
4.800000000000000000e+01,9.775628472222222531e-02,5.514732706486107381e-05
5.200000000000000000e+01,9.714485754985753563e-02,5.425204578627384897e-05
5.600000000000000000e+01,9.662327380952380473e-02,5.062100500312060052e-05
6.000000000000000000e+01,9.616902160493825957e-02,5.214780079689795720e-05
6.400000000000000000e+01,9.577384548611111992e-02,5.331257999148015001e-05
6.800000000000000000e+01,9.542053104575162759e-02,5.037551671500768648e-05
7.200000000000000000e+01,9.510731738683128600e-02,5.058660327439239575e-05
7.600000000000000000e+01,9.482298001949318600e-02,4.813431202181911174e-05
8.000000000000000000e+01,9.456746296296297816e-02,5.137210801672040754e-05
8.400000000000000000e+01,9.434093253968253712e-02,5.017202305970093159e-05
8.800000000000000000e+01,9.413747053872052739e-02,4.995501156431113245e-05
9.200000000000000000e+01,9.393892713365538383e-02,4.922588502518619068e-05
9.600000000000000000e+01,9.377397762345679455e-02,4.979777335530365573e-05
1.000000000000000000e+02,9.361752222222222142e-02,4.943635857729243035e-05
1.040000000000000000e+02,9.345917556980057328e-02,4.669788614533417799e-05
1.080000000000000000e+02,9.332402949245542645e-02,4.876530725843758349e-05
1.120000000000000000e+02,9.319978009259259621e-02,4.758600249141273756e-05
1.160000000000000000e+02,9.307713282247763453e-02,4.966029800016453859e-05
1.200000000000000000e+02,9.296632716049382794e-02,4.855990193519276501e-05
1.240000000000000000e+02,9.286577807646355376e-02,4.838068225044976661e-05
1.280000000000000000e+02,9.276936776620370306e-02,4.923679081055907353e-05
1.320000000000000000e+02,9.266708613916947723e-02,5.162935770508303218e-05
1.360000000000000000e+02,9.258885076252722224e-02,4.911175124073367430e-05
1.400000000000000000e+02,9.250791137566137523e-02,4.940647611735334829e-05
1.440000000000000000e+02,9.243148405349795038e-02,5.161981515559737509e-05
1.480000000000000000e+02,9.235639889889887821e-02,5.146550783897825646e-05
1.520000000000000000e+02,9.228822612085769983e-02,5.189882561063406826e-05
1.560000000000000000e+02,9.222843186134853377e-02,5.140426065404691451e-05
1.600000000000000000e+02,9.216410532407406930e-02,5.227678305726211823e-05
1.640000000000000000e+02,9.210458446251129638e-02,5.152632544053099725e-05
1.680000000000000000e+02,9.204933531746033182e-02,5.356420094725824056e-05
1.720000000000000000e+02,9.199670650301464137e-02,5.063058335382125040e-05
1.760000000000000000e+02,9.194573021885521502e-02,5.224770620312183564e-05
1.800000000000000000e+02,9.189409876543210010e-02,5.299651371113893390e-05
1.840000000000000000e+02,9.184972826086955366e-02,5.185692800734972326e-05
1.880000000000000000e+02,9.180641252955082376e-02,5.300591273222761234e-05
1.920000000000000000e+02,9.176012731481482387e-02,5.332076344496602271e-05
1.960000000000000000e+02,9.172252456538169951e-02,5.256516684541858694e-05
2.000000000000000000e+02,9.168346296296298048e-02,5.217592346117234573e-05
2.040000000000000000e+02,9.164626906318083799e-02,5.293708399046656419e-05
2.080000000000000000e+02,9.161097756410256643e-02,5.354524965179299566e-05
2.120000000000000000e+02,9.157351502445842950e-02,5.344852136740914578e-05
2.160000000000000000e+02,9.153746570644719083e-02,5.325269572007659867e-05
2.200000000000000000e+02,9.150584175084175431e-02,5.460444668794408072e-05
2.240000000000000000e+02,9.147462797619047847e-02,5.525432412994982575e-05
2.280000000000000000e+02,9.144488304093567610e-02,5.505516128507333720e-05
2.320000000000000000e+02,9.141239623243933854e-02,5.493230182896674275e-05
2.360000000000000000e+02,9.138473791588197503e-02,5.507465769443919485e-05
2.400000000000000000e+02,9.135906635802469589e-02,5.475231328702363613e-05
2.440000000000000000e+02,9.133246812386157376e-02,5.652844936106335183e-05
2.480000000000000000e+02,9.130563769414576369e-02,5.635712383216349980e-05
2.520000000000000000e+02,9.128395061728396265e-02,5.683513765682387430e-05
2.560000000000000000e+02,9.125541811342591236e-02,5.751715757607635824e-05
2.600000000000000000e+02,9.123428062678062833e-02,5.771864781122236802e-05
2.640000000000000000e+02,9.121294893378227575e-02,5.670134225748539207e-05
2.680000000000000000e+02,9.118956605859590558e-02,5.743430222762569700e-05
2.720000000000000000e+02,9.116872957516340692e-02,5.731327796581614102e-05
2.760000000000000000e+02,9.114887278582929631e-02,5.900611944493970823e-05
2.800000000000000000e+02,9.113063492063494531e-02,5.883858569567012643e-05
2.840000000000000000e+02,9.110918101199791397e-02,5.853664961321547065e-05
2.880000000000000000e+02,9.109112654320986047e-02,5.867362652347123141e-05
2.920000000000000000e+02,9.106941273465246622e-02,5.803395897568350845e-05
2.960000000000000000e+02,9.105017517517517700e-02,5.762002799140908404e-05
3.000000000000000000e+02,9.103462962962963201e-02,5.844905922258694691e-05
3.040000000000000000e+02,9.101793981481480500e-02,5.949197179184133712e-05
3.080000000000000000e+02,9.100146705146705539e-02,5.937892477670254866e-05
3.120000000000000000e+02,9.098671652421651268e-02,5.904465103488585150e-05
3.160000000000000000e+02,9.096995428973278508e-02,5.972440879344756491e-05
3.200000000000000000e+02,9.095361689814814021e-02,5.903990384990005742e-05
3.240000000000000000e+02,9.093914609053498077e-02,5.982833225049029416e-05
3.280000000000000000e+02,9.092285456187894355e-02,6.004710215759372760e-05
3.320000000000000000e+02,9.090915885765282756e-02,5.934938466143648266e-05
3.360000000000000000e+02,9.089365079365079036e-02,5.927661805858683986e-05
3.400000000000000000e+02,9.088065359477123795e-02,5.916809035259162620e-05
3.440000000000000000e+02,9.086894918173987756e-02,5.934684550594915303e-05
3.480000000000000000e+02,9.085344295444869323e-02,5.950339610706259887e-05
3.520000000000000000e+02,9.084120370370370179e-02,6.010155655915200209e-05
3.560000000000000000e+02,9.082914065751143684e-02,5.989978682245205151e-05
3.600000000000000000e+02,9.081504115226336771e-02,6.015582856982643382e-05
3.640000000000000000e+02,9.080462962962962403e-02,6.014648184519884197e-05
3.680000000000000000e+02,9.079348329307568299e-02,5.958084294191358550e-05
3.720000000000000000e+02,9.078129231381920627e-02,6.111834019658206611e-05
3.760000000000000000e+02,9.076817375886525596e-02,6.063130173878818045e-05
3.800000000000000000e+02,9.075896686159844184e-02,6.090043505114964268e-05
3.840000000000000000e+02,9.074850983796295401e-02,6.125006713333720385e-05
3.880000000000000000e+02,9.073906548300877950e-02,6.141307495410512727e-05
3.920000000000000000e+02,9.072839663643235408e-02,6.180514016776509885e-05
3.960000000000000000e+02,9.071932753460530685e-02,6.152095098794763117e-05
4.000000000000000000e+02,9.070871296296295627e-02,6.165660087566931027e-05
4.040000000000000000e+02,9.070040337367069050e-02,6.223625549481273027e-05
4.080000000000000000e+02,9.068941085693536797e-02,6.192050833416439751e-05
4.120000000000000000e+02,9.068049262855086556e-02,6.192051682061000680e-05
4.160000000000000000e+02,9.067114494301994898e-02,6.244463900052210615e-05
4.200000000000000000e+02,9.066256613756613902e-02,6.258338374061460905e-05
4.240000000000000000e+02,9.065476502445840579e-02,6.295173509576701355e-05
4.280000000000000000e+02,9.064417618553131939e-02,6.261202262399042544e-05
4.320000000000000000e+02,9.063735853909465900e-02,6.295364094585839123e-05
4.360000000000000000e+02,9.062943849813115405e-02,6.316902464408891171e-05
4.400000000000000000e+02,9.061993686868685671e-02,6.297400002320799512e-05
4.440000000000000000e+02,9.061266266266267133e-02,6.310181356823151911e-05
4.480000000000000000e+02,9.060429480820106352e-02,6.343799259944333591e-05
4.520000000000000000e+02,9.059638643067846608e-02,6.343660622436579860e-05
4.560000000000000000e+02,9.058977014294995744e-02,6.357040349620070145e-05
4.600000000000000000e+02,9.058353864734300376e-02,6.326844163115023366e-05
4.640000000000000000e+02,9.057536717752234789e-02,6.363371383599914627e-05
4.680000000000000000e+02,9.056772317188983845e-02,6.398584684920831660e-05
4.720000000000000000e+02,9.056016556811048723e-02,6.350372130072585856e-05
4.760000000000000000e+02,9.055289838157484783e-02,6.352906676599123531e-05
4.800000000000000000e+02,9.054680941358023150e-02,6.378395471967946199e-05
4.840000000000000000e+02,9.054004820936639719e-02,6.380222820491072120e-05
4.880000000000000000e+02,9.053374316939891142e-02,6.361320859892204648e-05
4.920000000000000000e+02,9.052752935862691530e-02,6.374126211745848752e-05
4.960000000000000000e+02,9.052038530465950084e-02,6.367983532809271875e-05
5.000000000000000000e+02,9.051613333333333178e-02,6.427168174300389582e-05
5.040000000000000000e+02,9.050824882422105200e-02,6.441665329644901663e-05
5.080000000000000000e+02,9.050208515602214954e-02,6.397357962281105710e-05
5.120000000000000000e+02,9.049632161458333324e-02,6.424196692000442861e-05
5.160000000000000000e+02,9.049017011197242610e-02,6.456655285057883874e-05
5.200000000000000000e+02,9.048589031339032696e-02,6.431947026914275149e-05
5.240000000000000000e+02,9.048017387616624774e-02,6.453752366195290716e-05
5.280000000000000000e+02,9.047484217171718190e-02,6.495101723685320252e-05
5.320000000000000000e+02,9.046862642717906633e-02,6.477085101230624299e-05
5.360000000000000000e+02,9.046258637368712052e-02,6.466155619560513964e-05
5.400000000000000000e+02,9.045816872427983601e-02,6.494601510504691762e-05
5.440000000000000000e+02,9.045337690631809202e-02,6.476338643060979082e-05
5.480000000000000000e+02,9.044869221411191984e-02,6.520653780821014189e-05
5.520000000000000000e+02,9.044381374127749562e-02,6.485658399085947226e-05
5.560000000000000000e+02,9.043825606181722654e-02,6.474363197351880458e-05
5.600000000000000000e+02,9.043252645502646014e-02,6.519409934467734085e-05
5.640000000000000000e+02,9.042735093249278100e-02,6.509083180907939488e-05
5.680000000000000000e+02,9.042185706833594239e-02,6.532864634755925057e-05
5.720000000000000000e+02,9.041897176897177590e-02,6.488157903896786072e-05
5.760000000000000000e+02,9.041329732510287875e-02,6.457613624687730540e-05
5.800000000000000000e+02,9.040914112388248602e-02,6.498500629028556880e-05
5.840000000000000000e+02,9.040424594114664092e-02,6.542788447516435541e-05
5.880000000000000000e+02,9.040014172335601728e-02,6.522435170698127167e-05
5.920000000000000000e+02,9.039557057057057143e-02,6.516666102075929421e-05
5.960000000000000000e+02,9.039045488441460607e-02,6.517493839698352805e-05
6.000000000000000000e+02,9.038525308641975897e-02,6.535659256436778853e-05
6.040000000000000000e+02,9.038097866077998699e-02,6.519316446078099632e-05
6.080000000000000000e+02,9.037732699805067771e-02,6.537276119955343252e-05
6.120000000000000000e+02,9.037283648027112648e-02,6.507550076274822633e-05
6.160000000000000000e+02,9.036908369408368225e-02,6.496318594408714852e-05
6.200000000000000000e+02,9.036363500597371923e-02,6.553986758855640036e-05
6.240000000000000000e+02,9.036050866571700146e-02,6.532267949400955714e-05
6.280000000000000000e+02,9.035656109931587687e-02,6.556763482363089587e-05
6.320000000000000000e+02,9.035146507266759996e-02,6.538056899403392409e-05
6.360000000000000000e+02,9.034868099231305183e-02,6.525754180417295345e-05
6.400000000000000000e+02,9.034339988425926782e-02,6.552689539843455145e-05
6.440000000000000000e+02,9.034113756613755541e-02,6.525551767983518128e-05
6.480000000000000000e+02,9.033640546410608152e-02,6.578109390232576078e-05
6.520000000000000000e+02,9.033244433083391367e-02,6.568865800831234618e-05
6.560000000000000000e+02,9.033024503161697638e-02,6.541072071280554202e-05
6.600000000000000000e+02,9.032516554433220324e-02,6.572556984133080436e-05
6.640000000000000000e+02,9.032270749665327614e-02,6.526391993286357067e-05
6.680000000000000000e+02,9.031872366378353167e-02,6.605374550904312902e-05
6.720000000000000000e+02,9.031497740299823662e-02,6.562589727887890606e-05
