t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.848054041666666591e-01,4.556929095968770401e-04
8.000000000000000000e+00,1.364721770833333403e-01,2.318113513116499983e-04
1.200000000000000000e+01,1.206009541666666768e-01,1.730939441307154797e-04
1.600000000000000000e+01,1.127269166666666489e-01,1.037082531192491295e-04
2.000000000000000000e+01,1.080332000000000098e-01,9.497970803425205056e-05
2.400000000000000000e+01,1.049128611111111165e-01,7.573176308515675991e-05
2.800000000000000000e+01,1.026808333333333323e-01,6.752549547432160689e-05
3.200000000000000000e+01,1.010089531249999950e-01,6.451843151409920049e-05
3.600000000000000000e+01,9.969681018518519733e-02,5.339675943297593220e-05
4.000000000000000000e+01,9.867592916666666214e-02,4.583639680418497535e-05
4.400000000000000000e+01,9.782892803030301954e-02,4.323804746587093004e-05
4.800000000000000000e+01,9.711407291666666886e-02,4.445211915615343708e-05
5.200000000000000000e+01,9.651384294871794001e-02,3.793067532374570707e-05
5.600000000000000000e+01,9.600190773809524902e-02,4.207349467632124252e-05
6.000000000000000000e+01,9.555703055555556102e-02,3.539515528032405610e-05
6.400000000000000000e+01,9.517081250000000714e-02,3.653935520180755947e-05
6.800000000000000000e+01,9.482039705882353009e-02,3.271758139799625995e-05
7.200000000000000000e+01,9.452408796296295213e-02,3.390572284227478015e-05
7.600000000000000000e+01,9.424989912280702653e-02,3.264583336402349708e-05
8.000000000000000000e+01,9.400730833333334480e-02,2.873061843349241932e-05
8.400000000000000000e+01,9.378819642857143257e-02,2.953295127883164454e-05
8.800000000000000000e+01,9.358150378787880030e-02,3.116312268185144626e-05
9.200000000000000000e+01,9.339245289855072074e-02,2.901262409103655296e-05
9.600000000000000000e+01,9.322638368055555236e-02,2.854358013231762307e-05
1.000000000000000000e+02,9.307049500000000308e-02,2.768648208841419423e-05
1.040000000000000000e+02,9.292199519230769089e-02,2.687705833953786538e-05
1.080000000000000000e+02,9.279199382716049604e-02,2.717651771208755065e-05
1.120000000000000000e+02,9.266898958333331937e-02,2.683490526944160050e-05
1.160000000000000000e+02,9.255113362068964622e-02,2.717770283836863824e-05
1.200000000000000000e+02,9.244802083333333864e-02,2.795611496737169380e-05
1.240000000000000000e+02,9.234559677419354462e-02,2.808736031362021207e-05
1.280000000000000000e+02,9.225217968750000497e-02,2.791942604813215273e-05
1.320000000000000000e+02,9.215800505050504576e-02,2.812440435971234017e-05
1.360000000000000000e+02,9.207565686274507555e-02,2.807923208271373425e-05
1.400000000000000000e+02,9.199852380952380781e-02,2.789618025174708674e-05
