t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.872157291666666779e-01,5.371742102759321548e-04
8.000000000000000000e+00,1.382485291666666616e-01,2.337937990671552877e-04
1.200000000000000000e+01,1.222361944444444459e-01,1.459572990163414440e-04
1.600000000000000000e+01,1.142530000000000212e-01,1.202614528150176929e-04
2.000000000000000000e+01,1.094557750000000051e-01,1.116515779261308664e-04
2.400000000000000000e+01,1.063091597222222129e-01,9.286619613809578386e-05
2.800000000000000000e+01,1.040465535714285850e-01,7.836523391644418363e-05
3.200000000000000000e+01,1.023605677083333221e-01,7.510663211667791201e-05
3.600000000000000000e+01,1.010294444444444356e-01,5.846748080375942393e-05
4.000000000000000000e+01,9.999310000000001530e-02,6.198379953117613488e-05
4.400000000000000000e+01,9.911618560606061390e-02,4.820132936759412664e-05
4.800000000000000000e+01,9.839195486111111666e-02,4.845104352062729508e-05
5.200000000000000000e+01,9.779423717948718120e-02,4.940828368219723159e-05
5.600000000000000000e+01,9.726503571428571360e-02,4.652757657248315437e-05
6.000000000000000000e+01,9.681754166666667327e-02,4.541434834759540743e-05
6.400000000000000000e+01,9.641879947916667803e-02,4.169102142851581309e-05
6.800000000000000000e+01,9.606695098039215452e-02,4.450937055901130863e-05
7.200000000000000000e+01,9.575841203703702731e-02,4.313098345092472276e-05
7.600000000000000000e+01,9.548606359649122743e-02,4.556166763253860182e-05
8.000000000000000000e+01,9.522825625000000405e-02,4.332427378699542884e-05
8.400000000000000000e+01,9.500265079365080578e-02,4.212742275747838252e-05
8.800000000000000000e+01,9.479853598484846988e-02,4.381236254619702271e-05
9.200000000000000000e+01,9.460554166666666764e-02,4.246961661802154498e-05
9.600000000000000000e+01,9.443061805555556798e-02,4.316367699742909087e-05
1.000000000000000000e+02,9.427014000000000227e-02,4.280564598735867846e-05
1.040000000000000000e+02,9.412375961538463343e-02,4.266568123780787637e-05
1.080000000000000000e+02,9.398892901234567887e-02,4.112068298285684700e-05
1.120000000000000000e+02,9.386203422619046610e-02,4.444321791429084098e-05
1.160000000000000000e+02,9.374705459770114879e-02,4.202285085980038702e-05
1.200000000000000000e+02,9.363825833333332127e-02,4.310762080977377221e-05
1.240000000000000000e+02,9.353230510752688631e-02,4.499241464428686116e-05
1.280000000000000000e+02,9.343941796874997985e-02,4.456149392153620789e-05
1.320000000000000000e+02,9.334734217171716808e-02,4.478899216425984690e-05
1.360000000000000000e+02,9.325998161764706418e-02,4.538278507325653981e-05
1.400000000000000000e+02,9.317622023809524201e-02,4.704163998735195134e-05
1.440000000000000000e+02,9.310553819444443435e-02,4.653845327650804397e-05
1.480000000000000000e+02,9.303868130630629785e-02,4.700621954627927205e-05
1.520000000000000000e+02,9.296454605263157478e-02,4.879724365688508769e-05
1.560000000000000000e+02,9.289910470085470384e-02,4.761801121514998091e-05
1.600000000000000000e+02,9.283761249999999965e-02,4.792752083183945250e-05
1.640000000000000000e+02,9.278131300813008409e-02,4.912435130880410205e-05
1.680000000000000000e+02,9.272517063492065337e-02,4.953065485409135154e-05
1.720000000000000000e+02,9.267294767441860981e-02,4.998161608095036932e-05
1.760000000000000000e+02,9.262342613636362354e-02,5.187292306345324275e-05
1.800000000000000000e+02,9.257698055555556305e-02,5.171176821550933333e-05
1.840000000000000000e+02,9.252972826086955371e-02,5.148307005691748312e-05
1.880000000000000000e+02,9.248362588652482563e-02,5.219577136222106983e-05
1.920000000000000000e+02,9.244096354166667084e-02,5.208636091058982778e-05
1.960000000000000000e+02,9.240182823129251821e-02,5.276506262594075642e-05
