t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,7.605500000000000593e-01,1.266114319751189977e-03
8.000000000000000000e+00,5.695501874999999714e-01,7.206405627287997950e-04
1.200000000000000000e+01,5.081708750000000219e-01,4.471954103275264090e-04
1.600000000000000000e+01,4.775986041666666071e-01,3.437926485888910815e-04
2.000000000000000000e+01,4.597465916666666486e-01,2.153122855676298198e-04
2.400000000000000000e+01,4.480714583333332834e-01,2.009177559036213004e-04
2.800000000000000000e+01,4.398235476190476279e-01,2.219746699383330526e-04
3.200000000000000000e+01,4.338930312499999498e-01,1.624102460537674066e-04
3.600000000000000000e+01,4.289546111111111060e-01,1.609298811591579586e-04
4.000000000000000000e+01,4.251268749999999597e-01,1.275195344815169436e-04
4.400000000000000000e+01,4.221390530303029687e-01,1.334035179575791266e-04
4.800000000000000000e+01,4.195736458333333974e-01,9.966732765227412046e-05
5.200000000000000000e+01,4.174071153846153903e-01,1.136962559246995814e-04
5.600000000000000000e+01,4.155613690476189781e-01,1.128039952965970762e-04
6.000000000000000000e+01,4.139668333333333949e-01,1.098579423151200738e-04
6.400000000000000000e+01,4.125679427083333017e-01,1.198542915134033227e-04
6.800000000000000000e+01,4.113125490196078426e-01,1.182231537573192779e-04
7.200000000000000000e+01,4.102166898148148499e-01,1.267094542309847984e-04
7.600000000000000000e+01,4.092757017543859344e-01,1.216639524187372373e-04
8.000000000000000000e+01,4.084333124999999787e-01,1.110387500919879014e-04
8.400000000000000000e+01,4.075945238095237677e-01,1.100241984703401676e-04
8.800000000000000000e+01,4.069072348484848445e-01,1.186834427562670355e-04
9.200000000000000000e+01,4.062752898550724412e-01,1.186386479832971853e-04
9.600000000000000000e+01,4.056781597222222646e-01,1.107343293310057177e-04
1.000000000000000000e+02,4.051187000000000538e-01,1.363711592911774834e-04
1.040000000000000000e+02,4.045977884615384323e-01,1.129344932607442479e-04
1.080000000000000000e+02,4.041470679012345579e-01,1.153595437235287706e-04
1.120000000000000000e+02,4.036880803571428755e-01,1.026245435506163261e-04
1.160000000000000000e+02,4.032813362068966012e-01,1.173311309927218291e-04
1.200000000000000000e+02,4.029030833333332451e-01,1.111277684273237742e-04
1.240000000000000000e+02,4.025505510752688254e-01,1.110129376273764028e-04
1.280000000000000000e+02,4.022154296874999591e-01,1.180012261533878570e-04
1.320000000000000000e+02,4.019280934343433809e-01,1.203642207966210598e-04
1.360000000000000000e+02,4.016152205882352888e-01,1.129711398563790139e-04
1.400000000000000000e+02,4.013430833333332393e-01,1.198749275373224316e-04
1.440000000000000000e+02,4.010904166666667825e-01,1.242885007669499743e-04
1.480000000000000000e+02,4.008534459459459076e-01,1.183021520163323766e-04
1.520000000000000000e+02,4.006062171052631737e-01,1.215867728788064164e-04
1.560000000000000000e+02,4.004060683760683470e-01,1.348985971488626877e-04
1.600000000000000000e+02,4.001890937500000578e-01,1.226402337777812365e-04
1.640000000000000000e+02,3.999803861788618353e-01,1.323123716481001695e-04
1.680000000000000000e+02,3.997979464285714157e-01,1.358770229330492452e-04
1.720000000000000000e+02,3.996067635658914763e-01,1.331854132990783579e-04
1.760000000000000000e+02,3.994384185606060234e-01,1.315754621911192121e-04
1.800000000000000000e+02,3.992605370370371221e-01,1.354433943937256694e-04
1.840000000000000000e+02,3.990896829710144922e-01,1.271402182106647939e-04
1.880000000000000000e+02,3.989362322695035878e-01,1.375954745494289814e-04
1.920000000000000000e+02,3.988020138888889177e-01,1.362791751544721174e-04
1.960000000000000000e+02,3.986651105442176601e-01,1.372095287412458892e-04
2.000000000000000000e+02,3.985166249999999577e-01,1.442314108793909849e-04
2.040000000000000000e+02,3.983862500000000528e-01,1.382643140025285444e-04
2.080000000000000000e+02,3.982664182692307597e-01,1.453638640911830162e-04
2.120000000000000000e+02,3.981513679245283210e-01,1.426878192996349284e-04
2.160000000000000000e+02,3.980283024691358418e-01,1.399628336058510809e-04
2.200000000000000000e+02,3.979222575757576097e-01,1.461087769141847237e-04
2.240000000000000000e+02,3.978097023809523680e-01,1.434089125006189093e-04
2.280000000000000000e+02,3.977104897660818095e-01,1.411516689658591115e-04
2.320000000000000000e+02,3.975940229885057131e-01,1.488406594489945342e-04
2.360000000000000000e+02,3.975013559322033707e-01,1.534859651618443791e-04
2.400000000000000000e+02,3.974042916666666869e-01,1.546701290110625562e-04
2.440000000000000000e+02,3.973214822404371738e-01,1.576076555386995873e-04
2.480000000000000000e+02,3.972321841397848941e-01,1.505585797753902040e-04
2.520000000000000000e+02,3.971467989417988842e-01,1.543966015938158097e-04
2.560000000000000000e+02,3.970577018229166644e-01,1.560051515368041227e-04
2.600000000000000000e+02,3.969860769230769693e-01,1.570099750317720374e-04
2.640000000000000000e+02,3.969010542929293228e-01,1.573928091757160292e-04
2.680000000000000000e+02,3.968392599502487128e-01,1.586178110544316801e-04
2.720000000000000000e+02,3.967547303921569180e-01,1.580538019195712874e-04
2.760000000000000000e+02,3.967019685990338940e-01,1.585729325600118234e-04
2.800000000000000000e+02,3.966197321428571176e-01,1.629025143163984773e-04
2.840000000000000000e+02,3.965482453051643041e-01,1.604364284052252148e-04
2.880000000000000000e+02,3.964935648148148473e-01,1.628042631955338166e-04
2.920000000000000000e+02,3.964390924657534288e-01,1.620871766972401408e-04
2.960000000000000000e+02,3.963681137387387587e-01,1.661270060900764585e-04
3.000000000000000000e+02,3.963117000000000445e-01,1.657872598072693434e-04
3.040000000000000000e+02,3.962738432017542944e-01,1.645317663546717662e-04
3.080000000000000000e+02,3.961989610389610172e-01,1.638774888445225768e-04
3.120000000000000000e+02,3.961487232905983591e-01,1.674018490402298242e-04
3.160000000000000000e+02,3.960866983122363072e-01,1.680056639749484429e-04
3.200000000000000000e+02,3.960494427083333657e-01,1.661009118800837840e-04
3.240000000000000000e+02,3.959874228395062201e-01,1.701920469102895358e-04
3.280000000000000000e+02,3.959422815040650745e-01,1.670694640214207027e-04
3.320000000000000000e+02,3.958925150602409238e-01,1.697730736333105379e-04
3.360000000000000000e+02,3.958446180555555971e-01,1.695334098120494532e-04
3.400000000000000000e+02,3.958033921568627211e-01,1.684490797692785979e-04
3.440000000000000000e+02,3.957650678294573066e-01,1.688706371711249992e-04
3.480000000000000000e+02,3.957127107279693190e-01,1.728945428736119918e-04
3.520000000000000000e+02,3.956739441287878689e-01,1.738876201454726909e-04
3.560000000000000000e+02,3.956355805243444990e-01,1.735971343389941372e-04
3.600000000000000000e+02,3.955890601851851929e-01,1.785720049864649600e-04
3.640000000000000000e+02,3.955587866300366295e-01,1.768478516280473753e-04
3.680000000000000000e+02,3.955140353260869768e-01,1.790340860755893176e-04
3.720000000000000000e+02,3.954724955197133074e-01,1.759447889565975164e-04
3.760000000000000000e+02,3.954338253546099136e-01,1.774295383948787538e-04
3.800000000000000000e+02,3.954000043859650093e-01,1.816288268602738029e-04
3.840000000000000000e+02,3.953712934027777681e-01,1.787424581960766112e-04
3.880000000000000000e+02,3.953338745704467749e-01,1.839764453618557673e-04
3.920000000000000000e+02,3.953029804421768767e-01,1.834449696414202442e-04
3.960000000000000000e+02,3.952686489898989963e-01,1.857521609169184007e-04
4.000000000000000000e+02,3.952399416666666498e-01,1.863859224387187641e-04
4.040000000000000000e+02,3.952054042904290521e-01,1.883306023568608501e-04
4.080000000000000000e+02,3.951862459150327633e-01,1.898390355091225212e-04
4.120000000000000000e+02,3.951553155339805889e-01,1.902966967171263292e-04
4.160000000000000000e+02,3.951219631410256561e-01,1.900307722687593259e-04
4.200000000000000000e+02,3.950883571428571162e-01,1.909662035699233567e-04
4.240000000000000000e+02,3.950586477987421130e-01,1.937110020207457965e-04
4.280000000000000000e+02,3.950346183800623190e-01,1.957976164812758003e-04
4.320000000000000000e+02,3.950032407407407797e-01,1.934137669826767509e-04
4.360000000000000000e+02,3.949796253822629444e-01,1.949519302075314558e-04
4.400000000000000000e+02,3.949497727272727188e-01,1.925084256057166385e-04
4.440000000000000000e+02,3.949245120120120078e-01,1.956752893959527034e-04
4.480000000000000000e+02,3.949055059523809419e-01,1.954165444717815040e-04
4.520000000000000000e+02,3.948880899705014547e-01,1.981188224089414334e-04
4.560000000000000000e+02,3.948605994152046827e-01,1.971127173041757933e-04
4.600000000000000000e+02,3.948325000000000307e-01,1.997479614071241694e-04
4.640000000000000000e+02,3.948093390804597869e-01,2.000136041205250598e-04
4.680000000000000000e+02,3.947818019943020174e-01,1.987644484127592723e-04
4.720000000000000000e+02,3.947596751412428828e-01,2.006262049771880278e-04
4.760000000000000000e+02,3.947327731092437064e-01,2.018661719968953044e-04
4.800000000000000000e+02,3.947218749999999998e-01,2.017358189369119960e-04
4.840000000000000000e+02,3.946924586776859312e-01,2.022907905507649769e-04
4.880000000000000000e+02,3.946732240437157979e-01,2.014545122035232198e-04
4.920000000000000000e+02,3.946604674796748147e-01,2.005226765351032911e-04
4.960000000000000000e+02,3.946287298387096687e-01,2.017905520226740226e-04
5.000000000000000000e+02,3.946119333333333312e-01,2.016228345386648327e-04
5.040000000000000000e+02,3.945865410052910027e-01,2.047861213120427280e-04
5.080000000000000000e+02,3.945669291338583240e-01,2.024200166005523706e-04
5.120000000000000000e+02,3.945473958333333142e-01,2.060094181611450866e-04
5.160000000000000000e+02,3.945258720930232554e-01,2.053958289771810972e-04
5.200000000000000000e+02,3.945099358974358816e-01,2.056255156192407149e-04
5.240000000000000000e+02,3.944899491094147059e-01,2.063878727159947546e-04
5.280000000000000000e+02,3.944681186868685963e-01,2.069004263114251137e-04
5.320000000000000000e+02,3.944506265664160516e-01,2.091405802534208262e-04
5.360000000000000000e+02,3.944282960199004817e-01,2.076122921266153548e-04
5.400000000000000000e+02,3.944153086419753818e-01,2.109477785285603698e-04
5.440000000000000000e+02,3.943916666666666959e-01,2.105681449210293130e-04
5.480000000000000000e+02,3.943702858880778761e-01,2.090566877263498526e-04
