t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,7.932178750000000722e-01,1.306623080766945244e-03
8.000000000000000000e+00,5.948351874999999733e-01,6.753430101625196042e-04
1.200000000000000000e+01,5.305666666666666309e-01,4.931695655875465312e-04
1.600000000000000000e+01,4.994344583333333309e-01,3.827790385350559265e-04
2.000000000000000000e+01,4.808339333333334631e-01,2.921531241711456620e-04
2.400000000000000000e+01,4.688461944444444751e-01,2.484001276878825318e-04
2.800000000000000000e+01,4.601365297619047778e-01,1.925624514325659611e-04
3.200000000000000000e+01,4.538264427083333885e-01,1.650278830245497112e-04
3.600000000000000000e+01,4.489071481481481385e-01,1.751029377777435937e-04
4.000000000000000000e+01,4.449099583333332997e-01,1.453052402607043223e-04
4.400000000000000000e+01,4.417923484848484961e-01,1.189709125280298047e-04
4.800000000000000000e+01,4.391650694444444447e-01,1.134965907995198465e-04
5.200000000000000000e+01,4.369469551282051389e-01,1.163022945790038619e-04
5.600000000000000000e+01,4.350560119047618413e-01,1.111758049331966534e-04
6.000000000000000000e+01,4.334028333333332372e-01,1.207056356601052992e-04
6.400000000000000000e+01,4.319614062499999574e-01,9.408051467346140856e-05
6.800000000000000000e+01,4.306814215686275427e-01,1.137716702967336374e-04
7.200000000000000000e+01,4.295388194444444419e-01,1.157094610510061834e-04
7.600000000000000000e+01,4.285451315789473581e-01,1.205702685080240215e-04
8.000000000000000000e+01,4.276367708333334017e-01,1.173400755720855883e-04
8.400000000000000000e+01,4.268173412698413327e-01,1.148972522118377399e-04
8.800000000000000000e+01,4.260900189393940218e-01,1.155109654636546037e-04
9.200000000000000000e+01,4.254154710144926743e-01,1.198636640240821399e-04
9.600000000000000000e+01,4.247575347222222186e-01,1.113523471125600633e-04
1.000000000000000000e+02,4.242231499999999933e-01,1.199768765015212429e-04
1.040000000000000000e+02,4.236734294871795647e-01,1.236185114946010497e-04
1.080000000000000000e+02,4.231975462962963563e-01,1.166730476559282615e-04
1.120000000000000000e+02,4.227522916666666686e-01,1.188473952812681080e-04
1.160000000000000000e+02,4.222934770114942782e-01,1.316731243256412918e-04
1.200000000000000000e+02,4.219264999999999821e-01,1.295220979260555000e-04
1.240000000000000000e+02,4.215585618279568680e-01,1.313049583008499711e-04
1.280000000000000000e+02,4.211976171875000396e-01,1.381976288003147464e-04
1.320000000000000000e+02,4.208798863636363796e-01,1.351698339570507211e-04
1.360000000000000000e+02,4.205690931372548791e-01,1.405229883910450014e-04
1.400000000000000000e+02,4.202720833333333239e-01,1.358618967157988701e-04
1.440000000000000000e+02,4.199807523148148536e-01,1.428147299389974346e-04
1.480000000000000000e+02,4.197512837837837907e-01,1.382091058400933400e-04
1.520000000000000000e+02,4.194937061403508638e-01,1.457550026702660972e-04
1.560000000000000000e+02,4.192653205128205052e-01,1.339493788347290637e-04
1.600000000000000000e+02,4.190470104166666987e-01,1.448264089097286403e-04
1.640000000000000000e+02,4.188242073170731494e-01,1.413921179579321361e-04
1.680000000000000000e+02,4.186542460317460579e-01,1.478577016942639094e-04
1.720000000000000000e+02,4.184398158914729438e-01,1.512988414467447067e-04
1.760000000000000000e+02,4.182672159090908837e-01,1.426587753750966638e-04
1.800000000000000000e+02,4.180817592592592780e-01,1.440128755156378827e-04
1.840000000000000000e+02,4.179217391304348439e-01,1.428103015267556816e-04
1.880000000000000000e+02,4.177532890070921878e-01,1.482248450494021402e-04
1.920000000000000000e+02,4.175976041666665806e-01,1.520523912279059611e-04
1.960000000000000000e+02,4.174649999999999750e-01,1.499627226609798972e-04
2.000000000000000000e+02,4.173261000000000331e-01,1.538273808085576639e-04
2.040000000000000000e+02,4.171923692810458606e-01,1.490607580082273524e-04
2.080000000000000000e+02,4.170571714743589453e-01,1.534726402242526922e-04
2.120000000000000000e+02,4.169202672955975575e-01,1.583195684976608931e-04
2.160000000000000000e+02,4.168198842592592546e-01,1.592137884932556412e-04
2.200000000000000000e+02,4.166936060606060144e-01,1.582892888169860489e-04
2.240000000000000000e+02,4.165826785714286662e-01,1.559763235324249976e-04
2.280000000000000000e+02,4.164804385964912536e-01,1.590225082566157594e-04
2.320000000000000000e+02,4.163621910919539926e-01,1.589397511906069822e-04
2.360000000000000000e+02,4.162785381355932901e-01,1.581514965662351904e-04
2.400000000000000000e+02,4.161544027777778210e-01,1.594608584192346967e-04
