t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,8.006314999999999404e-01,2.292133286837748016e-03
8.000000000000000000e+00,6.009839583333332902e-01,1.260468396168341453e-03
1.200000000000000000e+01,5.359119444444444547e-01,8.316793874844637764e-04
1.600000000000000000e+01,5.044492187499999281e-01,5.632088144338360646e-04
2.000000000000000000e+01,4.857850166666666247e-01,4.466468900748999933e-04
2.400000000000000000e+01,4.734183402777777383e-01,3.592548469818454852e-04
2.800000000000000000e+01,4.648767500000000608e-01,2.966437790807337086e-04
3.200000000000000000e+01,4.583410156250000145e-01,3.250102842784949840e-04
3.600000000000000000e+01,4.533415972222222257e-01,2.864979548190148468e-04
4.000000000000000000e+01,4.492208750000000750e-01,2.404184113968393119e-04
4.400000000000000000e+01,4.461435606060605852e-01,2.578819852262940549e-04
4.800000000000000000e+01,4.432915624999999582e-01,2.434762730594316853e-04
5.200000000000000000e+01,4.410460576923077025e-01,1.959342234205348242e-04
5.600000000000000000e+01,4.390934523809524315e-01,2.045103987109245518e-04
6.000000000000000000e+01,4.374223333333333019e-01,1.949963648495180168e-04
6.400000000000000000e+01,4.359100520833333325e-01,1.945108595032686398e-04
6.800000000000000000e+01,4.346111274509804612e-01,2.114513726759348496e-04
7.200000000000000000e+01,4.334757870370370414e-01,1.777970842675938713e-04
7.600000000000000000e+01,4.324098245614035330e-01,1.782251975517860551e-04
8.000000000000000000e+01,4.314791458333333551e-01,1.857195363719164069e-04
8.400000000000000000e+01,4.307022222222222085e-01,1.765634552791017959e-04
8.800000000000000000e+01,4.298946212121211863e-01,1.679229018302321646e-04
9.200000000000000000e+01,4.292187137681159892e-01,1.778577453070165576e-04
9.600000000000000000e+01,4.285675868055555671e-01,1.737969588791717979e-04
1.000000000000000000e+02,4.279663166666666241e-01,1.884241758131511982e-04
1.040000000000000000e+02,4.274334615384615121e-01,1.702685017980259865e-04
1.080000000000000000e+02,4.269191512345679174e-01,1.596747466767579969e-04
1.120000000000000000e+02,4.264633928571428534e-01,1.667689300306163486e-04
1.160000000000000000e+02,4.260436063218390745e-01,1.677146066768381749e-04
1.200000000000000000e+02,4.256471527777777597e-01,1.721005970500204079e-04
1.240000000000000000e+02,4.252861962365591664e-01,1.648110999361934942e-04
1.280000000000000000e+02,4.248758333333332859e-01,1.712720117227043597e-04
1.320000000000000000e+02,4.246092550505050633e-01,1.696656715603557964e-04
1.360000000000000000e+02,4.242687254901961191e-01,1.781387776717431582e-04
1.400000000000000000e+02,4.239780714285713570e-01,1.701332388806883885e-04
1.440000000000000000e+02,4.236846180555555175e-01,1.703799019845075543e-04
1.480000000000000000e+02,4.234017004504505022e-01,1.677976133579378104e-04
1.520000000000000000e+02,4.231785635964911974e-01,1.617773628887135648e-04
1.560000000000000000e+02,4.229658226495726092e-01,1.728522001773934917e-04
1.600000000000000000e+02,4.227486145833333486e-01,1.654633142854463528e-04
1.640000000000000000e+02,4.225348882113821314e-01,1.679171696465917897e-04
1.680000000000000000e+02,4.223154861111110270e-01,1.720369490955614780e-04
1.720000000000000000e+02,4.221257655038759826e-01,1.775843220940058985e-04
1.760000000000000000e+02,4.219310511363636995e-01,1.660826637442501140e-04
1.800000000000000000e+02,4.217449999999999255e-01,1.682494154459285892e-04
1.840000000000000000e+02,4.215872101449275045e-01,1.688139678253066571e-04
1.880000000000000000e+02,4.214476950354610341e-01,1.688577896121036342e-04
1.920000000000000000e+02,4.212886892361111246e-01,1.705387540446452722e-04
1.960000000000000000e+02,4.211356292517007271e-01,1.637132970908784649e-04
2.000000000000000000e+02,4.209795666666666381e-01,1.672729176569902115e-04
2.040000000000000000e+02,4.208683823529412171e-01,1.739741413528082814e-04
2.080000000000000000e+02,4.207337419871793882e-01,1.724528474954175347e-04
2.120000000000000000e+02,4.206167216981131496e-01,1.625718638098904237e-04
2.160000000000000000e+02,4.205035262345678815e-01,1.663284423011104614e-04
2.200000000000000000e+02,4.203676969696969468e-01,1.715361509464501013e-04
2.240000000000000000e+02,4.202773437499999210e-01,1.664458335713015933e-04
2.280000000000000000e+02,4.201586038011695945e-01,1.705795124441066468e-04
2.320000000000000000e+02,4.200482040229885361e-01,1.687330012038881300e-04
2.360000000000000000e+02,4.199459957627117990e-01,1.645352627714598607e-04
2.400000000000000000e+02,4.198572916666666321e-01,1.677041027122779654e-04
2.440000000000000000e+02,4.197730806010929183e-01,1.703673278617148183e-04
2.480000000000000000e+02,4.196841129032257700e-01,1.659075711688804170e-04
2.520000000000000000e+02,4.195953571428571172e-01,1.611331321728215872e-04
2.560000000000000000e+02,4.194962565104166652e-01,1.679261272280099381e-04
2.600000000000000000e+02,4.194126730769230926e-01,1.680186464242663317e-04
2.640000000000000000e+02,4.193463257575757441e-01,1.648546222321552093e-04
2.680000000000000000e+02,4.192774875621890773e-01,1.650482815176790915e-04
2.720000000000000000e+02,4.191905575980391374e-01,1.649434591084409307e-04
2.760000000000000000e+02,4.191330917874395712e-01,1.676264208827637646e-04
2.800000000000000000e+02,4.190609761904761643e-01,1.635839473463987514e-04
2.840000000000000000e+02,4.189956748826291211e-01,1.653109327711719894e-04
2.880000000000000000e+02,4.189379340277777364e-01,1.643915924560318304e-04
2.920000000000000000e+02,4.188695719178082699e-01,1.653418075725169168e-04
2.960000000000000000e+02,4.187900675675675366e-01,1.634927084574691483e-04
3.000000000000000000e+02,4.187375444444444428e-01,1.640853488309093199e-04
3.040000000000000000e+02,4.186881688596490458e-01,1.616576262859685889e-04
3.080000000000000000e+02,4.186291666666666633e-01,1.687230146851578382e-04
3.120000000000000000e+02,4.185817307692308864e-01,1.658570545519306213e-04
3.160000000000000000e+02,4.185276635021096814e-01,1.661557960723379027e-04
3.200000000000000000e+02,4.184815520833333191e-01,1.661806358679014217e-04
3.240000000000000000e+02,4.184333693415637212e-01,1.662848598125725083e-04
3.280000000000000000e+02,4.183721697154471064e-01,1.693012326905448490e-04
3.320000000000000000e+02,4.183348142570280648e-01,1.683921608763165373e-04
3.360000000000000000e+02,4.182851041666665881e-01,1.755183171844705244e-04
3.400000000000000000e+02,4.182367205882353001e-01,1.717040836968528419e-04
3.440000000000000000e+02,4.181839098837209501e-01,1.732988304435612817e-04
3.480000000000000000e+02,4.181466906130268946e-01,1.725548250778657585e-04
3.520000000000000000e+02,4.181135037878788152e-01,1.759974507714804747e-04
3.560000000000000000e+02,4.180511142322097529e-01,1.731332775052856615e-04
3.600000000000000000e+02,4.180158611111111644e-01,1.788083034139060601e-04
3.640000000000000000e+02,4.179740521978021484e-01,1.757073555952366501e-04
3.680000000000000000e+02,4.179350543478260738e-01,1.840685731365288643e-04
3.720000000000000000e+02,4.178902732974910661e-01,1.800137035237127554e-04
3.760000000000000000e+02,4.178679343971630766e-01,1.790505195882102004e-04
3.800000000000000000e+02,4.178221973684210222e-01,1.830892122230347947e-04
3.840000000000000000e+02,4.177895746527777732e-01,1.831448789449895110e-04
3.880000000000000000e+02,4.177627620274914078e-01,1.864036839720891413e-04
3.920000000000000000e+02,4.177200255102040960e-01,1.854336765889023745e-04
3.960000000000000000e+02,4.176769107744108256e-01,1.869555566183809321e-04
4.000000000000000000e+02,4.176565416666667696e-01,1.877663442648312329e-04
4.040000000000000000e+02,4.176124587458746040e-01,1.943802789269759908e-04
4.080000000000000000e+02,4.175763480392157279e-01,1.942555846131794022e-04
4.120000000000000000e+02,4.175477750809061805e-01,1.952742198070848067e-04
4.160000000000000000e+02,4.175185096153845588e-01,1.970743372561526016e-04
4.200000000000000000e+02,4.174858333333332783e-01,1.996552280294843992e-04
4.240000000000000000e+02,4.174601415094339463e-01,1.989566436574714218e-04
4.280000000000000000e+02,4.174313084112150074e-01,2.012305447331392346e-04
4.320000000000000000e+02,4.173962962962963208e-01,2.005843297562096320e-04
4.360000000000000000e+02,4.173624617737002329e-01,2.035731316713143384e-04
4.400000000000000000e+02,4.173487878787878747e-01,2.075544730909719001e-04
4.440000000000000000e+02,4.173176051051051272e-01,2.058221779993445481e-04
4.480000000000000000e+02,4.172852306547619183e-01,2.070956379514158100e-04
4.520000000000000000e+02,4.172628687315634299e-01,2.097708535080745386e-04
4.560000000000000000e+02,4.172374999999999834e-01,2.109666571582686785e-04
4.600000000000000000e+02,4.172035869565218213e-01,2.143154273229531698e-04
4.640000000000000000e+02,4.171874281609195267e-01,2.160169069399622583e-04
4.680000000000000000e+02,4.171586894586895022e-01,2.197954241687502866e-04
4.720000000000000000e+02,4.171355579096046040e-01,2.146300735013138372e-04
4.760000000000000000e+02,4.171171218487394472e-01,2.185754063445480570e-04
4.800000000000000000e+02,4.170942013888888633e-01,2.267569485088787484e-04
4.840000000000000000e+02,4.170707988980715264e-01,2.232721471081179773e-04
4.880000000000000000e+02,4.170492827868851893e-01,2.242439342812800813e-04
4.920000000000000000e+02,4.170200542005420563e-01,2.262755752408537955e-04
4.960000000000000000e+02,4.170047043010753351e-01,2.297515273298942858e-04
5.000000000000000000e+02,4.169801999999999675e-01,2.273645639458224139e-04
5.040000000000000000e+02,4.169607473544973963e-01,2.315617147527772833e-04
5.080000000000000000e+02,4.169408464566928818e-01,2.320500227557390275e-04
5.120000000000000000e+02,4.169207682291666828e-01,2.327796836416951085e-04
5.160000000000000000e+02,4.168971899224806488e-01,2.350957452801108710e-04
5.200000000000000000e+02,4.168768910256410720e-01,2.366250181832457266e-04
5.240000000000000000e+02,4.168699109414758519e-01,2.378556771194485428e-04
5.280000000000000000e+02,4.168491477272727730e-01,2.368850601458380911e-04
5.320000000000000000e+02,4.168370300751879087e-01,2.398359773201822311e-04
5.360000000000000000e+02,4.168145833333333772e-01,2.412017185630989391e-04
5.400000000000000000e+02,4.167926543209875545e-01,2.437073632187279246e-04
5.440000000000000000e+02,4.167798713235294494e-01,2.440331674451912841e-04
5.480000000000000000e+02,4.167496654501216535e-01,2.468614780786180011e-04
5.520000000000000000e+02,4.167412137681159590e-01,2.459518092623774375e-04
5.560000000000000000e+02,4.167289268585131490e-01,2.491155248293325567e-04
5.600000000000000000e+02,4.167032738095238220e-01,2.473416311412029284e-04
5.640000000000000000e+02,4.166876773049644767e-01,2.486673924768964647e-04
5.680000000000000000e+02,4.166738262910797408e-01,2.521427705866138998e-04
5.720000000000000000e+02,4.166577214452214517e-01,2.532901609762664243e-04
5.760000000000000000e+02,4.166419270833333077e-01,2.544971737784557770e-04
5.800000000000000000e+02,4.166290229885057927e-01,2.580177269378226335e-04
5.840000000000000000e+02,4.166132134703195433e-01,2.563201679521038157e-04
5.880000000000000000e+02,4.165921768707482320e-01,2.589644089347087775e-04
5.920000000000000000e+02,4.165744932432432490e-01,2.595231410934568527e-04
5.960000000000000000e+02,4.165659955257270397e-01,2.619175579712633970e-04
6.000000000000000000e+02,4.165598888888888962e-01,2.634879514298478498e-04
6.040000000000000000e+02,4.165371964679912553e-01,2.651188120688645778e-04
6.080000000000000000e+02,4.165291666666667281e-01,2.671839037213141928e-04
6.120000000000000000e+02,4.165153050108932331e-01,2.653057780834003582e-04
6.160000000000000000e+02,4.164998647186146097e-01,2.671847300314576573e-04
6.200000000000000000e+02,4.164805913978494867e-01,2.691819055341183485e-04
6.240000000000000000e+02,4.164752938034188001e-01,2.693615236040940272e-04
6.280000000000000000e+02,4.164675159235667889e-01,2.723502427853092514e-04
6.320000000000000000e+02,4.164484177215189709e-01,2.733181903769049291e-04
6.360000000000000000e+02,4.164377620545073322e-01,2.743098113091627338e-04
6.400000000000000000e+02,4.164218489583332850e-01,2.780179746274987472e-04
6.440000000000000000e+02,4.164095238095238405e-01,2.773309206597631641e-04
6.480000000000000000e+02,4.164032921810699728e-01,2.787375985430479543e-04
6.520000000000000000e+02,4.163859918200408794e-01,2.802572526226626537e-04
6.560000000000000000e+02,4.163780487804878416e-01,2.820573611666705180e-04
6.600000000000000000e+02,4.163644696969696635e-01,2.839594659131701015e-04
6.640000000000000000e+02,4.163570532128513801e-01,2.836592851558173778e-04
6.680000000000000000e+02,4.163454091816367608e-01,2.845323820928928539e-04
6.720000000000000000e+02,4.163373015873015892e-01,2.850974122890131491e-04
6.760000000000000000e+02,4.163171597633136267e-01,2.866398094417366648e-04
6.800000000000000000e+02,4.163129656862745165e-01,2.872557906373131471e-04
6.840000000000000000e+02,4.163044346978557186e-01,2.897295927016570855e-04
6.880000000000000000e+02,4.162964389534883902e-01,2.931166315206313114e-04
6.920000000000000000e+02,4.162832369942196520e-01,2.935074173878935420e-04
6.960000000000000000e+02,4.162748323754789648e-01,2.930652743223725030e-04
7.000000000000000000e+02,4.162666428571428767e-01,2.950004258636997881e-04
7.040000000000000000e+02,4.162574573863636052e-01,2.949063407942918193e-04
7.080000000000000000e+02,4.162460216572504978e-01,2.940957283103902095e-04
7.120000000000000000e+02,4.162377574906367395e-01,2.969801218219068027e-04
7.160000000000000000e+02,4.162266759776536706e-01,2.967551127614305104e-04
7.200000000000000000e+02,4.162204398148148243e-01,2.989406738227041570e-04
