r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,3.567407483995305162e-01,2.437000905711098498e-03,3.618534342426563688e-01,1.549484018364787399e-03
1.499999999999999944e-02,3.535529621420632762e-01,1.124040913200176264e-03,3.561908639175082048e-01,1.754409541825345835e-03
2.000000000000000042e-02,3.486766653802368388e-01,1.218124785736536715e-03,3.493835925759981031e-01,1.362107379743371285e-03
5.000000000000000278e-02,3.384334783332928476e-01,6.372908422167350385e-04,3.397617802573528190e-01,4.867979724956292948e-04
8.000000000000000167e-02,3.352840109660952805e-01,5.168738792666762285e-04,3.354215360372838628e-01,8.423971932047811043e-04
1.000000000000000056e-01,3.333662780696244332e-01,2.863952948710492882e-04,3.326603006243637473e-01,4.620410659562359189e-04
1.499999999999999944e-01,3.282648559595139903e-01,2.894542871379625739e-04,3.286427244590138241e-01,5.647063031585295269e-04
2.000000000000000111e-01,3.245780518587597085e-01,3.277401788796499463e-04,3.250676666193225151e-01,3.296405761915505487e-04
2.999999999999999889e-01,3.195722284290986592e-01,2.828948361234104227e-04,3.198004127353951676e-01,1.936693467810200427e-04
4.000000000000000222e-01,3.155396098062315802e-01,2.939788378129988512e-04,3.153061852883253247e-01,3.005559061418973409e-04
8.000000000000000444e-01,3.061360795241611643e-01,2.099011583769582444e-04,3.062195883262616714e-01,1.816382125180988742e-04
