r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,4.148307578493741765e-01,8.434586590563413486e-05
1.499999999999999944e-02,4.148966194673414098e-01,1.776137448797596478e-04
2.000000000000000042e-02,4.141543820959852629e-01,2.148213856490396075e-04
5.000000000000000278e-02,4.113382623031412999e-01,2.728299979097451120e-04
8.000000000000000167e-02,4.085577769448562879e-01,1.433863693467082867e-04
1.000000000000000056e-01,4.068728675196986444e-01,3.028172871490676372e-04
1.499999999999999944e-01,4.030188679920165273e-01,1.918214178454255017e-04
2.000000000000000111e-01,3.996910498053277694e-01,2.009988914710625807e-04
2.999999999999999889e-01,3.944190053589897160e-01,2.011729480585537047e-04
4.000000000000000222e-01,3.897616717525072549e-01,1.826681701882925020e-04
8.000000000000000444e-01,3.790685779644294984e-01,1.875072837944008811e-04
