r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,4.159617685687863609e-01,1.739987722818197625e-04
1.499999999999999944e-02,4.156744388900870391e-01,1.947489786128307851e-04
2.000000000000000042e-02,4.158778717437723316e-01,1.968692817626737279e-04
5.000000000000000278e-02,4.168072883037338694e-01,2.451154355081456735e-04
8.000000000000000167e-02,4.164158313881274331e-01,1.898282469602862452e-04
1.000000000000000056e-01,4.165051573025029263e-01,3.007628656189312343e-04
1.499999999999999944e-01,4.168831790339611598e-01,2.078606429885631148e-04
2.000000000000000111e-01,4.169361611984857552e-01,2.080878429971798219e-04
2.999999999999999889e-01,4.169921121565132727e-01,1.842572978803142273e-04
4.000000000000000222e-01,4.177150810954117222e-01,2.198277403441825466e-04
8.000000000000000444e-01,4.185705672674857603e-01,1.851589499781044730e-04
