r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,4.154175334227093730e-01,2.820396741001734552e-03,4.114418157125924180e-01,1.927088821510881868e-03
1.499999999999999944e-02,4.124332862029911340e-01,1.414630032461255960e-03,4.148678565803612384e-01,1.685516268790313108e-03
2.000000000000000042e-02,4.143835499183416426e-01,1.378857849644310029e-03,4.135266168897904215e-01,1.062831935439819114e-03
5.000000000000000278e-02,4.179410309004706336e-01,1.427119506626517778e-03,4.184775622750577240e-01,1.299624392477239168e-03
8.000000000000000167e-02,4.134902215250573221e-01,6.322477277691584746e-04,4.150001787647303320e-01,7.795983354197187458e-04
1.000000000000000056e-01,4.162873806722133807e-01,3.670959765780421828e-04,4.146545330926706407e-01,5.668418307951494754e-04
1.499999999999999944e-01,4.137617382608577143e-01,3.538837911846421476e-04,4.143366773031885164e-01,7.915934383964102605e-04
2.000000000000000111e-01,4.148072148782361301e-01,3.821645723959560411e-04,4.141557914827595499e-01,4.103810672302101413e-04
2.999999999999999889e-01,4.136946953936447291e-01,3.330130799195122021e-04,4.146181084972289099e-01,3.557104243680546613e-04
4.000000000000000222e-01,4.146827945432757789e-01,2.830628890444307879e-04,4.153520144261186320e-01,2.687584717686734609e-04
8.000000000000000444e-01,4.158352885680005606e-01,2.408600920365410619e-04,4.155154071907579127e-01,1.870593289417817712e-04
