r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,4.158211933710836417e-01,9.655627213251598631e-05
1.499999999999999944e-02,4.159615231396392998e-01,2.341166476330173703e-04
2.000000000000000042e-02,4.156201050070640335e-01,2.273888875749151750e-04
5.000000000000000278e-02,4.153944987564299751e-01,2.515186449102674955e-04
8.000000000000000167e-02,4.152813221608028793e-01,1.961470640317626438e-04
1.000000000000000056e-01,4.151048694723201149e-01,2.320691808735187215e-04
1.499999999999999944e-01,4.149417155351347586e-01,2.185638506837204206e-04
2.000000000000000111e-01,4.140055691359222356e-01,1.905136576904842781e-04
2.999999999999999889e-01,4.137614835729347407e-01,2.089332202947777404e-04
4.000000000000000222e-01,4.128995253144813193e-01,2.209487091333046753e-04
8.000000000000000444e-01,4.123744995991380224e-01,3.021508812423732353e-04
