r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,9.105649260793771682e-02,4.599193347034496743e-04,9.168182319672381342e-02,3.687147018398955747e-04
1.499999999999999944e-02,9.115689117676337161e-02,3.464942398307030197e-04,9.096032420587546463e-02,2.997603883911622116e-04
2.000000000000000042e-02,9.038999750612330963e-02,2.588604126281947673e-04,9.162928320310001484e-02,5.071921553944303473e-04
5.000000000000000278e-02,9.060246666313521990e-02,1.971613006103252388e-04,9.129545768262903316e-02,1.940685932690083414e-04
8.000000000000000167e-02,9.119387569080057709e-02,2.205346825240927307e-04,9.083746595721947648e-02,1.588240411204200125e-04
1.000000000000000056e-01,9.082463051559508393e-02,1.698304516255494769e-04,9.085440953458469304e-02,1.647982831995133091e-04
1.499999999999999944e-01,9.073197878156089025e-02,1.672894433744259496e-04,9.106939641656182360e-02,8.993274925428745728e-05
2.000000000000000111e-01,9.095361975579757674e-02,1.143009685015387600e-04,9.100818030931767666e-02,1.028279552265799063e-04
2.999999999999999889e-01,9.094253868695137411e-02,5.520260150383641526e-05,9.089882378286293085e-02,9.216346574531281859e-05
4.000000000000000222e-01,9.097962559655606296e-02,6.229984082649190919e-05,9.110217145186405574e-02,9.908732325922522326e-05
8.000000000000000444e-01,9.128468080494270276e-02,4.305647610307233365e-05,9.132602765195627081e-02,8.205964313670565649e-05
