r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,9.068928533374856493e-02,5.954116692711741748e-05
1.499999999999999944e-02,9.045480399576329156e-02,5.959999781649449950e-05
2.000000000000000042e-02,9.023633246022581822e-02,5.947926751767603870e-05
5.000000000000000278e-02,8.916087821645210520e-02,7.071269906971958889e-05
8.000000000000000167e-02,8.804125574886322025e-02,7.590532170912323452e-05
1.000000000000000056e-01,8.731746854543209757e-02,6.477386907159733199e-05
1.499999999999999944e-01,8.581119284994312424e-02,7.136246650951878507e-05
2.000000000000000111e-01,8.451931995134195907e-02,6.204013781351448850e-05
2.999999999999999889e-01,8.255354283670765514e-02,6.224585961928253287e-05
4.000000000000000222e-01,8.074363418239162427e-02,4.977389072975046204e-05
8.000000000000000444e-01,7.686084999778716731e-02,4.798816736482684021e-05
